# Atomic cross section. IZ =  81
# Pratt's renormalization correction is applied
#  23   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  8.5530000E+04 eV
#  2  L1  EION =  1.5347000E+04 eV
#  3  L2  EION =  1.4698000E+04 eV
#  4  L3  EION =  1.2658000E+04 eV
#  5  M1  EION =  3.7040000E+03 eV
#  6  M2  EION =  3.4160000E+03 eV
#  7  M3  EION =  2.9570000E+03 eV
#  8  M4  EION =  2.4850000E+03 eV
#  9  M5  EION =  2.3890000E+03 eV
# 10  N1  EION =  8.4620000E+02 eV
# 11  N2  EION =  7.2050000E+02 eV
# 12  N3  EION =  6.0950000E+02 eV
# 13  N4  EION =  4.0570000E+02 eV
# 14  N5  EION =  3.8500000E+02 eV
# 17  O1  EION =  1.3600000E+02 eV
# 18  O2  EION =  9.4600000E+01 eV
# 19  O3  EION =  7.3500000E+01 eV
# 15  N6  EION =  1.2220000E+02 eV
# 16  N7  EION =  1.1770000E+02 eV
# 20  O4  EION =  1.4700000E+01 eV
# 21  O5  EION =  1.2500000E+01 eV
# 24  P1  EION =  4.1600000E+00 eV
# 25  P2  EION =  2.2700000E+00 eV
#
#  Total atomic cross section
#  2171   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  5.9478246E-18
  1.0000195E-02  5.9478270E-18
  1.0000293E-02  5.9478294E-18
  1.0000391E-02  5.9478318E-18
  1.0000488E-02  5.9478342E-18
  1.0000586E-02  5.9478367E-18
  1.0000684E-02  5.9478391E-18
  1.0000781E-02  5.9478415E-18
  1.0001172E-02  5.9478512E-18
  1.0001563E-02  5.9478608E-18
  1.0002344E-02  5.9478802E-18
  1.0003125E-02  5.9478995E-18
  1.0004688E-02  5.9479382E-18
  1.0006250E-02  5.9479769E-18
  1.0009375E-02  5.9480543E-18
  1.0012500E-02  5.9481317E-18
  1.0018750E-02  5.9482865E-18
  1.0025000E-02  5.9484413E-18
  1.0037500E-02  5.9487509E-18
  1.0050000E-02  5.9490605E-18
  1.0075000E-02  5.9496797E-18
  1.0100000E-02  5.9502988E-18
  1.0150000E-02  5.9515372E-18
  1.0200000E-02  5.9527755E-18
  1.0300000E-02  5.9552522E-18
  1.0400000E-02  5.9577290E-18
  1.0600000E-02  5.9626825E-18
  1.0800000E-02  5.9676362E-18
  1.1000000E-02  5.9725901E-18
  1.2000000E-02  5.9973647E-18
  1.3000000E-02  6.0221524E-18
  1.4000000E-02  6.0469599E-18
  1.5000000E-02  6.0717938E-18
  1.6000000E-02  6.0966606E-18
  1.7000000E-02  6.1215669E-18
  1.8000000E-02  6.1465194E-18
  1.9000000E-02  6.1715245E-18
  2.0000000E-02  6.1965889E-18
  2.2000000E-02  6.2469220E-18
  2.4000000E-02  6.2975714E-18
  2.6000000E-02  6.3485896E-18
  2.8000000E-02  6.4000290E-18
  3.0000000E-02  6.4519368E-18
  3.2000000E-02  6.5043575E-18
  3.4000000E-02  6.5573359E-18
  3.6000000E-02  6.6109164E-18
  3.8000000E-02  6.6651436E-18
  4.0000000E-02  6.7200620E-18
  4.2500000E-02  6.7897501E-18
  4.5000000E-02  6.8606749E-18
  4.7500000E-02  6.9329236E-18
  5.0000000E-02  7.0065756E-18
  5.2500000E-02  7.0816570E-18
  5.5000000E-02  7.1581725E-18
  5.7500000E-02  7.2361279E-18
  6.0000000E-02  7.3155290E-18
  6.2500000E-02  7.3963818E-18
  6.5000000E-02  7.4786920E-18
  6.7500000E-02  7.5624655E-18
  7.0000000E-02  7.6477082E-18
  7.2500000E-02  7.7344260E-18
  7.5000000E-02  7.8226247E-18
  8.0000000E-02  8.0034940E-18
  8.5000000E-02  8.1905343E-18
  9.0000000E-02  8.3841486E-18
  9.5000000E-02  8.5847497E-18
  1.0000000E-01  8.7927503E-18
  1.1000000E-01  9.2326391E-18
  1.2000000E-01  9.7072476E-18
  1.3000000E-01  1.0220047E-17
  1.4000000E-01  1.0775134E-17
  1.5000000E-01  1.1377432E-17
  1.6000000E-01  1.2032558E-17
  1.7000000E-01  1.2746824E-17
  1.8000000E-01  1.3527750E-17
  1.9000000E-01  1.4383592E-17
  2.0000000E-01  1.5324826E-17
  2.2000000E-01  1.7511551E-17
  2.4000000E-01  2.0209507E-17
  2.6000000E-01  2.3592306E-17
  2.8000000E-01  2.7913178E-17
  2.9000000E-01  3.0538201E-17
  3.0000000E-01  3.3554155E-17
  3.1000000E-01  3.7045978E-17
  3.2000000E-01  4.1115976E-17
  3.3000000E-01  4.5899444E-17
  3.4000000E-01  5.1573549E-17
  3.5000000E-01  5.8372039E-17
  3.6000000E-01  6.6610510E-17
  3.7000000E-01  7.6722951E-17
  3.8000000E-01  8.9313302E-17
  3.9000000E-01  1.0525788E-16
  3.9500000E-01  1.1486211E-16
  4.0000000E-01  1.2582556E-16
  4.0625000E-01  1.4184728E-16
  4.1250000E-01  1.6107035E-16
