# Atomic cross section. IZ =  77
# Pratt's renormalization correction is applied
#  22   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  7.6111000E+04 eV
#  2  L1  EION =  1.3419000E+04 eV
#  3  L2  EION =  1.2824000E+04 eV
#  4  L3  EION =  1.1215000E+04 eV
#  5  M1  EION =  3.1740000E+03 eV
#  6  M2  EION =  2.9090000E+03 eV
#  7  M3  EION =  2.5510000E+03 eV
#  8  M4  EION =  2.1160000E+03 eV
#  9  M5  EION =  2.0400000E+03 eV
# 10  N1  EION =  6.9110000E+02 eV
# 11  N2  EION =  5.7780000E+02 eV
# 12  N3  EION =  4.9580000E+02 eV
# 13  N4  EION =  3.1190000E+02 eV
# 14  N5  EION =  2.9630000E+02 eV
# 17  O1  EION =  9.5200000E+01 eV
# 18  O2  EION =  6.3000000E+01 eV
# 19  O3  EION =  4.8000000E+01 eV
# 15  N6  EION =  6.3800000E+01 eV
# 16  N7  EION =  6.0800000E+01 eV
# 20  O4  EION =  4.1300000E+00 eV
# 21  O5  EION =  4.1300000E+00 eV
# 24  P1  EION =  3.7970000E+00 eV
#
#  Total atomic cross section
#  2171   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  7.2285768E-18
  1.0000195E-02  7.2285795E-18
  1.0000293E-02  7.2285823E-18
  1.0000391E-02  7.2285851E-18
  1.0000488E-02  7.2285878E-18
  1.0000586E-02  7.2285906E-18
  1.0000684E-02  7.2285934E-18
  1.0000781E-02  7.2285961E-18
  1.0001172E-02  7.2286072E-18
  1.0001563E-02  7.2286183E-18
  1.0002344E-02  7.2286404E-18
  1.0003125E-02  7.2286625E-18
  1.0004688E-02  7.2287068E-18
  1.0006250E-02  7.2287510E-18
  1.0009375E-02  7.2288395E-18
  1.0012500E-02  7.2289280E-18
  1.0018750E-02  7.2291050E-18
  1.0025000E-02  7.2292820E-18
  1.0037500E-02  7.2296359E-18
  1.0050000E-02  7.2299899E-18
  1.0075000E-02  7.2306979E-18
  1.0100000E-02  7.2314060E-18
  1.0150000E-02  7.2328226E-18
  1.0200000E-02  7.2342397E-18
  1.0300000E-02  7.2370751E-18
  1.0400000E-02  7.2399122E-18
  1.0600000E-02  7.2455915E-18
  1.0800000E-02  7.2512777E-18
  1.1000000E-02  7.2569707E-18
  1.2000000E-02  7.2855392E-18
  1.3000000E-02  7.3142810E-18
  1.4000000E-02  7.3431973E-18
  1.5000000E-02  7.3722897E-18
  1.6000000E-02  7.4015595E-18
  1.7000000E-02  7.4310083E-18
  1.8000000E-02  7.4606375E-18
  1.9000000E-02  7.4904485E-18
  2.0000000E-02  7.5204429E-18
  2.2000000E-02  7.5809880E-18
  2.4000000E-02  7.6422848E-18
  2.6000000E-02  7.7043461E-18
  2.8000000E-02  7.7671846E-18
  3.0000000E-02  7.8308133E-18
  3.2000000E-02  7.8952457E-18
  3.4000000E-02  7.9604954E-18
  3.6000000E-02  8.0265763E-18
  3.8000000E-02  8.0935026E-18
  4.0000000E-02  8.1612889E-18
  4.2500000E-02  8.2472538E-18
  4.5000000E-02  8.3346153E-18
  4.7500000E-02  8.4234040E-18
  5.0000000E-02  8.5136513E-18
  5.2500000E-02  8.6053893E-18
  5.5000000E-02  8.6986513E-18
  5.7500000E-02  8.7934713E-18
  6.0000000E-02  8.8898843E-18
  6.2500000E-02  8.9879263E-18
  6.5000000E-02  9.0876343E-18
  6.7500000E-02  9.1890465E-18
  7.0000000E-02  9.2922021E-18
  7.2500000E-02  9.3971413E-18
  7.5000000E-02  9.5039058E-18
  8.0000000E-02  9.7230823E-18
  8.5000000E-02  9.9500889E-18
  9.0000000E-02  1.0185304E-17
  9.5000000E-02  1.0429130E-17
  1.0000000E-01  1.0681994E-17
  1.1000000E-01  1.1216679E-17
  1.2000000E-01  1.1793349E-17
  1.3000000E-01  1.2416534E-17
  1.4000000E-01  1.3091390E-17
  1.5000000E-01  1.3823813E-17
  1.6000000E-01  1.4620562E-17
  1.7000000E-01  1.5489419E-17
  1.8000000E-01  1.6439382E-17
  1.9000000E-01  1.7480898E-17
  2.0000000E-01  1.8626152E-17
  2.2000000E-01  2.1287584E-17
  2.4000000E-01  2.4571972E-17
  2.5000000E-01  2.6510548E-17
  2.6000000E-01  2.8690652E-17
  2.7000000E-01  3.1153887E-17
  2.8000000E-01  3.3952178E-17
  2.9000000E-01  3.7148545E-17
  3.0000000E-01  4.0821506E-17
  3.1000000E-01  4.5073021E-17
  3.2000000E-01  5.0029446E-17
  3.3000000E-01  5.5854180E-17
  3.4000000E-01  6.2762712E-17
  3.5000000E-01  7.1039951E-17
  3.6000000E-01  8.1069382E-17
  3.7000000E-01  9.3379212E-17
  3.7500000E-01  1.0060846E-16
  3.8000000E-01  1.0870368E-16
  3.8500000E-01  1.1781527E-16
  3.9000000E-01  1.2810877E-16
  3.9500000E-01  1.3979592E-16
  4.0000000E-01  1.5313646E-16
  4.0625000E-01  1.7263097E-16
  4.1250000E-01  1.9601723E-16
  4.1875000E-01  2.2436803E-16
  4.2500000E-01  2.5913367E-16
  4.3125000E-01  3.0230626E-16
  4.3437500E-01  3.2787463E-16
  4.3750000E-01  3.5665644E-16
  4.4062500E-01  3.8918729E-16
  4.4375000E-01  4.2607847E-16
  4.4687500E-01  4.6810230E-16
  4.5000000E-01  5.1613201E-16
  4.5312500E-01  5.7123084E-16
  4.5625000E-01  6.3466345E-16
  4.6250000E-01  7.9266204E-16
  4.6562500E-01  8.9087089E-16
  4.6875000E-01  1.0045934E-15
  4.7187500E-01  1.1358413E-15
  4.7500000E-01  1.2862963E-15
  4.7812500E-01  1.4566376E-15
  4.8125000E-01  1.6456144E-15
  4.8437500E-01  1.8486235E-15
  4.8593750E-01  1.9526472E-15
  4.8750000E-01  2.0562449E-15
  4.9062500E-01  2.2531087E-15
  4.9375000E-01  2.4185472E-15
  4.9687500E-01  2.5301115E-15
  4.9843750E-01  2.5596659E-15
  5.0000000E-01  2.5697083E-15
  5.0156250E-01  2.5597928E-15
  5.0312500E-01  2.5303882E-15
  5.0625000E-01  2.4190466E-15
  5.0937500E-01  2.2539474E-15
  5.1250000E-01  2.0572922E-15
  5.1406250E-01  1.9538592E-15
  5.1562500E-01  1.8499481E-15
  5.1875000E-01  1.6472210E-15
  5.2187500E-01  1.4585742E-15
  5.2343750E-01  1.3710529E-15
  5.2500000E-01  1.2884886E-15
  5.2812500E-01  1.1383425E-15
  5.3125000E-01  1.0074249E-15
  5.3750000E-01  7.9606732E-16
  5.4062500E-01  7.1164083E-16
  5.4375000E-01  6.3873313E-16
  5.4687500E-01  5.7564917E-16
  5.5000000E-01  5.2090973E-16
  5.5312500E-01  4.7325766E-16
  5.5625000E-01  4.3163268E-16
  5.5937500E-01  3.9514315E-16
  5.6250000E-01  3.6304268E-16
  5.6562500E-01  3.3470776E-16
  5.6875000E-01  3.0961477E-16
  5.7187500E-01  2.8732464E-16
  5.7500000E-01  2.6746668E-16
  5.8125000E-01  2.3384995E-16
  5.8750000E-01  2.0679616E-16
  5.9375000E-01  1.8489757E-16
  6.0000000E-01  1.6711310E-16
  6.0625000E-01  1.5269585E-16
  6.0937500E-01  1.4657618E-16
  6.1250000E-01  1.4110899E-16
  6.1875000E-01  1.3196884E-16
  6.2500000E-01  1.2503396E-16
  6.3125000E-01  1.2018039E-16
  6.3750000E-01  1.1740086E-16
  6.4375000E-01  1.1681971E-16
  6.5000000E-01  1.1871976E-16
  6.5625000E-01  1.2358872E-16
  6.5937500E-01  1.2736323E-16
  6.6250000E-01  1.3219427E-16
  6.6562500E-01  1.3823615E-16
  6.6875000E-01  1.4567322E-16
  6.7500000E-01  1.6560545E-16
  6.7812500E-01  1.7858834E-16
  6.8125000E-01  1.9390319E-16
  6.8437500E-01  2.1172046E-16
  6.8750000E-01  2.3205654E-16
  6.9062500E-01  2.5463745E-16
  6.9218750E-01  2.6656111E-16
  6.9375000E-01  2.7871878E-16
  6.9687500E-01  3.0290739E-16
  7.0000000E-01  3.2503833E-16
  7.0312500E-01  3.4244251E-16
  7.0625000E-01  3.5240929E-16
  7.0781250E-01  3.5395491E-16
  7.0937500E-01  3.5305595E-16
  7.1093750E-01  3.4971874E-16
  7.1250000E-01  3.4407877E-16
  7.1562500E-01  3.2685438E-16
  7.1875000E-01  3.0388242E-16
  7.2187500E-01  2.7793955E-16
  7.2500000E-01  2.5140684E-16
  7.2812500E-01  2.2593301E-16
  7.3125000E-01  2.0246947E-16
  7.3437500E-01  1.8142841E-16
  7.3750000E-01  1.6286584E-16
  7.4375000E-01  1.3255373E-16
  7.5000000E-01  1.0968593E-16
  7.5312500E-01  1.0043346E-16
  7.5625000E-01  9.2353435E-17
  7.5937500E-01  8.5271395E-17
  7.6250000E-01  7.9038509E-17
  7.6562500E-01  7.3531245E-17
  7.6875000E-01  6.8642491E-17
  7.7187500E-01  6.4285593E-17
  7.7500000E-01  6.0385755E-17
  7.8125000E-01  5.3719783E-17
  7.8750000E-01  4.8254766E-17
  7.9375000E-01  4.3710517E-17
  8.0000000E-01  3.9883540E-17
  8.0625000E-01  3.6623376E-17
  8.1250000E-01  3.3816916E-17
  8.1875000E-01  3.1378184E-17
  8.2500000E-01  2.9241209E-17
  8.3125000E-01  2.7354326E-17
  8.3750000E-01  2.5676887E-17
  8.4375000E-01  2.4175984E-17
  8.5000000E-01  2.2825698E-17
  8.6250000E-01  2.0495210E-17
  8.7500000E-01  1.8555518E-17
  8.8750000E-01  1.6916846E-17
  9.0000000E-01  1.5514525E-17
  9.1250000E-01  1.4301551E-17
  9.2500000E-01  1.3242359E-17
  9.3750000E-01  1.2310101E-17
  9.5000000E-01  1.1483616E-17
  9.6250000E-01  1.0746373E-17
  9.7500000E-01  1.0085054E-17
  1.0000000E+00  8.9491679E-18
  1.0250000E+00  8.0107848E-18
  1.0500000E+00  7.2246363E-18
  1.0750000E+00  6.5582848E-18
  1.1000000E+00  5.9878676E-18
  1.1250000E+00  5.4953259E-18
  1.1500000E+00  5.0668822E-18
  1.1750000E+00  4.6917854E-18
  1.2000000E+00  4.3615279E-18
  1.2250000E+00  4.0692709E-18
  1.2500000E+00  3.8095153E-18
  1.3000000E+00  3.3703088E-18
  1.3500000E+00  3.0164722E-18
  1.4000000E+00  2.7289704E-18
  1.4500000E+00  2.4943533E-18
  1.5000000E+00  2.3030443E-18
  1.5500000E+00  2.1483168E-18
  1.6000000E+00  2.0256384E-18
  1.6500000E+00  1.9324332E-18
  1.7000000E+00  1.8679738E-18
  1.7250000E+00  1.8468651E-18
  1.7500000E+00  1.8337005E-18
  1.7750000E+00  1.8290909E-18
  1.8000000E+00  1.8340584E-18
  1.8250000E+00  1.8498695E-18
  1.8500000E+00  1.8783338E-18
  1.8750000E+00  1.9220217E-18
  1.9000000E+00  1.9845237E-18
  1.9250000E+00  2.0709909E-18
  1.9375000E+00  2.1254625E-18
  1.9500000E+00  2.1890854E-18
  1.9625000E+00  2.2633795E-18
  1.9750000E+00  2.3503902E-18
  1.9875000E+00  2.4526763E-18
  2.0000000E+00  2.5735672E-18
  2.0125000E+00  2.7174526E-18
  2.0250000E+00  2.8902651E-18
  2.0375000E+00  3.1001459E-18
  2.0500000E+00  3.3586387E-18
  2.0625000E+00  3.6825895E-18
  2.0687500E+00  3.8765976E-18
  2.0750000E+00  4.0974761E-18
  2.0812500E+00  4.3507512E-18
  2.0875000E+00  4.6435035E-18
  2.0937500E+00  4.9849593E-18
  2.1000000E+00  5.3872540E-18
  2.1062500E+00  5.8667426E-18
  2.1125000E+00  6.4454967E-18
  2.1187500E+00  7.1538867E-18
  2.1218750E+00  7.5696097E-18
  2.1250000E+00  8.0348413E-18
  2.1281250E+00  8.5578341E-18
  2.1312500E+00  9.1481748E-18
  2.1343750E+00  9.8174126E-18
  2.1375000E+00  1.0578776E-17
  2.1437500E+00  1.2444279E-17
  2.1468750E+00  1.3586828E-17
  2.1500000E+00  1.4897229E-17
  2.1531250E+00  1.6396376E-17
  2.1562500E+00  1.8100224E-17
  2.1593750E+00  2.0013730E-17
  2.1625000E+00  2.2118389E-17
  2.1656250E+00  2.4361222E-17
  2.1687500E+00  2.6636101E-17
  2.1718750E+00  2.8777528E-17
  2.1750000E+00  3.0568237E-17
  2.1781250E+00  3.1789179E-17
  2.1796875E+00  3.2129569E-17
  2.1812500E+00  3.2274656E-17
  2.1828125E+00  3.2223525E-17
  2.1843750E+00  3.1984670E-17
  2.1875000E+00  3.1017783E-17
  2.1906250E+00  2.9573365E-17
  2.1937500E+00  2.7881348E-17
  2.1953125E+00  2.7007962E-17
  2.1968750E+00  2.6143863E-17
  2.2000000E+00  2.4507684E-17
  2.2031250E+00  2.3059853E-17
  2.2062500E+00  2.1842500E-17
  2.2125000E+00  2.0133556E-17
  2.2187500E+00  1.9330604E-17
  2.2250000E+00  1.9334684E-17
  2.2281250E+00  1.9618398E-17
  2.2312500E+00  2.0086820E-17
  2.2375000E+00  2.1595850E-17
  2.2406250E+00  2.2657653E-17
  2.2437500E+00  2.3947521E-17
  2.2468750E+00  2.5490463E-17
  2.2500000E+00  2.7318365E-17
  2.2531250E+00  2.9471061E-17
  2.2562500E+00  3.1997703E-17
  2.2593750E+00  3.4957605E-17
  2.2625000E+00  3.8421059E-17
  2.2687500E+00  4.7197306E-17
  2.2718750E+00  5.2701375E-17
  2.2750000E+00  5.9078256E-17
  2.2781250E+00  6.6402539E-17
  2.2812500E+00  7.4699478E-17
  2.2828125E+00  7.9192437E-17
  2.2843750E+00  8.3883594E-17
  2.2859375E+00  8.8741590E-17
  2.2875000E+00  9.3711990E-17
  2.2906250E+00  1.0368876E-16
  2.2937500E+00  1.1303239E-16
  2.2968750E+00  1.2071673E-16
  2.2984375E+00  1.2359221E-16
  2.3000000E+00  1.2565938E-16
  2.3015625E+00  1.2682757E-16
  2.3031250E+00  1.2704212E-16
  2.3046875E+00  1.2629392E-16
  2.3062500E+00  1.2461239E-16
  2.3093750E+00  1.1879513E-16
  2.3125000E+00  1.1051533E-16
  2.3140625E+00  1.0578805E-16
  2.3156250E+00  1.0085228E-16
  2.3171875E+00  9.5821326E-17
  2.3187500E+00  9.0791434E-17
  2.3218750E+00  8.1033258E-17
  2.3250000E+00  7.2002073E-17
  2.3281250E+00  6.3886781E-17
  2.3312500E+00  5.6739623E-17
  2.3343750E+00  5.0517119E-17
  2.3375000E+00  4.5133053E-17
  2.3437500E+00  3.6491606E-17
  2.3468750E+00  3.3040880E-17
  2.3500000E+00  3.0058279E-17
  2.3531250E+00  2.7474441E-17
  2.3562500E+00  2.5229364E-17
  2.3593750E+00  2.3273007E-17
  2.3625000E+00  2.1563423E-17
  2.3656250E+00  2.0065464E-17
  2.3687500E+00  1.8749575E-17
  2.3750000E+00  1.6569962E-17
  2.3812500E+00  1.4871679E-17
  2.3875000E+00  1.3547033E-17
  2.3937500E+00  1.2519325E-17
  2.4000000E+00  1.1735458E-17
  2.4062500E+00  1.1157534E-17
