# Atomic cross section. IZ =  26
# Pratt's renormalization correction is applied
#  10   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  7.1120000E+03 eV
#  2  L1  EION =  8.4460000E+02 eV
#  3  L2  EION =  7.1990000E+02 eV
#  4  L3  EION =  7.0680000E+02 eV
#  5  M1  EION =  9.1300000E+01 eV
#  6  M2  EION =  5.2700000E+01 eV
#  7  M3  EION =  5.2700000E+01 eV
#  8  M4  EION =  4.2600000E+00 eV
#  9  M5  EION =  4.2600000E+00 eV
# 10  N1  EION =  3.1300000E+00 eV
#
#  Total atomic cross section
#  2171   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  5.0250358E-18
  1.0000195E-02  5.0250378E-18
  1.0000293E-02  5.0250398E-18
  1.0000391E-02  5.0250418E-18
  1.0000488E-02  5.0250438E-18
  1.0000586E-02  5.0250459E-18
  1.0000684E-02  5.0250479E-18
  1.0000781E-02  5.0250499E-18
  1.0000879E-02  5.0250519E-18
  1.0000977E-02  5.0250539E-18
  1.0001172E-02  5.0250580E-18
  1.0001563E-02  5.0250660E-18
  1.0002344E-02  5.0250821E-18
  1.0003125E-02  5.0250983E-18
  1.0004688E-02  5.0251305E-18
  1.0006250E-02  5.0251628E-18
  1.0009375E-02  5.0252273E-18
  1.0012500E-02  5.0252918E-18
  1.0018750E-02  5.0254208E-18
  1.0025000E-02  5.0255498E-18
  1.0037500E-02  5.0258078E-18
  1.0050000E-02  5.0260658E-18
  1.0075000E-02  5.0265818E-18
  1.0100000E-02  5.0270978E-18
  1.0150000E-02  5.0281298E-18
  1.0200000E-02  5.0291618E-18
  1.0300000E-02  5.0312259E-18
  1.0400000E-02  5.0332902E-18
  1.0600000E-02  5.0374189E-18
  1.0800000E-02  5.0415481E-18
  1.1000000E-02  5.0456778E-18
  1.2000000E-02  5.0663364E-18
  1.3000000E-02  5.0870184E-18
  1.4000000E-02  5.1077325E-18
  1.5000000E-02  5.1284874E-18
  1.6000000E-02  5.1492918E-18
  1.7000000E-02  5.1701544E-18
  1.8000000E-02  5.1910840E-18
  1.9000000E-02  5.2120892E-18
  2.0000000E-02  5.2331787E-18
  2.2000000E-02  5.2756457E-18
  2.4000000E-02  5.3185548E-18
  2.6000000E-02  5.3619755E-18
  2.8000000E-02  5.4059778E-18
  3.0000000E-02  5.4506220E-18
  3.2000000E-02  5.4959237E-18
  3.4000000E-02  5.5418848E-18
  3.6000000E-02  5.5885070E-18
  3.8000000E-02  5.6357921E-18
  4.0000000E-02  5.6837422E-18
  4.2500000E-02  5.7446174E-18
  4.5000000E-02  5.8065380E-18
  4.7500000E-02  5.8695076E-18
  5.0000000E-02  5.9335297E-18
  5.2500000E-02  5.9986082E-18
  5.5000000E-02  6.0647467E-18
  5.7500000E-02  6.1319499E-18
  6.0000000E-02  6.2002380E-18
  6.2500000E-02  6.2696442E-18
  6.5000000E-02  6.3402021E-18
  6.7500000E-02  6.4119450E-18
  7.0000000E-02  6.4849068E-18
  7.2500000E-02  6.5591208E-18
  7.5000000E-02  6.6346208E-18
  8.0000000E-02  6.7896131E-18
  8.5000000E-02  6.9501533E-18
  9.0000000E-02  7.1165111E-18
  9.5000000E-02  7.2889735E-18
  1.0000000E-01  7.4678597E-18
  1.1000000E-01  7.8461988E-18
  1.2000000E-01  8.2542016E-18
  1.3000000E-01  8.6950811E-18
  1.4000000E-01  9.1725272E-18
  1.5000000E-01  9.6906557E-18
  1.6000000E-01  1.0254286E-17
  1.7000000E-01  1.0868869E-17
  1.8000000E-01  1.1540740E-17
  1.9000000E-01  1.2277241E-17
  2.0000000E-01  1.3087205E-17
  2.1000000E-01  1.3980364E-17
  2.2000000E-01  1.4968700E-17
  2.3000000E-01  1.6066240E-17
  2.4000000E-01  1.7289709E-17
  2.5000000E-01  1.8659188E-17
  2.6000000E-01  2.0198756E-17
  2.7000000E-01  2.1937833E-17
  2.8000000E-01  2.3912735E-17
  2.9000000E-01  2.6167533E-17
  3.0000000E-01  2.8757880E-17
  3.1000000E-01  3.1753994E-17
  3.2000000E-01  3.5245690E-17
  3.3000000E-01  3.9346505E-17
  3.4000000E-01  4.4207332E-17
  3.5000000E-01  5.0027219E-17
  3.5500000E-01  5.3376916E-17
  3.6000000E-01  5.7073926E-17
  3.6500000E-01  6.1167600E-17
  3.7000000E-01  6.5715929E-17
  3.7500000E-01  7.0787791E-17
  3.8000000E-01  7.6465626E-17
  3.8500000E-01  8.2852806E-17
  3.9000000E-01  9.0064580E-17
  3.9500000E-01  9.8249746E-17
  4.0000000E-01  1.0758807E-16
  4.0625000E-01  1.2122666E-16
  4.1250000E-01  1.3757771E-16
  4.1562500E-01  1.4699380E-16
  4.1875000E-01  1.5738709E-16
  4.2187500E-01  1.6888976E-16
  4.2500000E-01  1.8166361E-16
  4.2812500E-01  1.9588909E-16
  4.3125000E-01  2.1179100E-16
  4.3437500E-01  2.2962127E-16
  4.3750000E-01  2.4969376E-16
  4.4062500E-01  2.7236313E-16
  4.4375000E-01  2.9808110E-16
  4.4687500E-01  3.2735170E-16
  4.5000000E-01  3.6079961E-16
  4.5312500E-01  3.9916213E-16
  4.5625000E-01  4.4331579E-16
  4.5937500E-01  4.9426811E-16
  4.6250000E-01  5.5324617E-16
  4.6562500E-01  6.2156766E-16
  4.6875000E-01  7.0063886E-16
  4.7187500E-01  7.9189539E-16
  4.7500000E-01  8.9649600E-16
  4.7812500E-01  1.0149069E-15
  4.7968750E-01  1.0790866E-15
  4.8125000E-01  1.1462497E-15
  4.8281250E-01  1.2158985E-15
  4.8437500E-01  1.2873502E-15
  4.8593750E-01  1.3596894E-15
  4.8750000E-01  1.4316747E-15
  4.9062500E-01  1.5685887E-15
  4.9218750E-01  1.6298763E-15
  4.9375000E-01  1.6837505E-15
  4.9531250E-01  1.7281852E-15
  4.9687500E-01  1.7615022E-15
  4.9843750E-01  1.7822497E-15
  5.0000000E-01  1.7894435E-15
  5.0156250E-01  1.7828136E-15
  5.0312500E-01  1.7626669E-15
  5.0625000E-01  1.6860072E-15
  5.0937500E-01  1.5720558E-15
  5.1250000E-01  1.4363255E-15
  5.1406250E-01  1.3649391E-15
  5.1562500E-01  1.2932376E-15
  5.1718750E-01  1.2224477E-15
  5.1875000E-01  1.1534539E-15
  5.2031250E-01  1.0869562E-15
  5.2187500E-01  1.0234756E-15
  5.2343750E-01  9.6326459E-16
  5.2500000E-01  9.0651516E-16
  5.2812500E-01  8.0349175E-16
  5.3125000E-01  7.1394693E-16
  5.3750000E-01  5.7035700E-16
  5.4062500E-01  5.1360624E-16
  5.4375000E-01  4.6509542E-16
  5.4531250E-01  4.4356934E-16
  5.4687500E-01  4.2369113E-16
  5.5000000E-01  3.8841654E-16
  5.5312500E-01  3.5845789E-16
  5.5625000E-01  3.3315061E-16
  5.5937500E-01  3.1196500E-16
  5.6250000E-01  2.9447454E-16
  5.6875000E-01  2.6931304E-16
  5.7500000E-01  2.5574600E-16
  5.7812500E-01  2.5277441E-16
  5.8125000E-01  2.5194193E-16
  5.8437500E-01  2.5273800E-16
  5.8750000E-01  2.5442397E-16
  5.9062500E-01  2.5602622E-16
  5.9375000E-01  2.5644979E-16
  5.9531250E-01  2.5591303E-16
  5.9687500E-01  2.5476121E-16
  5.9843750E-01  2.5295587E-16
  6.0000000E-01  2.5049632E-16
  6.0156250E-01  2.4742126E-16
  6.0312500E-01  2.4382366E-16
  6.0625000E-01  2.3551701E-16
  6.0937500E-01  2.2659305E-16
  6.1250000E-01  2.1805799E-16
  6.1406250E-01  2.1418042E-16
  6.1562500E-01  2.1065280E-16
  6.1718750E-01  2.0751144E-16
  6.1875000E-01  2.0476980E-16
  6.2187500E-01  2.0043338E-16
  6.2343750E-01  1.9875725E-16
  6.2500000E-01  1.9732269E-16
  6.2812500E-01  1.9478933E-16
  6.3125000E-01  1.9197827E-16
  6.3437500E-01  1.8798729E-16
  6.3593750E-01  1.8531909E-16
  6.3750000E-01  1.8213033E-16
  6.3906250E-01  1.7840637E-16
  6.4062500E-01  1.7416828E-16
  6.4375000E-01  1.6436713E-16
  6.4687500E-01  1.5335217E-16
  6.5000000E-01  1.4186158E-16
  6.5156250E-01  1.3614628E-16
  6.5312500E-01  1.3053905E-16
  6.5625000E-01  1.1983147E-16
  6.5937500E-01  1.0998884E-16
  6.6093750E-01  1.0542499E-16
  6.6250000E-01  1.0110335E-16
  6.6875000E-01  8.6124914E-17
  6.7500000E-01  7.4345621E-17
  6.7812500E-01  6.9425965E-17
  6.8125000E-01  6.5040269E-17
  6.8437500E-01  6.1116122E-17
  6.8750000E-01  5.7590871E-17
  6.9062500E-01  5.4410745E-17
  6.9375000E-01  5.1530529E-17
  6.9687500E-01  4.8911263E-17
  7.0000000E-01  4.6520440E-17
  7.0625000E-01  4.2316556E-17
  7.1250000E-01  3.8741914E-17
  7.1875000E-01  3.5666310E-17
  7.2500000E-01  3.2992470E-17
  7.3125000E-01  3.0646712E-17
  7.3750000E-01  2.8573116E-17
  7.4375000E-01  2.6727242E-17
  7.5000000E-01  2.5073343E-17
  7.5625000E-01  2.3583481E-17
  7.6250000E-01  2.2235142E-17
  7.6875000E-01  2.1009373E-17
  7.7500000E-01  1.9890354E-17
  7.8750000E-01  1.7923665E-17
  8.0000000E-01  1.6252903E-17
  8.1250000E-01  1.4818861E-17
  8.2500000E-01  1.3576386E-17
  8.3750000E-01  1.2491695E-17
  8.5000000E-01  1.1538003E-17
  8.6250000E-01  1.0694592E-17
  8.7500000E-01  9.9444525E-18
  8.8750000E-01  9.2741557E-18
  9.0000000E-01  8.6724592E-18
  9.1250000E-01  8.1303059E-18
  9.2500000E-01  7.6399053E-18
  9.3750000E-01  7.1949422E-18
  9.5000000E-01  6.7898791E-18
  9.7500000E-01  6.0819808E-18
  1.0000000E+00  5.4866240E-18
  1.0250000E+00  4.9818716E-18
  1.0500000E+00  4.5511321E-18
  1.0750000E+00  4.1817438E-18
  1.1000000E+00  3.8639786E-18
  1.1250000E+00  3.5903172E-18
  1.1500000E+00  3.3550409E-18
  1.1750000E+00  3.1538905E-18
  1.2000000E+00  2.9839133E-18
  1.2250000E+00  2.8434112E-18
  1.2500000E+00  2.7320563E-18
  1.2750000E+00  2.6510360E-18
  1.2875000E+00  2.6228668E-18
  1.3000000E+00  2.6037764E-18
  1.3125000E+00  2.5946963E-18
  1.3250000E+00  2.5968777E-18
  1.3375000E+00  2.6119705E-18
  1.3500000E+00  2.6421533E-18
  1.3625000E+00  2.6903964E-18
  1.3750000E+00  2.7605955E-18
  1.3875000E+00  2.8580781E-18
  1.4000000E+00  2.9904544E-18
  1.4062500E+00  3.0727655E-18
  1.4125000E+00  3.1679891E-18
  1.4187500E+00  3.2781900E-18
  1.4250000E+00  3.4058196E-18
  1.4312500E+00  3.5539292E-18
  1.4375000E+00  3.7261929E-18
  1.4437500E+00  3.9272949E-18
  1.4500000E+00  4.1630067E-18
  1.4562500E+00  4.4405630E-18
  1.4625000E+00  4.7695820E-18
  1.4687500E+00  5.1619132E-18
  1.4750000E+00  5.6334810E-18
  1.4812500E+00  6.2052305E-18
  1.4875000E+00  6.9052724E-18
  1.4906250E+00  7.3148300E-18
  1.4937500E+00  7.7718525E-18
  1.4968750E+00  8.2833131E-18
  1.5000000E+00  8.8576987E-18
  1.5031250E+00  9.5048121E-18
  1.5062500E+00  1.0236501E-17
  1.5093750E+00  1.1066801E-17
  1.5125000E+00  1.2012296E-17
  1.5156250E+00  1.3093118E-17
  1.5187500E+00  1.4332512E-17
  1.5218750E+00  1.5758796E-17
  1.5250000E+00  1.7404074E-17
  1.5312500E+00  2.1505430E-17
  1.5343750E+00  2.4047085E-17
  1.5375000E+00  2.6970617E-17
  1.5406250E+00  3.0309138E-17
  1.5437500E+00  3.4071343E-17
  1.5453125E+00  3.6103495E-17
  1.5468750E+00  3.8225166E-17
  1.5484375E+00  4.0422105E-17
  1.5500000E+00  4.2675364E-17
  1.5515625E+00  4.4959073E-17
  1.5531250E+00  4.7242816E-17
  1.5546875E+00  4.9490682E-17
  1.5562500E+00  5.1661633E-17
  1.5625000E+00  5.8624754E-17
  1.5640625E+00  5.9711307E-17
  1.5656250E+00  6.0454048E-17
  1.5671875E+00  6.0821849E-17
  1.5687500E+00  6.0799954E-17
  1.5703125E+00  6.0385228E-17
  1.5718750E+00  5.9585679E-17
  1.5734375E+00  5.8425699E-17
  1.5750000E+00  5.6939910E-17
  1.5781250E+00  5.3188223E-17
  1.5812500E+00  4.8751260E-17
  1.5828125E+00  4.6409916E-17
  1.5843750E+00  4.4051457E-17
  1.5859375E+00  4.1712764E-17
  1.5875000E+00  3.9424206E-17
  1.5906250E+00  3.5086359E-17
  1.5921875E+00  3.3065164E-17
  1.5937500E+00  3.1152887E-17
  1.5953125E+00  2.9353055E-17
  1.5968750E+00  2.7664253E-17
  1.6000000E+00  2.4607846E-17
  1.6031250E+00  2.1954435E-17
  1.6062500E+00  1.9658764E-17
  1.6125000E+00  1.5957430E-17
  1.6156250E+00  1.4469078E-17
  1.6187500E+00  1.3175076E-17
  1.6218750E+00  1.2046142E-17
  1.6250000E+00  1.1057483E-17
  1.6281250E+00  1.0188449E-17
  1.6312500E+00  9.4213908E-18
  1.6343750E+00  8.7419317E-18
  1.6375000E+00  8.1376100E-18
  1.6406250E+00  7.5983526E-18
  1.6437500E+00  7.1153176E-18
  1.6468750E+00  6.6813166E-18
  1.6500000E+00  6.2900153E-18
  1.6562500E+00  5.6152389E-18
  1.6625000E+00  5.0570509E-18
  1.6687500E+00  4.5903273E-18
  1.6750000E+00  4.1962417E-18
  1.6812500E+00  3.8604884E-18
  1.6875000E+00  3.5720744E-18
  1.6937500E+00  3.3224490E-18
  1.7000000E+00  3.1048980E-18
  1.7062500E+00  2.9140290E-18
