# Atomic cross section. IZ =  51
# Pratt's renormalization correction is applied
#  17   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  3.0491000E+04 eV
#  2  L1  EION =  4.6980000E+03 eV
#  3  L2  EION =  4.3800000E+03 eV
#  4  L3  EION =  4.1320000E+03 eV
#  5  M1  EION =  9.4600000E+02 eV
#  6  M2  EION =  8.1270000E+02 eV
#  7  M3  EION =  7.6640000E+02 eV
#  8  M4  EION =  5.3750000E+02 eV
#  9  M5  EION =  5.2820000E+02 eV
# 10  N1  EION =  1.5320000E+02 eV
# 11  N2  EION =  9.5600000E+01 eV
# 12  N3  EION =  9.5600000E+01 eV
# 13  N4  EION =  3.3300000E+01 eV
# 14  N5  EION =  3.2100000E+01 eV
# 17  O1  EION =  1.0450000E+01 eV
# 18  O2  EION =  4.0900000E+00 eV
# 19  O3  EION =  4.0900000E+00 eV
#
#  Total atomic cross section
#  2171   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  3.1806150E-19
  1.0000195E-02  3.1806153E-19
  1.0000293E-02  3.1806157E-19
  1.0000391E-02  3.1806160E-19
  1.0000488E-02  3.1806163E-19
  1.0000586E-02  3.1806166E-19
  1.0000684E-02  3.1806169E-19
  1.0000781E-02  3.1806173E-19
  1.0001172E-02  3.1806185E-19
  1.0001563E-02  3.1806198E-19
  1.0002344E-02  3.1806224E-19
  1.0003125E-02  3.1806249E-19
  1.0004688E-02  3.1806301E-19
  1.0006250E-02  3.1806352E-19
  1.0009375E-02  3.1806454E-19
  1.0012500E-02  3.1806556E-19
  1.0018750E-02  3.1806761E-19
  1.0025000E-02  3.1806966E-19
  1.0037500E-02  3.1807375E-19
  1.0050000E-02  3.1807784E-19
  1.0075000E-02  3.1808603E-19
  1.0100000E-02  3.1809422E-19
  1.0150000E-02  3.1811059E-19
  1.0200000E-02  3.1812697E-19
  1.0300000E-02  3.1815972E-19
  1.0400000E-02  3.1819247E-19
  1.0600000E-02  3.1825797E-19
