# Atomic cross section. IZ =   7
# Pratt's renormalization correction is applied
#   4   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  4.0990000E+02 eV
#  2  L1  EION =  3.7300000E+01 eV
#  3  L2  EION =  1.4530000E+01 eV
#  4  L3  EION =  1.4530000E+01 eV
#
#  Total atomic cross section
#  2171   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  3.3991456E-21
  1.0000195E-02  3.3991456E-21
  1.0000293E-02  3.3991456E-21
  1.0000391E-02  3.3991457E-21
  1.0000488E-02  3.3991457E-21
  1.0000586E-02  3.3991458E-21
  1.0000684E-02  3.3991458E-21
  1.0000781E-02  3.3991459E-21
  1.0001172E-02  3.3991461E-21
  1.0001563E-02  3.3991463E-21
  1.0002344E-02  3.3991466E-21
  1.0003125E-02  3.3991470E-21
  1.0004688E-02  3.3991477E-21
  1.0006250E-02  3.3991485E-21
  1.0009375E-02  3.3991500E-21
  1.0012500E-02  3.3991515E-21
  1.0018750E-02  3.3991544E-21
  1.0025000E-02  3.3991574E-21
  1.0037500E-02  3.3991633E-21
  1.0050000E-02  3.3991693E-21
  1.0075000E-02  3.3991812E-21
  1.0100000E-02  3.3991931E-21
  1.0150000E-02  3.3992169E-21
  1.0200000E-02  3.3992406E-21
  1.0300000E-02  3.3992882E-21
  1.0400000E-02  3.3993358E-21
  1.0600000E-02  3.3994309E-21
  1.0800000E-02  3.3995261E-21
  1.1000000E-02  3.3996212E-21
  1.2000000E-02  3.4000969E-21
  1.3000000E-02  3.4005726E-21
  1.4000000E-02  3.4010483E-21
  1.5000000E-02  3.4015240E-21
  1.6000000E-02  3.4019997E-21
  1.7000000E-02  3.4024754E-21
  1.8000000E-02  3.4029512E-21
  1.9000000E-02  3.4034270E-21
  2.0000000E-02  3.4039028E-21
  2.2000000E-02  3.4048544E-21
  2.4000000E-02  3.4058062E-21
  2.6000000E-02  3.4067582E-21
  2.8000000E-02  3.4077103E-21
  3.0000000E-02  3.4086625E-21
  3.2000000E-02  3.4096150E-21
  3.4000000E-02  3.4105678E-21
  3.6000000E-02  3.4115207E-21
  3.8000000E-02  3.4124739E-21
  4.0000000E-02  3.4134275E-21
  4.2500000E-02  3.4146198E-21
  4.5000000E-02  3.4158126E-21
  4.7500000E-02  3.4170060E-21
  5.0000000E-02  3.4182000E-21
  5.2500000E-02  3.4193947E-21
  5.5000000E-02  3.4205900E-21
  5.7500000E-02  3.4217860E-21
  6.0000000E-02  3.4229828E-21
  6.2500000E-02  3.4241804E-21
  6.5000000E-02  3.4253788E-21
  6.7500000E-02  3.4265781E-21
  7.0000000E-02  3.4277784E-21
  7.2500000E-02  3.4289795E-21
  7.5000000E-02  3.4301817E-21
  8.0000000E-02  3.4325892E-21
  8.5000000E-02  3.4350012E-21
  9.0000000E-02  3.4374178E-21
  9.5000000E-02  3.4398391E-21
  1.0000000E-01  3.4422649E-21
  1.1000000E-01  3.4471306E-21
  1.2000000E-01  3.4520147E-21
  1.3000000E-01  3.4569173E-21
  1.4000000E-01  3.4618383E-21
  1.5000000E-01  3.4667778E-21
  1.6000000E-01  3.4717357E-21
  1.7000000E-01  3.4767120E-21
  1.8000000E-01  3.4817067E-21
  1.9000000E-01  3.4867197E-21
  2.0000000E-01  3.4917511E-21
  2.2000000E-01  3.5018695E-21
  2.4000000E-01  3.5120650E-21
  2.6000000E-01  3.5223403E-21
  2.8000000E-01  3.5326975E-21
  3.0000000E-01  3.5431391E-21
  3.2000000E-01  3.5536670E-21
  3.4000000E-01  3.5642835E-21
  3.6000000E-01  3.5749909E-21
  3.8000000E-01  3.5857913E-21
  4.0000000E-01  3.5966869E-21
  4.2500000E-01  3.6104437E-21
  4.5000000E-01  3.6243570E-21
  4.7500000E-01  3.6384312E-21
  5.0000000E-01  3.6526705E-21
  5.2500000E-01  3.6670789E-21
  5.5000000E-01  3.6816606E-21
  5.7500000E-01  3.6964197E-21
  6.0000000E-01  3.7113604E-21
  6.2500000E-01  3.7264872E-21
  6.5000000E-01  3.7418047E-21
  6.7500000E-01  3.7573189E-21
  7.0000000E-01  3.7730372E-21
  7.2500000E-01  3.7889668E-21
  7.5000000E-01  3.8051150E-21
  8.0000000E-01  3.8380965E-21
  8.5000000E-01  3.8720403E-21
  9.0000000E-01  3.9070131E-21
  9.5000000E-01  3.9431135E-21
  1.0000000E+00  3.9804475E-21
  1.1000000E+00  4.0592430E-21
  1.2000000E+00  4.1442785E-21
  1.3000000E+00  4.2367859E-21
  1.4000000E+00  4.3383610E-21
  1.5000000E+00  4.4513359E-21
  1.6000000E+00  4.5784734E-21
  1.7000000E+00  4.7237617E-21
  1.8000000E+00  4.8929139E-21
  1.9000000E+00  5.0940430E-21
  2.0000000E+00  5.3392759E-21
  2.0500000E+00  5.4841232E-21
  2.1000000E+00  5.6477080E-21
  2.1500000E+00  5.8343142E-21
  2.2000000E+00  6.0494684E-21
  2.2500000E+00  6.3003024E-21
  2.3000000E+00  6.5963176E-21
  2.3500000E+00  6.9510887E-21
  2.4000000E+00  7.3825824E-21
  2.4250000E+00  7.6348987E-21
  2.4500000E+00  7.9171076E-21
  2.4750000E+00  8.2343816E-21
  2.5000000E+00  8.5931343E-21
  2.5250000E+00  9.0014049E-21
  2.5500000E+00  9.4689870E-21
  2.5750000E+00  1.0008788E-20
  2.6000000E+00  1.0636300E-20
  2.6250000E+00  1.1373634E-20
  2.6500000E+00  1.2247340E-20
  2.6750000E+00  1.3294504E-20
  2.7000000E+00  1.4565244E-20
  2.7250000E+00  1.6129072E-20
  2.7500000E+00  1.8084842E-20
  2.7625000E+00  1.9252176E-20
  2.7750000E+00  2.0576529E-20
  2.7875000E+00  2.2086532E-20
  2.8000000E+00  2.3820978E-20
  2.8125000E+00  2.5824199E-20
  2.8250000E+00  2.8155878E-20
  2.8375000E+00  3.0891911E-20
  2.8500000E+00  3.4131377E-20
  2.8625000E+00  3.8005478E-20
  2.8750000E+00  4.2690788E-20
  2.8875000E+00  4.8429355E-20
  2.8937500E+00  5.1794027E-20
  2.9000000E+00  5.5559651E-20
  2.9062500E+00  5.9790332E-20
  2.9125000E+00  6.4566798E-20
  2.9187500E+00  6.9983076E-20
  2.9250000E+00  7.6161653E-20
  2.9312500E+00  8.3249475E-20
  2.9375000E+00  9.1427429E-20
  2.9437500E+00  1.0093037E-19
  2.9500000E+00  1.1205388E-19
  2.9562500E+00  1.2517985E-19
  2.9625000E+00  1.4080589E-19
  2.9687500E+00  1.5958884E-19
  2.9750000E+00  1.8240734E-19
  2.9812500E+00  2.1045292E-19
