# Atomic cross section. IZ =  13
# Pratt's renormalization correction is applied
#   6   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  1.5596000E+03 eV
#  2  L1  EION =  1.1780000E+02 eV
#  3  L2  EION =  7.2840000E+01 eV
#  4  L3  EION =  7.2550000E+01 eV
#  5  M1  EION =  4.9050000E+00 eV
#  6  M2  EION =  4.9050000E+00 eV
#
#  Total atomic cross section
#  2171   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  3.8752551E-18
  1.0000195E-02  3.8752566E-18
  1.0000293E-02  3.8752582E-18
  1.0000391E-02  3.8752598E-18
  1.0000488E-02  3.8752614E-18
  1.0000586E-02  3.8752630E-18
  1.0000684E-02  3.8752645E-18
  1.0000781E-02  3.8752661E-18
  1.0001172E-02  3.8752724E-18
  1.0001563E-02  3.8752787E-18
  1.0002344E-02  3.8752914E-18
  1.0003125E-02  3.8753040E-18
  1.0004688E-02  3.8753293E-18
  1.0006250E-02  3.8753545E-18
  1.0009375E-02  3.8754051E-18
  1.0012500E-02  3.8754556E-18
  1.0018750E-02  3.8755567E-18
  1.0025000E-02  3.8756577E-18
  1.0037500E-02  3.8758599E-18
  1.0050000E-02  3.8760620E-18
  1.0075000E-02  3.8764663E-18
  1.0100000E-02  3.8768706E-18
  1.0150000E-02  3.8776791E-18
  1.0200000E-02  3.8784877E-18
  1.0300000E-02  3.8801048E-18
  1.0400000E-02  3.8817219E-18
  1.0600000E-02  3.8849562E-18
  1.0800000E-02  3.8881907E-18
  1.1000000E-02  3.8914254E-18
  1.2000000E-02  3.9076042E-18
  1.3000000E-02  3.9237963E-18
  1.4000000E-02  3.9400087E-18
  1.5000000E-02  3.9562480E-18
  1.6000000E-02  3.9725210E-18
  1.7000000E-02  3.9888344E-18
  1.8000000E-02  4.0051949E-18
  1.9000000E-02  4.0216094E-18
  2.0000000E-02  4.0380844E-18
  2.2000000E-02  4.0712432E-18
  2.4000000E-02  4.1047253E-18
  2.6000000E-02  4.1385845E-18
  2.8000000E-02  4.1728747E-18
  3.0000000E-02  4.2076498E-18
  3.2000000E-02  4.2429595E-18
  3.4000000E-02  4.2788180E-18
  3.6000000E-02  4.3152210E-18
  3.8000000E-02  4.3521640E-18
  4.0000000E-02  4.3896426E-18
  4.2500000E-02  4.4372372E-18
  4.5000000E-02  4.4856530E-18
  4.7500000E-02  4.5348813E-18
  5.0000000E-02  4.5849134E-18
  5.2500000E-02  4.6357458E-18
  5.5000000E-02  4.6873979E-18
  5.7500000E-02  4.7398951E-18
  6.0000000E-02  4.7932628E-18
  6.2500000E-02  4.8475266E-18
  6.5000000E-02  4.9027117E-18
  6.7500000E-02  4.9588437E-18
  7.0000000E-02  5.0159481E-18
  7.2500000E-02  5.0740502E-18
  7.5000000E-02  5.1331755E-18
  8.0000000E-02  5.2545974E-18
  8.5000000E-02  5.3804185E-18
  9.0000000E-02  5.5108609E-18
  9.5000000E-02  5.6461622E-18
  1.0000000E-01  5.7865602E-18
  1.1000000E-01  6.0836090E-18
  1.2000000E-01  6.4042144E-18
  1.3000000E-01  6.7509869E-18
  1.4000000E-01  7.1268449E-18
  1.5000000E-01  7.5351460E-18
  1.6000000E-01  7.9796945E-18
  1.7000000E-01  8.4649662E-18
  1.8000000E-01  8.9959181E-18
  1.9000000E-01  9.5787230E-18
  2.0000000E-01  1.0220276E-17
  2.2000000E-01  1.1713209E-17
  2.4000000E-01  1.3559367E-17
  2.5000000E-01  1.4650740E-17
  2.6000000E-01  1.5879229E-17
  2.7000000E-01  1.7269010E-17
  2.8000000E-01  1.8849320E-17
  2.9000000E-01  2.0655933E-17
  3.0000000E-01  2.2735499E-17
  3.1000000E-01  2.5144229E-17
  3.2000000E-01  2.7955070E-17
  3.3000000E-01  3.1262316E-17
  3.4000000E-01  3.5189068E-17
  3.5000000E-01  3.9898530E-17
  3.6000000E-01  4.5611044E-17
  3.7000000E-01  5.2628897E-17
  3.8000000E-01  6.1374632E-17
  3.9000000E-01  7.2459488E-17
  3.9500000E-01  7.9139719E-17
  4.0000000E-01  8.6768735E-17
  4.0625000E-01  9.7921982E-17
  4.1250000E-01  1.1130842E-16
  4.1875000E-01  1.2754454E-16
  4.2500000E-01  1.4746372E-16
  4.3125000E-01  1.7221003E-16
  4.3750000E-01  2.0337484E-16
  4.4062500E-01  2.2202459E-16
  4.4375000E-01  2.4319565E-16
  4.4687500E-01  2.6730558E-16
  4.5000000E-01  2.9486387E-16
  4.5312500E-01  3.2648561E-16
  4.5625000E-01  3.6289628E-16
  4.5937500E-01  4.0493648E-16
  4.6250000E-01  4.5357952E-16
  4.6875000E-01  5.7532428E-16
  4.7187500E-01  6.5067602E-16
  4.7500000E-01  7.3706355E-16
  4.7656250E-01  7.8456136E-16
  4.7812500E-01  8.3490524E-16
  4.8125000E-01  9.4342850E-16
  4.8437500E-01  1.0600176E-15
  4.8593750E-01  1.1197970E-15
  4.8750000E-01  1.1792692E-15
  4.9062500E-01  1.2923543E-15
  4.9375000E-01  1.3873282E-15
  4.9687500E-01  1.4513848E-15
  4.9843750E-01  1.4683219E-15
  5.0000000E-01  1.4740588E-15
  5.0156250E-01  1.4683265E-15
  5.0312500E-01  1.4513885E-15
  5.0625000E-01  1.3873151E-15
  5.0937500E-01  1.2923688E-15
  5.1250000E-01  1.1792617E-15
  5.1406250E-01  1.1197812E-15
  5.1562500E-01  1.0600197E-15
  5.1875000E-01  9.4342308E-16
  5.2187500E-01  8.3491602E-16
  5.2500000E-01  7.3706936E-16
  5.2812500E-01  6.5066137E-16
  5.3125000E-01  5.7528743E-16
  5.3437500E-01  5.0999222E-16
  5.3750000E-01  4.5360595E-16
  5.4375000E-01  3.6289984E-16
  5.4687500E-01  3.2649076E-16
  5.5000000E-01  2.9486900E-16
  5.5312500E-01  2.6731082E-16
  5.5625000E-01  2.4320435E-16
  5.6250000E-01  2.0338085E-16
  5.6875000E-01  1.7221728E-16
  5.7500000E-01  1.4747202E-16
  5.8125000E-01  1.2755331E-16
  5.8750000E-01  1.1131840E-16
  5.9375000E-01  9.7930232E-17
  6.0000000E-01  8.6778947E-17
  6.0625000E-01  7.7398904E-17
  6.1250000E-01  6.9438693E-17
  6.1875000E-01  6.2631874E-17
  6.2500000E-01  5.6767894E-17
  6.3125000E-01  5.1681860E-17
  6.3750000E-01  4.7244291E-17
  6.4375000E-01  4.3350214E-17
  6.5000000E-01  3.9914984E-17
  6.5625000E-01  3.6870280E-17
  6.6250000E-01  3.4159035E-17
  6.7500000E-01  2.9559097E-17
  6.8750000E-01  2.5826717E-17
  7.0000000E-01  2.2757799E-17
  7.1250000E-01  2.0204666E-17
  7.2500000E-01  1.8058321E-17
  7.3750000E-01  1.6237180E-17
  7.5000000E-01  1.4678365E-17
  7.6250000E-01  1.3335049E-17
  7.7500000E-01  1.2168496E-17
  7.8750000E-01  1.1149609E-17
  8.0000000E-01  1.0254161E-17
  8.2500000E-01  8.7613964E-18
  8.5000000E-01  7.5753401E-18
  8.7500000E-01  6.6175669E-18
  9.0000000E-01  5.8333208E-18
  9.2500000E-01  5.1832166E-18
  9.5000000E-01  4.6385025E-18
  9.7500000E-01  4.1777101E-18
  1.0000000E+00  3.7845900E-18
  1.0250000E+00  3.4466721E-18
  1.0500000E+00  3.1542001E-18
  1.0750000E+00  2.8995104E-18
  1.1000000E+00  2.6764859E-18
  1.1250000E+00  2.4802277E-18
  1.1500000E+00  2.3067618E-18
  1.2000000E+00  2.0156879E-18
  1.2500000E+00  1.7834320E-18
  1.3000000E+00  1.5962094E-18
  1.3500000E+00  1.4442752E-18
  1.4000000E+00  1.3206380E-18
  1.5000000E+00  1.1395402E-18
  1.5500000E+00  1.0760373E-18
  1.6000000E+00  1.0282422E-18
  1.6500000E+00  9.9556610E-19
  1.7000000E+00  9.7841553E-19
  1.7500000E+00  9.7840507E-19
  1.7750000E+00  9.8584498E-19
  1.8000000E+00  9.9905758E-19
  1.8250000E+00  1.0189422E-18
  1.8500000E+00  1.0466881E-18
  1.8750000E+00  1.0839211E-18
  1.9000000E+00  1.1328504E-18
  1.9250000E+00  1.1965202E-18
  1.9500000E+00  1.2792092E-18
  1.9750000E+00  1.3870602E-18
  1.9875000E+00  1.4531017E-18
  2.0000000E+00  1.5292179E-18
  2.0125000E+00  1.6171823E-18
  2.0250000E+00  1.7194060E-18
  2.0375000E+00  1.8388893E-18
  2.0500000E+00  1.9794707E-18
  2.0625000E+00  2.1461335E-18
  2.0750000E+00  2.3454343E-18
  2.0875000E+00  2.5861044E-18
  2.1000000E+00  2.8801155E-18
  2.1125000E+00  3.2439599E-18
  2.1250000E+00  3.7011316E-18
  2.1375000E+00  4.2855905E-18
  2.1437500E+00  4.6405663E-18
  2.1500000E+00  5.0482623E-18
  2.1562500E+00  5.5194316E-18
  2.1625000E+00  6.0677007E-18
  2.1687500E+00  6.7104744E-18
  2.1750000E+00  7.4701453E-18
  2.1812500E+00  8.3759060E-18
  2.1875000E+00  9.4666917E-18
  2.1937500E+00  1.0794224E-17
  2.2000000E+00  1.2429498E-17
  2.2062500E+00  1.4469508E-17
  2.2125000E+00  1.7050139E-17
  2.2156250E+00  1.8600363E-17
  2.2187500E+00  2.0363470E-17
  2.2218750E+00  2.2376184E-17
  2.2250000E+00  2.4682393E-17
  2.2281250E+00  2.7334714E-17
  2.2312500E+00  3.0394241E-17
  2.2343750E+00  3.3931558E-17
  2.2375000E+00  3.8031102E-17
  2.2437500E+00  4.8271142E-17
  2.2468750E+00  5.4585110E-17
  2.2500000E+00  6.1772508E-17
  2.2531250E+00  6.9814538E-17
  2.2562500E+00  7.8576877E-17
  2.2593750E+00  8.7719548E-17
  2.2625000E+00  9.6675038E-17
  2.2656250E+00  1.0460014E-16
  2.2687500E+00  1.1051821E-16
  2.2703125E+00  1.1242369E-16
  2.2718750E+00  1.1350788E-16
  2.2734375E+00  1.1372453E-16
  2.2750000E+00  1.1306093E-16
  2.2765625E+00  1.1154207E-16
  2.2781250E+00  1.0924698E-16
  2.2812500E+00  1.0273296E-16
  2.2843750E+00  9.4448397E-17
  2.2875000E+00  8.5375939E-17
  2.2906250E+00  7.6286620E-17
  2.2937500E+00  6.7687026E-17
  2.2968750E+00  5.9856275E-17
  2.3000000E+00  5.2895443E-17
  2.3031250E+00  4.6799861E-17
  2.3062500E+00  4.1508511E-17
  2.3125000E+00  3.2987573E-17
  2.3156250E+00  2.9580966E-17
  2.3187500E+00  2.6632848E-17
  2.3218750E+00  2.4075379E-17
  2.3250000E+00  2.1849730E-17
  2.3281250E+00  1.9905694E-17
  2.3312500E+00  1.8201200E-17
  2.3343750E+00  1.6701072E-17
  2.3375000E+00  1.5375904E-17
  2.3437500E+00  1.3154979E-17
  2.3500000E+00  1.1384249E-17
  2.3562500E+00  9.9530527E-18
  2.3625000E+00  8.7833168E-18
  2.3687500E+00  7.8157275E-18
  2.3750000E+00  7.0073965E-18
  2.3812500E+00  6.3261345E-18
  2.3875000E+00  5.7469921E-18
  2.3937500E+00  5.2508890E-18
  2.4000000E+00  4.8230595E-18
  2.4062500E+00  4.4517096E-18
  2.4125000E+00  4.1274855E-18
  2.4250000E+00  3.5919776E-18
  2.4375000E+00  3.1718188E-18
  2.4500000E+00  2.8367608E-18
  2.4625000E+00  2.5661602E-18
  2.4750000E+00  2.3448724E-18
  2.4875000E+00  2.1622390E-18
  2.5000000E+00  2.0103134E-18
  2.5125000E+00  1.8830566E-18
  2.5250000E+00  1.7759700E-18
  2.5375000E+00  1.6855070E-18
  2.5500000E+00  1.6089344E-18
  2.5750000E+00  1.4892684E-18
  2.6000000E+00  1.4044293E-18
  2.6250000E+00  1.3462682E-18
  2.6500000E+00  1.3096246E-18
  2.6750000E+00  1.2909632E-18
  2.7000000E+00  1.2882106E-18
  2.7250000E+00  1.3002868E-18
  2.7500000E+00  1.3268594E-18
  2.8000000E+00  1.4264500E-18
  2.8250000E+00  1.5030556E-18
  2.8500000E+00  1.6020081E-18
  2.8750000E+00  1.7288928E-18
  2.9000000E+00  1.8926262E-18
  2.9125000E+00  1.9924470E-18
  2.9250000E+00  2.1076245E-18
  2.9375000E+00  2.2417301E-18
  2.9500000E+00  2.3995835E-18
  2.9625000E+00  2.5881122E-18
  2.9750000E+00  2.8175173E-18
  2.9875000E+00  3.1032743E-18
  2.9937500E+00  3.2744350E-18
  3.0000000E+00  3.4699322E-18
  3.0062500E+00  3.6954604E-18
  3.0125000E+00  3.9585288E-18
  3.0187500E+00  4.2692253E-18
  3.0250000E+00  4.6413466E-18
  3.0312500E+00  5.0939511E-18
  3.0375000E+00  5.6537200E-18
  3.0437500E+00  6.3584333E-18
  3.0500000E+00  7.2617276E-18
  3.0562500E+00  8.4382918E-18
  3.0625000E+00  9.9868664E-18
  3.0687500E+00  1.2017364E-17
  3.0718750E+00  1.3237947E-17
  3.0750000E+00  1.4590770E-17
  3.0781250E+00  1.6047933E-17
  3.0796875E+00  1.6798559E-17
  3.0812500E+00  1.7549914E-17
  3.0843750E+00  1.8997799E-17
  3.0875000E+00  2.0255594E-17
  3.0906250E+00  2.1170723E-17
  3.0921875E+00  2.1457301E-17
