# Atomic cross section. IZ =  67
# Pratt's renormalization correction is applied
#  21   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  5.5618000E+04 eV
#  2  L1  EION =  9.3940000E+03 eV
#  3  L2  EION =  8.9180000E+03 eV
#  4  L3  EION =  8.0710000E+03 eV
#  5  M1  EION =  2.1280000E+03 eV
#  6  M2  EION =  1.9230000E+03 eV
#  7  M3  EION =  1.7410000E+03 eV
#  8  M4  EION =  1.3920000E+03 eV
#  9  M5  EION =  1.3510000E+03 eV
# 10  N1  EION =  4.3240000E+02 eV
# 11  N2  EION =  3.4350000E+02 eV
# 12  N3  EION =  3.0820000E+02 eV
# 13  N4  EION =  1.6000000E+02 eV
# 14  N5  EION =  1.6000000E+02 eV
# 17  O1  EION =  4.9300000E+01 eV
# 18  O2  EION =  3.0800000E+01 eV
# 19  O3  EION =  2.4100000E+01 eV
# 15  N6  EION =  8.6000000E+00 eV
# 16  N7  EION =  5.2000000E+00 eV
# 20  O4  EION =  3.0000000E+00 eV
# 24  P1  EION =  3.0000000E+00 eV
#
#  Total atomic cross section
#  2171   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  5.9967452E-18
  1.0000195E-02  5.9967476E-18
  1.0000293E-02  5.9967499E-18
  1.0000391E-02  5.9967522E-18
  1.0000488E-02  5.9967546E-18
  1.0000586E-02  5.9967569E-18
  1.0000684E-02  5.9967592E-18
  1.0000781E-02  5.9967616E-18
  1.0001172E-02  5.9967709E-18
  1.0001563E-02  5.9967803E-18
  1.0002344E-02  5.9967990E-18
  1.0003125E-02  5.9968177E-18
  1.0004688E-02  5.9968550E-18
  1.0006250E-02  5.9968924E-18
  1.0009375E-02  5.9969672E-18
  1.0012500E-02  5.9970420E-18
  1.0018750E-02  5.9971915E-18
  1.0025000E-02  5.9973410E-18
  1.0037500E-02  5.9976401E-18
  1.0050000E-02  5.9979392E-18
  1.0075000E-02  5.9985374E-18
  1.0100000E-02  5.9991357E-18
  1.0150000E-02  6.0003325E-18
  1.0200000E-02  6.0015298E-18
  1.0300000E-02  6.0039255E-18
  1.0400000E-02  6.0063226E-18
  1.0600000E-02  6.0111211E-18
  1.0800000E-02  6.0159255E-18
  1.1000000E-02  6.0207357E-18
  1.2000000E-02  6.0448743E-18
  1.3000000E-02  6.0691600E-18
  1.4000000E-02  6.0935939E-18
  1.5000000E-02  6.1181772E-18
  1.6000000E-02  6.1429112E-18
  1.7000000E-02  6.1677971E-18
  1.8000000E-02  6.1928361E-18
  1.9000000E-02  6.2180296E-18
  2.0000000E-02  6.2433788E-18
  2.2000000E-02  6.2945493E-18
  2.4000000E-02  6.3463583E-18
  2.6000000E-02  6.3988164E-18
  2.8000000E-02  6.4519345E-18
  3.0000000E-02  6.5057237E-18
  3.2000000E-02  6.5601956E-18
  3.4000000E-02  6.6153616E-18
  3.6000000E-02  6.6712336E-18
  3.8000000E-02  6.7278239E-18
  4.0000000E-02  6.7851447E-18
  4.2500000E-02  6.8578425E-18
  4.5000000E-02  6.9317270E-18
  4.7500000E-02  7.0068242E-18
  5.0000000E-02  7.0831608E-18
  5.2500000E-02  7.1607645E-18
  5.5000000E-02  7.2396634E-18
  5.7500000E-02  7.3198867E-18
  6.0000000E-02  7.4014641E-18
  6.2500000E-02  7.4844264E-18
  6.5000000E-02  7.5688053E-18
  6.7500000E-02  7.6546332E-18
  7.0000000E-02  7.7419436E-18
  7.2500000E-02  7.8307709E-18
  7.5000000E-02  7.9211505E-18
  8.0000000E-02  8.1067137E-18
  8.5000000E-02  8.2989382E-18
  9.0000000E-02  8.4981473E-18
  9.5000000E-02  8.7046845E-18
  1.0000000E-01  8.9189143E-18
  1.1000000E-01  9.3720277E-18
  1.2000000E-01  9.8608970E-18
  1.3000000E-01  1.0389395E-17
  1.4000000E-01  1.0961931E-17
  1.5000000E-01  1.1583547E-17
  1.6000000E-01  1.2260028E-17
  1.7000000E-01  1.2998036E-17
  1.8000000E-01  1.3805275E-17
  1.9000000E-01  1.4690694E-17
  2.0000000E-01  1.5664735E-17
  2.2000000E-01  1.7929856E-17
  2.4000000E-01  2.0727867E-17
  2.6000000E-01  2.4240024E-17
  2.8000000E-01  2.8731362E-17
