# Atomic cross section. IZ =  15
# Pratt's renormalization correction is applied
#   7   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  2.1455000E+03 eV
#  2  L1  EION =  1.8900000E+02 eV
#  3  L2  EION =  1.3600000E+02 eV
#  4  L3  EION =  1.2998000E+02 eV
#  5  M1  EION =  1.6150000E+01 eV
#  6  M2  EION =  1.0490000E+01 eV
#  7  M3  EION =  1.0490000E+01 eV
#
#  Total atomic cross section
#  2171   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  2.2197659E-20
  1.0000195E-02  2.2197659E-20
  1.0000293E-02  2.2197660E-20
  1.0000391E-02  2.2197660E-20
  1.0000488E-02  2.2197661E-20
  1.0000586E-02  2.2197661E-20
  1.0000684E-02  2.2197662E-20
  1.0000781E-02  2.2197662E-20
  1.0001172E-02  2.2197664E-20
  1.0001563E-02  2.2197666E-20
  1.0002344E-02  2.2197670E-20
  1.0003125E-02  2.2197674E-20
  1.0004688E-02  2.2197682E-20
  1.0006250E-02  2.2197691E-20
  1.0009375E-02  2.2197707E-20
  1.0012500E-02  2.2197723E-20
  1.0018750E-02  2.2197755E-20
  1.0025000E-02  2.2197787E-20
  1.0037500E-02  2.2197851E-20
  1.0050000E-02  2.2197916E-20
  1.0075000E-02  2.2198045E-20
  1.0100000E-02  2.2198173E-20
  1.0150000E-02  2.2198431E-20
  1.0200000E-02  2.2198688E-20
  1.0300000E-02  2.2199204E-20
  1.0400000E-02  2.2199719E-20
  1.0600000E-02  2.2200749E-20
  1.0800000E-02  2.2201779E-20
  1.1000000E-02  2.2202809E-20
  1.2000000E-02  2.2207960E-20
  1.3000000E-02  2.2213110E-20
  1.4000000E-02  2.2218261E-20
  1.5000000E-02  2.2223412E-20
  1.6000000E-02  2.2228563E-20
  1.7000000E-02  2.2233714E-20
  1.8000000E-02  2.2238865E-20
  1.9000000E-02  2.2244016E-20
  2.0000000E-02  2.2249167E-20
  2.2000000E-02  2.2259470E-20
  2.4000000E-02  2.2269774E-20
  2.6000000E-02  2.2280078E-20
  2.8000000E-02  2.2290384E-20
  3.0000000E-02  2.2300690E-20
  3.2000000E-02  2.2310998E-20
  3.4000000E-02  2.2321307E-20
  3.6000000E-02  2.2331618E-20
  3.8000000E-02  2.2341930E-20
  4.0000000E-02  2.2352243E-20
  4.2500000E-02  2.2365138E-20
  4.5000000E-02  2.2378035E-20
  4.7500000E-02  2.2390936E-20
  5.0000000E-02  2.2403840E-20
  5.2500000E-02  2.2416748E-20
  5.5000000E-02  2.2429660E-20
  5.7500000E-02  2.2442576E-20
  6.0000000E-02  2.2455496E-20
  6.2500000E-02  2.2468421E-20
  6.5000000E-02  2.2481351E-20
  6.7500000E-02  2.2494286E-20
  7.0000000E-02  2.2507226E-20
  7.2500000E-02  2.2520171E-20
  7.5000000E-02  2.2533123E-20
  8.0000000E-02  2.2559043E-20
  8.5000000E-02  2.2584990E-20
  9.0000000E-02  2.2610964E-20
  9.5000000E-02  2.2636968E-20
  1.0000000E-01  2.2663003E-20
  1.1000000E-01  2.2715174E-20
  1.2000000E-01  2.2767492E-20
  1.3000000E-01  2.2819972E-20
  1.4000000E-01  2.2872628E-20
  1.5000000E-01  2.2925468E-20
  1.6000000E-01  2.2978498E-20
