# Atomic cross section. IZ =  95
# Pratt's renormalization correction is applied
#  27   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  1.2498000E+05 eV
#  2  L1  EION =  2.3799000E+04 eV
#  3  L2  EION =  2.2945000E+04 eV
#  4  L3  EION =  1.8508000E+04 eV
#  5  M1  EION =  6.1310000E+03 eV
#  6  M2  EION =  5.7440000E+03 eV
#  7  M3  EION =  4.7060000E+03 eV
#  8  M4  EION =  4.0980000E+03 eV
#  9  M5  EION =  3.8940000E+03 eV
# 10  N1  EION =  1.6190000E+03 eV
# 11  N2  EION =  1.4350000E+03 eV
# 12  N3  EION =  1.1630000E+03 eV
# 13  N4  EION =  8.8300000E+02 eV
# 14  N5  EION =  8.3200000E+02 eV
# 17  O1  EION =  3.5100000E+02 eV
# 18  O2  EION =  2.9700000E+02 eV
# 19  O3  EION =  2.1600000E+02 eV
# 15  N6  EION =  4.6300000E+02 eV
# 16  N7  EION =  4.4800000E+02 eV
# 20  O4  EION =  1.1900000E+02 eV
# 21  O5  EION =  1.0800000E+02 eV
# 24  P1  EION =  5.0000000E+01 eV
# 25  P2  EION =  4.0000000E+01 eV
# 26  P3  EION =  3.2000000E+01 eV
# 22  O6  EION =  2.0000000E+00 eV
# 27  P4  EION =  2.0000000E+00 eV
# 29  Q1  EION =  2.0000000E+00 eV
#
#  Total atomic cross section
#  2171   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  7.6626099E-18
  1.0000195E-02  7.6626131E-18
  1.0000293E-02  7.6626162E-18
  1.0000391E-02  7.6626193E-18
  1.0000488E-02  7.6626225E-18
  1.0000586E-02  7.6626256E-18
  1.0000781E-02  7.6626318E-18
  1.0001172E-02  7.6626443E-18
  1.0001563E-02  7.6626568E-18
  1.0002344E-02  7.6626819E-18
  1.0003125E-02  7.6627069E-18
  1.0004688E-02  7.6627569E-18
  1.0006250E-02  7.6628069E-18
  1.0009375E-02  7.6629070E-18
  1.0012500E-02  7.6630070E-18
  1.0018750E-02  7.6632071E-18
  1.0025000E-02  7.6634072E-18
  1.0037500E-02  7.6638075E-18
  1.0050000E-02  7.6642077E-18
  1.0075000E-02  7.6650081E-18
  1.0100000E-02  7.6658086E-18
  1.0150000E-02  7.6674095E-18
  1.0200000E-02  7.6690105E-18
  1.0300000E-02  7.6722127E-18
  1.0400000E-02  7.6754152E-18
  1.0600000E-02  7.6818210E-18
  1.0800000E-02  7.6882280E-18
  1.1000000E-02  7.6946362E-18
  1.2000000E-02  7.7266985E-18
  1.3000000E-02  7.7588026E-18
  1.4000000E-02  7.7909573E-18
  1.5000000E-02  7.8231714E-18
  1.6000000E-02  7.8554538E-18
  1.7000000E-02  7.8878133E-18
  1.8000000E-02  7.9202587E-18
  1.9000000E-02  7.9527988E-18
  2.0000000E-02  7.9854425E-18
  2.2000000E-02  8.0510758E-18
  2.4000000E-02  8.1172294E-18
  2.6000000E-02  8.1839737E-18
  2.8000000E-02  8.2513794E-18
  3.0000000E-02  8.3195170E-18
  3.2000000E-02  8.3884573E-18
  3.4000000E-02  8.4582708E-18
  3.6000000E-02  8.5290281E-18
  3.8000000E-02  8.6007998E-18
  4.0000000E-02  8.6736565E-18
  4.2500000E-02  8.7663245E-18
  4.5000000E-02  8.8607680E-18
  4.7500000E-02  8.9569772E-18
  5.0000000E-02  9.0549425E-18
  5.2500000E-02  9.1546541E-18
  5.5000000E-02  9.2561023E-18
  5.7500000E-02  9.3592774E-18
  6.0000000E-02  9.4641698E-18
  6.2500000E-02  9.5707745E-18
  6.5000000E-02  9.6791265E-18
  6.7500000E-02  9.7892805E-18
  7.0000000E-02  9.9012911E-18
  7.2500000E-02  1.0015213E-17
  7.5000000E-02  1.0131101E-17
  8.0000000E-02  1.0368996E-17
  8.5000000E-02  1.0615421E-17
  9.0000000E-02  1.0870824E-17
  9.5000000E-02  1.1135652E-17
  1.0000000E-01  1.1410382E-17
  1.1000000E-01  1.1991568E-17
  1.2000000E-01  1.2618487E-17
  1.3000000E-01  1.3296202E-17
  1.4000000E-01  1.4030602E-17
  1.5000000E-01  1.4827815E-17
  1.6000000E-01  1.5695306E-17
  1.7000000E-01  1.6641691E-17
  1.8000000E-01  1.7676821E-17
  1.9000000E-01  1.8812192E-17
  2.0000000E-01  2.0060917E-17
  2.2000000E-01  2.2965186E-17
  2.4000000E-01  2.6551958E-17
  2.6000000E-01  3.1053376E-17
  2.8000000E-01  3.6808988E-17
  3.0000000E-01  4.4330193E-17
  3.2000000E-01  5.4416619E-17
  3.4000000E-01  6.8381548E-17
  3.6000000E-01  8.8471750E-17
  3.7000000E-01  1.0198683E-16
  3.8000000E-01  1.1882166E-16
  3.9000000E-01  1.4013549E-16
  4.0000000E-01  1.6764479E-16
  4.1250000E-01  2.1478357E-16
  4.1875000E-01  2.4595616E-16
  4.2500000E-01  2.8418722E-16
  4.3125000E-01  3.3166696E-16
  4.3750000E-01  3.9144377E-16
  4.4375000E-01  4.6780792E-16
  4.5000000E-01  5.6685555E-16
  4.5625000E-01  6.9724274E-16
  4.6250000E-01  8.7106292E-16
  4.6875000E-01  1.1042073E-15
  4.7500000E-01  1.4141287E-15
  4.7812500E-01  1.6015308E-15
  4.8125000E-01  1.8094194E-15
  4.8437500E-01  2.0327617E-15
  4.8750000E-01  2.2611895E-15
  4.9375000E-01  2.6598802E-15
  4.9687500E-01  2.7826243E-15
  5.0000000E-01  2.8262314E-15
  5.0312500E-01  2.7830692E-15
  5.0625000E-01  2.6607864E-15
  5.1250000E-01  2.2631051E-15
  5.1562500E-01  2.0351863E-15
  5.1875000E-01  1.8123765E-15
  5.2187500E-01  1.6050585E-15
  5.2500000E-01  1.4182716E-15
  5.3125000E-01  1.1097488E-15
  5.3750000E-01  8.7830033E-16
  5.4375000E-01  7.0660229E-16
  5.5000000E-01  5.7891409E-16
  5.5625000E-01  4.8331543E-16
  5.6250000E-01  4.1127353E-16
