# Atomic cross section. IZ =  53
# Pratt's renormalization correction is applied
#  17   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  3.3169000E+04 eV
#  2  L1  EION =  5.1880000E+03 eV
#  3  L2  EION =  4.8520000E+03 eV
#  4  L3  EION =  4.5570000E+03 eV
#  5  M1  EION =  1.0720000E+03 eV
#  6  M2  EION =  9.3100000E+02 eV
#  7  M3  EION =  8.7500000E+02 eV
#  8  M4  EION =  6.3080000E+02 eV
#  9  M5  EION =  6.1930000E+02 eV
# 10  N1  EION =  1.8600000E+02 eV
# 11  N2  EION =  1.2300000E+02 eV
# 12  N3  EION =  1.2300000E+02 eV
# 13  N4  EION =  5.0600000E+01 eV
# 14  N5  EION =  4.8900000E+01 eV
# 17  O1  EION =  2.0610000E+01 eV
# 18  O2  EION =  1.0450000E+01 eV
# 19  O3  EION =  1.0450000E+01 eV
#
#  Total atomic cross section
#  2171   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  3.9280578E-20
  1.0000195E-02  3.9280579E-20
  1.0000293E-02  3.9280579E-20
  1.0000391E-02  3.9280580E-20
  1.0000488E-02  3.9280581E-20
  1.0000586E-02  3.9280581E-20
  1.0000684E-02  3.9280582E-20
  1.0000781E-02  3.9280582E-20
  1.0001172E-02  3.9280585E-20
  1.0001563E-02  3.9280587E-20
  1.0002344E-02  3.9280592E-20
  1.0003125E-02  3.9280597E-20
  1.0004688E-02  3.9280606E-20
  1.0006250E-02  3.9280616E-20
  1.0009375E-02  3.9280635E-20
  1.0012500E-02  3.9280654E-20
  1.0018750E-02  3.9280692E-20
  1.0025000E-02  3.9280731E-20
  1.0037500E-02  3.9280807E-20
  1.0050000E-02  3.9280884E-20
  1.0075000E-02  3.9281037E-20
  1.0100000E-02  3.9281190E-20
  1.0150000E-02  3.9281496E-20
  1.0200000E-02  3.9281803E-20
  1.0300000E-02  3.9282415E-20
  1.0400000E-02  3.9283028E-20
  1.0600000E-02  3.9284253E-20
  1.0800000E-02  3.9285478E-20
  1.1000000E-02  3.9286703E-20
  1.2000000E-02  3.9292831E-20
  1.3000000E-02  3.9298961E-20
  1.4000000E-02  3.9305092E-20
  1.5000000E-02  3.9311226E-20
  1.6000000E-02  3.9317361E-20
  1.7000000E-02  3.9323499E-20
  1.8000000E-02  3.9329638E-20
  1.9000000E-02  3.9335779E-20
  2.0000000E-02  3.9341922E-20
  2.2000000E-02  3.9354214E-20
  2.4000000E-02  3.9366513E-20
  2.6000000E-02  3.9378820E-20
  2.8000000E-02  3.9391135E-20
  3.0000000E-02  3.9403457E-20
  3.2000000E-02  3.9415787E-20
  3.4000000E-02  3.9428125E-20
  3.6000000E-02  3.9440471E-20
  3.8000000E-02  3.9452824E-20
  4.0000000E-02  3.9465186E-20
  4.2500000E-02  3.9480648E-20
  4.5000000E-02  3.9496123E-20
  4.7500000E-02  3.9511610E-20
  5.0000000E-02  3.9527109E-20
  5.2500000E-02  3.9542620E-20
  5.5000000E-02  3.9558144E-20
  5.7500000E-02  3.9573680E-20
  6.0000000E-02  3.9589229E-20
  6.2500000E-02  3.9604790E-20
  6.5000000E-02  3.9620364E-20
  6.7500000E-02  3.9635950E-20
  7.0000000E-02  3.9651548E-20
  7.2500000E-02  3.9667159E-20
  7.5000000E-02  3.9682783E-20
  8.0000000E-02  3.9714068E-20
  8.5000000E-02  3.9745404E-20
  9.0000000E-02  3.9776791E-20
  9.5000000E-02  3.9808229E-20
  1.0000000E-01  3.9839719E-20
  1.1000000E-01  3.9902855E-20
  1.2000000E-01  3.9966200E-20
  1.3000000E-01  4.0029757E-20
  1.4000000E-01  4.0093528E-20
  1.5000000E-01  4.0157515E-20
  1.6000000E-01  4.0221722E-20
  1.7000000E-01  4.0286149E-20
  1.8000000E-01  4.0350801E-20
  1.9000000E-01  4.0415679E-20
  2.0000000E-01  4.0480787E-20
  2.2000000E-01  4.0611699E-20
  2.4000000E-01  4.0743556E-20
  2.6000000E-01  4.0876378E-20
  2.8000000E-01  4.1010187E-20
  3.0000000E-01  4.1145005E-20
  3.2000000E-01  4.1280863E-20
  3.4000000E-01  4.1417789E-20
  3.6000000E-01  4.1555822E-20
  3.8000000E-01  4.1695003E-20
  4.0000000E-01  4.1835383E-20
  4.2500000E-01  4.2012634E-20
