# Atomic cross section. IZ =  93
# Pratt's renormalization correction is applied
#  27   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  1.1867200E+05 eV
#  2  L1  EION =  2.2423000E+04 eV
#  3  L2  EION =  2.1598000E+04 eV
#  4  L3  EION =  1.7608000E+04 eV
#  5  M1  EION =  5.7380000E+03 eV
#  6  M2  EION =  5.3660000E+03 eV
#  7  M3  EION =  4.4360000E+03 eV
#  8  M4  EION =  3.8500000E+03 eV
#  9  M5  EION =  3.6650000E+03 eV
# 10  N1  EION =  1.5000000E+03 eV
# 11  N2  EION =  1.3270000E+03 eV
# 12  N3  EION =  1.0850000E+03 eV
# 13  N4  EION =  8.1500000E+02 eV
# 14  N5  EION =  7.7000000E+02 eV
# 17  O1  EION =  3.4200000E+02 eV
# 18  O2  EION =  2.7000000E+02 eV
# 19  O3  EION =  2.0700000E+02 eV
# 15  N6  EION =  4.1700000E+02 eV
# 16  N7  EION =  4.0600000E+02 eV
# 20  O4  EION =  1.1200000E+02 eV
# 21  O5  EION =  1.0200000E+02 eV
# 24  P1  EION =  5.0000000E+01 eV
# 25  P2  EION =  3.1000000E+01 eV
# 26  P3  EION =  2.1000000E+01 eV
# 22  O6  EION =  2.0000000E+00 eV
# 27  P4  EION =  2.0000000E+00 eV
# 29  Q1  EION =  2.0000000E+00 eV
#
#  Total atomic cross section
#  2171   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  7.3511713E-18
  1.0000195E-02  7.3511743E-18
  1.0000293E-02  7.3511773E-18
  1.0000391E-02  7.3511803E-18
  1.0000488E-02  7.3511834E-18
  1.0000586E-02  7.3511864E-18
  1.0000781E-02  7.3511924E-18
  1.0001172E-02  7.3512045E-18
  1.0001563E-02  7.3512165E-18
  1.0002344E-02  7.3512406E-18
  1.0003125E-02  7.3512648E-18
  1.0004688E-02  7.3513130E-18
  1.0006250E-02  7.3513613E-18
  1.0009375E-02  7.3514577E-18
  1.0012500E-02  7.3515542E-18
  1.0018750E-02  7.3517472E-18
  1.0025000E-02  7.3519402E-18
  1.0037500E-02  7.3523261E-18
  1.0050000E-02  7.3527120E-18
  1.0075000E-02  7.3534839E-18
  1.0100000E-02  7.3542558E-18
  1.0150000E-02  7.3557996E-18
  1.0200000E-02  7.3573434E-18
  1.0300000E-02  7.3604309E-18
  1.0400000E-02  7.3635185E-18
  1.0600000E-02  7.3696938E-18
  1.0800000E-02  7.3758693E-18
  1.1000000E-02  7.3820452E-18
  1.2000000E-02  7.4129315E-18
  1.3000000E-02  7.4438368E-18
  1.4000000E-02  7.4747706E-18
  1.5000000E-02  7.5057423E-18
  1.6000000E-02  7.5367614E-18
  1.7000000E-02  7.5678373E-18
  1.8000000E-02  7.5989796E-18
  1.9000000E-02  7.6301978E-18
  2.0000000E-02  7.6615013E-18
  2.2000000E-02  7.7244021E-18
  2.4000000E-02  7.7877579E-18
  2.6000000E-02  7.8516446E-18
  2.8000000E-02  7.9161380E-18
  3.0000000E-02  7.9813139E-18
  3.2000000E-02  8.0472482E-18
  3.4000000E-02  8.1140168E-18
  3.6000000E-02  8.1816953E-18
  3.8000000E-02  8.2503598E-18
  4.0000000E-02  8.3200859E-18
  4.2500000E-02  8.4088118E-18
  4.5000000E-02  8.4992764E-18
  4.7500000E-02  8.5914638E-18
  5.0000000E-02  8.6853579E-18
  5.2500000E-02  8.7809428E-18
  5.5000000E-02  8.8782027E-18
  5.7500000E-02  8.9771214E-18
  6.0000000E-02  9.0776832E-18
  6.2500000E-02  9.1798772E-18
  6.5000000E-02  9.2837362E-18
  6.7500000E-02  9.3893140E-18
  7.0000000E-02  9.4966648E-18
  7.2500000E-02  9.6058425E-18
  7.5000000E-02  9.7169014E-18
  8.0000000E-02  9.9448785E-18
  8.5000000E-02  1.0181029E-17
  9.0000000E-02  1.0425785E-17
  9.5000000E-02  1.0679580E-17
  1.0000000E-01  1.0942872E-17
  1.1000000E-01  1.1499877E-17
  1.2000000E-01  1.2100717E-17
  1.3000000E-01  1.2750241E-17
  1.4000000E-01  1.3454097E-17
  1.5000000E-01  1.4218164E-17
  1.6000000E-01  1.5049598E-17
  1.7000000E-01  1.5956657E-17
  1.8000000E-01  1.6948788E-17
  1.9000000E-01  1.8037013E-17
  2.0000000E-01  1.9233903E-17
  2.2000000E-01  2.2017695E-17
  2.4000000E-01  2.5455816E-17
  2.6000000E-01  2.9770877E-17
  2.8000000E-01  3.5288504E-17
  3.0000000E-01  4.2499161E-17
  3.2000000E-01  5.2169792E-17
  3.4000000E-01  6.5560105E-17
  3.6000000E-01  8.4825373E-17
  3.7000000E-01  9.7786429E-17
  3.8000000E-01  1.1393199E-16
  3.9000000E-01  1.3437431E-16
  4.0000000E-01  1.6076031E-16
  4.1250000E-01  2.0597737E-16
  4.2500000E-01  2.7255687E-16
  4.3750000E-01  3.7545721E-16
  4.4375000E-01  4.4872403E-16
  4.5000000E-01  5.4375793E-16
  4.5625000E-01  6.6886598E-16
  4.6250000E-01  8.3565410E-16
  4.6875000E-01  1.0593729E-15
  4.7500000E-01  1.3567714E-15
  4.8125000E-01  1.7360939E-15
  4.8750000E-01  2.1696090E-15
  4.9375000E-01  2.5521600E-15
  4.9687500E-01  2.6699060E-15
  5.0000000E-01  2.7116906E-15
  5.0312500E-01  2.6701872E-15
  5.0625000E-01  2.5527354E-15
  5.1250000E-01  2.1708386E-15
  5.1875000E-01  1.7379649E-15
  5.2500000E-01  1.3593501E-15
  5.3125000E-01  1.0627520E-15
  5.3750000E-01  8.3996383E-16
  5.4375000E-01  6.7423961E-16
  5.5000000E-01  5.5047833E-16
  5.5625000E-01  4.5710001E-16
  5.6250000E-01  3.8594548E-16
  5.6875000E-01  3.3133268E-16
  5.7500000E-01  2.8931490E-16
  5.8750000E-01  2.3207614E-16
  5.9375000E-01  2.1171312E-16
  6.0000000E-01  1.9309272E-16
  6.0625000E-01  1.7460549E-16
  6.1250000E-01  1.5679649E-16
  6.2500000E-01  1.2763953E-16
  6.3750000E-01  1.0836531E-16
  6.5000000E-01  9.6090449E-17
  6.6250000E-01  8.7541059E-17
  6.7500000E-01  8.3356966E-17
  6.8750000E-01  8.5749503E-17
  7.0000000E-01  9.8190206E-17
  7.0625000E-01  1.1007435E-16
  7.1250000E-01  1.2677897E-16
  7.1875000E-01  1.4788058E-16
  7.2500000E-01  1.6963070E-16
  7.3125000E-01  1.8347438E-16
  7.3750000E-01  1.8076459E-16
  7.4062500E-01  1.7293786E-16
  7.4375000E-01  1.6207939E-16
  7.5000000E-01  1.3646216E-16
  7.5625000E-01  1.1200381E-16
  7.6250000E-01  9.1940933E-17
  7.6875000E-01  7.6444839E-17
  7.7500000E-01  6.4661845E-17
  7.8750000E-01  4.8680619E-17
  8.0000000E-01  3.8761752E-17
  8.1250000E-01  3.2160700E-17
  8.2500000E-01  2.7490060E-17
  8.3750000E-01  2.4017195E-17
  8.5000000E-01  2.1332137E-17
  8.6250000E-01  1.9190902E-17
  8.7500000E-01  1.7441914E-17
  9.0000000E-01  1.4756016E-17
  9.5000000E-01  1.1334248E-17
  9.7500000E-01  1.0231340E-17
  1.0000000E+00  9.4280427E-18
  1.0250000E+00  8.9131840E-18
  1.0500000E+00  8.7463272E-18
  1.0625000E+00  8.8496987E-18
  1.0750000E+00  9.1455400E-18
  1.0875000E+00  9.7403730E-18
  1.1000000E+00  1.0839465E-17
  1.1125000E+00  1.2849044E-17
  1.1250000E+00  1.6488248E-17
  1.1312500E+00  1.9119594E-17
  1.1375000E+00  2.2081294E-17
  1.1437500E+00  2.4635475E-17
  1.1500000E+00  2.5717274E-17
  1.1562500E+00  2.4925804E-17
  1.1625000E+00  2.3053216E-17
  1.1687500E+00  2.1204560E-17
  1.1750000E+00  2.0013262E-17
  1.1812500E+00  1.9661728E-17
  1.1875000E+00  2.0094066E-17
  1.1937500E+00  2.1073037E-17
  1.2000000E+00  2.2186858E-17
  1.2062500E+00  2.3103953E-17
  1.2125000E+00  2.3966999E-17
  1.2250000E+00  2.7538974E-17
  1.2375000E+00  3.5817122E-17
  1.2437500E+00  4.2064343E-17
  1.2500000E+00  4.8841970E-17
  1.2562500E+00  5.3726572E-17
  1.2593750E+00  5.4483159E-17
  1.2625000E+00  5.3809188E-17
  1.2656250E+00  5.1775214E-17
  1.2687500E+00  4.8679017E-17
  1.2750000E+00  4.0921855E-17
  1.2812500E+00  3.3258948E-17
  1.2875000E+00  2.6921800E-17
  1.2937500E+00  2.2057338E-17
  1.3000000E+00  1.8418644E-17
  1.3125000E+00  1.3672185E-17
  1.3250000E+00  1.0987390E-17
  1.3375000E+00  9.5472337E-18
  1.3500000E+00  8.9731536E-18
  1.3562500E+00  8.8728500E-18
  1.3625000E+00  8.9057759E-18
  1.3687500E+00  9.1184300E-18
  1.3750000E+00  9.5880011E-18
  1.3812500E+00  1.0459478E-17
  1.3875000E+00  1.1777886E-17
  1.3937500E+00  1.3136463E-17
  1.4000000E+00  1.4169786E-17
  1.4062500E+00  1.4966097E-17
  1.4125000E+00  1.5705818E-17
  1.4250000E+00  1.7542791E-17
  1.4312500E+00  1.8844398E-17
  1.4375000E+00  2.0466798E-17
  1.4437500E+00  2.2259958E-17
  1.4468750E+00  2.3079260E-17
  1.4500000E+00  2.3725512E-17
  1.4562500E+00  2.4142377E-17
  1.4625000E+00  2.3230951E-17
  1.4687500E+00  2.1499293E-17
  1.4750000E+00  1.9652152E-17
  1.4875000E+00  1.6838558E-17
  1.5000000E+00  1.5210253E-17
  1.5125000E+00  1.4283649E-17
  1.5250000E+00  1.3744938E-17
  1.5375000E+00  1.3445604E-17
  1.5500000E+00  1.3329440E-17
  1.5750000E+00  1.3729624E-17
  1.5875000E+00  1.4490237E-17
  1.5937500E+00  1.5125995E-17
  1.6000000E+00  1.5985061E-17
  1.6062500E+00  1.7051307E-17
  1.6125000E+00  1.8152475E-17
  1.6187500E+00  1.8886264E-17
  1.6250000E+00  1.8838639E-17
  1.6312500E+00  1.8030187E-17
  1.6375000E+00  1.6894474E-17
  1.6500000E+00  1.5021793E-17
  1.6625000E+00  1.4301579E-17
  1.6687500E+00  1.4438505E-17
  1.6718750E+00  1.4610076E-17
  1.6750000E+00  1.4802336E-17
  1.6812500E+00  1.5107993E-17
  1.6875000E+00  1.5259208E-17
  1.6937500E+00  1.5311617E-17
  1.7000000E+00  1.5315620E-17
  1.7250000E+00  1.5200078E-17
  1.7500000E+00  1.5063187E-17
  1.7750000E+00  1.4949392E-17
  1.8000000E+00  1.4850806E-17
  1.9000000E+00  1.4547413E-17
  2.0000000E+00  1.4304261E-17
  2.2000000E+00  1.3649284E-17
  2.4000000E+00  1.3096045E-17
  2.6000000E+00  1.2633535E-17
  2.8000000E+00  1.2237129E-17
  3.0000000E+00  1.1891697E-17
  3.2000000E+00  1.1587943E-17
  3.4000000E+00  1.1318228E-17
  3.6000000E+00  1.1076885E-17
  3.8000000E+00  1.0858943E-17
  4.0000000E+00  1.0660748E-17
  4.2500000E+00  1.0436363E-17
  4.5000000E+00  1.0233443E-17
  4.7500000E+00  1.0048315E-17
  5.0000000E+00  9.8778510E-18
  5.2500000E+00  9.7195110E-18
  5.5000000E+00  9.5711645E-18
  5.7500000E+00  9.4314570E-18
  6.0000000E+00  9.2990315E-18
  6.2500000E+00  9.1724892E-18
  6.5000000E+00  9.0507000E-18
  6.7500000E+00  8.9330766E-18
  7.0000000E+00  8.8190606E-18
  7.2500000E+00  8.7080887E-18
  7.5000000E+00  8.5997136E-18
  8.0000000E+00  8.3898699E-18
  8.5000000E+00  8.1881853E-18
  9.0000000E+00  7.9942485E-18
  9.5000000E+00  7.8086570E-18
  1.0000000E+01  7.6326214E-18
  1.1000000E+01  7.3146166E-18
  1.2000000E+01  7.0557830E-18
  1.3000000E+01  6.8810217E-18
  1.4000000E+01  6.8460225E-18
  1.4500000E+01  6.9307095E-18
  1.5000000E+01  7.1706268E-18
  1.5250000E+01  7.4107727E-18
  1.5500000E+01  7.8203869E-18
  1.5750000E+01  8.6003691E-18
  1.5875000E+01  9.3061867E-18
  1.5937500E+01  9.8220790E-18
  1.6000000E+01  1.0527369E-17
  1.6062500E+01  1.1554367E-17
  1.6125000E+01  1.3197580E-17
  1.6156250E+01  1.4455614E-17
  1.6187500E+01  1.6248260E-17
  1.6218750E+01  1.8981910E-17
  1.6250000E+01  2.3549425E-17
  1.6265625E+01  2.7123613E-17
  1.6281250E+01  3.2237521E-17
  1.6296875E+01  3.9937406E-17
  1.6312500E+01  5.2293679E-17
  1.6320312E+01  6.1444951E-17
  1.6328125E+01  7.3758217E-17
  1.6335938E+01  9.0728248E-17
  1.6343750E+01  1.1467269E-16
  1.6351562E+01  1.4905759E-16
  1.6359375E+01  1.9838058E-16
  1.6363281E+01  2.2981120E-16
  1.6367188E+01  2.6554600E-16
  1.6371094E+01  3.0405700E-16
  1.6375000E+01  3.4193531E-16
  1.6378906E+01  3.7367677E-16
  1.6382812E+01  3.9287755E-16
  1.6386719E+01  3.9468732E-16
