# Atomic cross section. IZ =  40
# Pratt's renormalization correction is applied
#  14   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  1.7998000E+04 eV
#  2  L1  EION =  2.5320000E+03 eV
#  3  L2  EION =  2.3070000E+03 eV
#  4  L3  EION =  2.2230000E+03 eV
#  5  M1  EION =  4.3030000E+02 eV
#  6  M2  EION =  3.4350000E+02 eV
#  7  M3  EION =  3.2980000E+02 eV
#  8  M4  EION =  1.8110000E+02 eV
#  9  M5  EION =  1.7880000E+02 eV
# 10  N1  EION =  5.0600000E+01 eV
# 11  N2  EION =  2.8500000E+01 eV
# 12  N3  EION =  2.7100000E+01 eV
# 13  N4  EION =  3.6750000E+00 eV
# 17  O1  EION =  3.6750000E+00 eV
#
#  Total atomic cross section
#  2171   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  5.8239300E-18
  1.0000195E-02  5.8239322E-18
  1.0000293E-02  5.8239345E-18
  1.0000391E-02  5.8239367E-18
  1.0000488E-02  5.8239390E-18
  1.0000586E-02  5.8239413E-18
  1.0000684E-02  5.8239435E-18
  1.0000781E-02  5.8239458E-18
  1.0001172E-02  5.8239549E-18
  1.0001563E-02  5.8239639E-18
  1.0002344E-02  5.8239820E-18
  1.0003125E-02  5.8240002E-18
  1.0004688E-02  5.8240364E-18
  1.0006250E-02  5.8240726E-18
  1.0009375E-02  5.8241451E-18
  1.0012500E-02  5.8242176E-18
  1.0018750E-02  5.8243625E-18
  1.0025000E-02  5.8245075E-18
  1.0037500E-02  5.8247974E-18
  1.0050000E-02  5.8250873E-18
  1.0075000E-02  5.8256671E-18
  1.0100000E-02  5.8262471E-18
  1.0150000E-02  5.8274072E-18
  1.0200000E-02  5.8285678E-18
  1.0300000E-02  5.8308900E-18
  1.0400000E-02  5.8332135E-18
  1.0600000E-02  5.8378650E-18
  1.0800000E-02  5.8425221E-18
  1.1000000E-02  5.8471849E-18
  1.2000000E-02  5.8705845E-18
  1.3000000E-02  5.8941278E-18
  1.4000000E-02  5.9178160E-18
  1.5000000E-02  5.9416501E-18
  1.6000000E-02  5.9656315E-18
  1.7000000E-02  5.9897614E-18
  1.8000000E-02  6.0140409E-18
  1.9000000E-02  6.0384713E-18
  2.0000000E-02  6.0630538E-18
  2.2000000E-02  6.1126805E-18
  2.4000000E-02  6.1629313E-18
  2.6000000E-02  6.2138165E-18
  2.8000000E-02  6.2653470E-18
  3.0000000E-02  6.3175337E-18
  3.2000000E-02  6.3703877E-18
  3.4000000E-02  6.4239206E-18
  3.6000000E-02  6.4781439E-18
  3.8000000E-02  6.5330697E-18
  4.0000000E-02  6.5887100E-18
  4.2500000E-02  6.6592843E-18
  4.5000000E-02  6.7310196E-18
  4.7500000E-02  6.8039413E-18
  5.0000000E-02  6.8780758E-18
  5.2500000E-02  6.9534502E-18
  5.5000000E-02  7.0300923E-18
  5.7500000E-02  7.1080305E-18
  6.0000000E-02  7.1872944E-18
  6.2500000E-02  7.2679140E-18
  6.5000000E-02  7.3499206E-18
  6.7500000E-02  7.4333461E-18
  7.0000000E-02  7.5182233E-18
  7.2500000E-02  7.6045862E-18
  7.5000000E-02  7.6924696E-18
  8.0000000E-02  7.8729426E-18
  8.5000000E-02  8.0599422E-18
  9.0000000E-02  8.2537869E-18
  9.5000000E-02  8.4548146E-18
  1.0000000E-01  8.6633843E-18
  1.1000000E-01  9.1047011E-18
  1.2000000E-01  9.5810962E-18
  1.3000000E-01  1.0096383E-17
  1.4000000E-01  1.0654910E-17
  1.5000000E-01  1.1261646E-17
  1.6000000E-01  1.1922296E-17
  1.7000000E-01  1.2643429E-17
  1.8000000E-01  1.3432649E-17
  1.9000000E-01  1.4298786E-17
  2.0000000E-01  1.5252147E-17
  2.2000000E-01  1.7471069E-17
  2.4000000E-01  2.0215146E-17
  2.5000000E-01  2.1837244E-17
  2.6000000E-01  2.3663436E-17
  2.7000000E-01  2.5729201E-17
  2.8000000E-01  2.8078089E-17
  2.9000000E-01  3.0764434E-17
  3.0000000E-01  3.3854395E-17
  3.1000000E-01  3.7435736E-17
  3.2000000E-01  4.1614030E-17
  3.3000000E-01  4.6530419E-17
  3.4000000E-01  5.2367788E-17
  3.5000000E-01  5.9368769E-17
  3.6000000E-01  6.7861099E-17
  3.7000000E-01  7.8294140E-17
  3.8000000E-01  9.1297437E-17
  3.9000000E-01  1.0777457E-16
  3.9500000E-01  1.1770604E-16
  4.0000000E-01  1.2904711E-16
  4.0625000E-01  1.4562808E-16
  4.1250000E-01  1.6552925E-16
  4.1875000E-01  1.8966634E-16
  4.2500000E-01  2.1927909E-16
  4.3125000E-01  2.5606764E-16
  4.3750000E-01  3.0239920E-16
  4.4062500E-01  3.3012737E-16
  4.4375000E-01  3.6159881E-16
  4.4687500E-01  3.9744202E-16
  4.5000000E-01  4.3841187E-16
  4.5312500E-01  4.8542251E-16
  4.5625000E-01  5.3955253E-16
  4.5937500E-01  6.0204810E-16
  4.6250000E-01  6.7437748E-16
  4.6875000E-01  8.5533573E-16
  4.7187500E-01  9.6735495E-16
  4.7500000E-01  1.0958099E-15
  4.7656250E-01  1.1664340E-15
  4.7812500E-01  1.2412590E-15
  4.8125000E-01  1.4026113E-15
  4.8437500E-01  1.5759582E-15
  4.8593750E-01  1.6647773E-15
  4.8750000E-01  1.7532274E-15
  4.9062500E-01  1.9213164E-15
  4.9375000E-01  2.0625499E-15
  4.9687500E-01  2.1577573E-15
  4.9843750E-01  2.1829496E-15
  5.0000000E-01  2.1914685E-15
  5.0156250E-01  2.1829431E-15
  5.0312500E-01  2.1577625E-15
  5.0625000E-01  2.0625323E-15
  5.0937500E-01  1.9213391E-15
  5.1250000E-01  1.7532169E-15
  5.1406250E-01  1.6648075E-15
  5.1562500E-01  1.5759350E-15
  5.1875000E-01  1.4026111E-15
  5.2187500E-01  1.2412683E-15
  5.2500000E-01  1.0958230E-15
  5.2812500E-01  9.6735617E-16
  5.3125000E-01  8.5530174E-16
  5.3437500E-01  7.5823000E-16
  5.3750000E-01  6.7440865E-16
  5.4375000E-01  5.3951871E-16
  5.4687500E-01  4.8542504E-16
  5.5000000E-01  4.3841838E-16
  5.5312500E-01  3.9744338E-16
  5.5625000E-01  3.6160700E-16
  5.6250000E-01  3.0240313E-16
  5.6875000E-01  2.5607314E-16
  5.7500000E-01  2.1928451E-16
  5.8125000E-01  1.8967166E-16
  5.8750000E-01  1.6553436E-16
  5.9375000E-01  1.4563326E-16
  6.0000000E-01  1.2905426E-16
  6.0625000E-01  1.1510840E-16
  6.1250000E-01  1.0327437E-16
  6.1875000E-01  9.3154423E-17
  6.2500000E-01  8.4436345E-17
  6.3125000E-01  7.6874773E-17
  6.3750000E-01  7.0277315E-17
  6.4375000E-01  6.4487943E-17
  6.5000000E-01  5.9380528E-17
  6.5625000E-01  5.4853584E-17
  6.6250000E-01  5.0822806E-17
  6.7500000E-01  4.3983383E-17
  6.8750000E-01  3.8433856E-17
  7.0000000E-01  3.3870791E-17
  7.1250000E-01  3.0074427E-17
  7.2500000E-01  2.6882829E-17
  7.3750000E-01  2.4173895E-17
  7.5000000E-01  2.1856927E-17
  7.6250000E-01  1.9858444E-17
  7.7500000E-01  1.8123588E-17
  7.8750000E-01  1.6607867E-17
  8.0000000E-01  1.5275861E-17
  8.2500000E-01  1.3054942E-17
  8.5000000E-01  1.1289769E-17
  8.7500000E-01  9.8640398E-18
  9.0000000E-01  8.6961016E-18
  9.2500000E-01  7.7275757E-18
  9.5000000E-01  6.9156082E-18
  9.7500000E-01  6.2283311E-18
  1.0000000E+00  5.6415493E-18
  1.0250000E+00  5.1366842E-18
  1.0500000E+00  4.6992836E-18
  1.0750000E+00  4.3179247E-18
  1.1000000E+00  3.9835323E-18
  1.1250000E+00  3.6887744E-18
  1.1500000E+00  3.4277202E-18
  1.2000000E+00  2.9881968E-18
  1.2500000E+00  2.6353338E-18
  1.3000000E+00  2.3485419E-18
  1.3500000E+00  2.1131649E-18
  1.4000000E+00  1.9186072E-18
  1.5000000E+00  1.6230893E-18
  1.5500000E+00  1.5123962E-18
  1.6000000E+00  1.4222813E-18
  1.6500000E+00  1.3510744E-18
  1.7000000E+00  1.2983302E-18
  1.7500000E+00  1.2649892E-18
  1.8000000E+00  1.2539467E-18
  1.8250000E+00  1.2585321E-18
  1.8500000E+00  1.2713331E-18
  1.8750000E+00  1.2940525E-18
  1.9000000E+00  1.3290574E-18
  1.9250000E+00  1.3797074E-18
  1.9500000E+00  1.4509217E-18
  1.9750000E+00  1.5499473E-18
  1.9875000E+00  1.6131710E-18
  2.0000000E+00  1.6879676E-18
  2.0125000E+00  1.7767877E-18
  2.0250000E+00  1.8827886E-18
  2.0375000E+00  2.0100883E-18
  2.0500000E+00  2.1641435E-18
