# Atomic cross section. IZ =  10
# Pratt's renormalization correction is applied
#   4   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  8.7020000E+02 eV
#  2  L1  EION =  4.8500000E+01 eV
#  3  L2  EION =  2.1700000E+01 eV
#  4  L3  EION =  2.1600000E+01 eV
#
#  Total atomic cross section
#  2082   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  1.4253482E-21
  1.0000195E-02  1.4253482E-21
  1.0000293E-02  1.4253482E-21
  1.0000391E-02  1.4253482E-21
  1.0000488E-02  1.4253482E-21
  1.0000586E-02  1.4253482E-21
  1.0000684E-02  1.4253482E-21
  1.0000781E-02  1.4253482E-21
  1.0000879E-02  1.4253482E-21
  1.0000977E-02  1.4253482E-21
  1.0001172E-02  1.4253483E-21
  1.0001563E-02  1.4253483E-21
  1.0002344E-02  1.4253484E-21
  1.0003125E-02  1.4253485E-21
  1.0004688E-02  1.4253486E-21
  1.0006250E-02  1.4253488E-21
  1.0009375E-02  1.4253491E-21
  1.0012500E-02  1.4253495E-21
  1.0018750E-02  1.4253501E-21
  1.0025000E-02  1.4253508E-21
  1.0037500E-02  1.4253521E-21
  1.0050000E-02  1.4253534E-21
  1.0075000E-02  1.4253560E-21
  1.0100000E-02  1.4253586E-21
  1.0150000E-02  1.4253638E-21
  1.0200000E-02  1.4253691E-21
  1.0300000E-02  1.4253795E-21
  1.0400000E-02  1.4253900E-21
  1.0600000E-02  1.4254109E-21
  1.0800000E-02  1.4254318E-21
  1.1000000E-02  1.4254527E-21
  1.2000000E-02  1.4255572E-21
  1.3000000E-02  1.4256618E-21
  1.4000000E-02  1.4257663E-21
  1.5000000E-02  1.4258709E-21
  1.6000000E-02  1.4259754E-21
  1.7000000E-02  1.4260800E-21
  1.8000000E-02  1.4261845E-21
  1.9000000E-02  1.4262891E-21
  2.0000000E-02  1.4263936E-21
  2.2000000E-02  1.4266027E-21
  2.4000000E-02  1.4268118E-21
  2.6000000E-02  1.4270209E-21
  2.8000000E-02  1.4272300E-21
  3.0000000E-02  1.4274391E-21
  3.2000000E-02  1.4276483E-21
  3.4000000E-02  1.4278574E-21
  3.6000000E-02  1.4280665E-21
  3.8000000E-02  1.4282756E-21
  4.0000000E-02  1.4284848E-21
  4.2500000E-02  1.4287462E-21
  4.5000000E-02  1.4290076E-21
  4.7500000E-02  1.4292691E-21
  5.0000000E-02  1.4295306E-21
  5.2500000E-02  1.4297920E-21
  5.5000000E-02  1.4300535E-21
  5.7500000E-02  1.4303150E-21
  6.0000000E-02  1.4305766E-21
  6.2500000E-02  1.4308381E-21
  6.5000000E-02  1.4310997E-21
  6.7500000E-02  1.4313612E-21
  7.0000000E-02  1.4316228E-21
  7.2500000E-02  1.4318845E-21
  7.5000000E-02  1.4321461E-21
  8.0000000E-02  1.4326694E-21
  8.5000000E-02  1.4331929E-21
  9.0000000E-02  1.4337164E-21
  9.5000000E-02  1.4342400E-21
  1.0000000E-01  1.4347638E-21
  1.1000000E-01  1.4358116E-21
  1.2000000E-01  1.4368600E-21
  1.3000000E-01  1.4379090E-21
  1.4000000E-01  1.4389586E-21
  1.5000000E-01  1.4400089E-21
  1.6000000E-01  1.4410600E-21
  1.7000000E-01  1.4421118E-21
  1.8000000E-01  1.4431645E-21
  1.9000000E-01  1.4442181E-21
  2.0000000E-01  1.4452726E-21
  2.2000000E-01  1.4473847E-21
  2.4000000E-01  1.4495013E-21
  2.6000000E-01  1.4516227E-21
  2.8000000E-01  1.4537494E-21
  3.0000000E-01  1.4558817E-21
  3.2000000E-01  1.4580202E-21
  3.4000000E-01  1.4601653E-21
  3.6000000E-01  1.4623172E-21
  3.8000000E-01  1.4644761E-21
  4.0000000E-01  1.4666419E-21
  4.2500000E-01  1.4693587E-21
  4.5000000E-01  1.4720860E-21
  4.7500000E-01  1.4748238E-21
  5.0000000E-01  1.4775719E-21
  5.2500000E-01  1.4803302E-21
  5.5000000E-01  1.4830986E-21
  5.7500000E-01  1.4858769E-21
  6.0000000E-01  1.4886650E-21
  6.2500000E-01  1.4914629E-21
  6.5000000E-01  1.4942704E-21
  6.7500000E-01  1.4970873E-21
  7.0000000E-01  1.4999138E-21
  7.2500000E-01  1.5027498E-21
  7.5000000E-01  1.5055951E-21
  8.0000000E-01  1.5113139E-21
  8.5000000E-01  1.5170701E-21
  9.0000000E-01  1.5228642E-21
  9.5000000E-01  1.5286967E-21
  1.0000000E+00  1.5345682E-21
  1.1000000E+00  1.5464304E-21
  1.2000000E+00  1.5584554E-21
  1.3000000E+00  1.5706476E-21
  1.4000000E+00  1.5830117E-21
  1.5000000E+00  1.5955521E-21
  1.6000000E+00  1.6082734E-21
  1.7000000E+00  1.6211801E-21
  1.8000000E+00  1.6342767E-21
  1.9000000E+00  1.6475678E-21
  2.0000000E+00  1.6610578E-21
  2.2000000E+00  1.6886529E-21
  2.4000000E+00  1.7170982E-21
  2.6000000E+00  1.7464301E-21
  2.8000000E+00  1.7766863E-21
  3.0000000E+00  1.8079072E-21
  3.2000000E+00  1.8401334E-21
  3.4000000E+00  1.8734090E-21
  3.6000000E+00  1.9077884E-21
  3.8000000E+00  1.9433320E-21
  4.0000000E+00  1.9801015E-21
  4.2500000E+00  2.0278817E-21
  4.5000000E+00  2.0777990E-21
  4.7500000E+00  2.1300104E-21
  5.0000000E+00  2.1846954E-21
  5.2500000E+00  2.2420448E-21
  5.5000000E+00  2.3022506E-21
  5.7500000E+00  2.3655105E-21
  6.0000000E+00  2.4320364E-21
  6.2500000E+00  2.5020848E-21
  6.5000000E+00  2.5759490E-21
  6.7500000E+00  2.6539488E-21
  7.0000000E+00  2.7364305E-21
  7.2500000E+00  2.8238182E-21
  7.5000000E+00  2.9165837E-21
  8.0000000E+00  3.1202749E-21
  8.5000000E+00  3.3521511E-21
  9.0000000E+00  3.6184838E-21
  9.5000000E+00  3.9275140E-21
  9.7500000E+00  4.1013054E-21
  1.0000000E+01  4.2901343E-21
  1.0250000E+01  4.4958133E-21
  1.0500000E+01  4.7209678E-21
  1.0750000E+01  4.9685408E-21
  1.1000000E+01  5.2415641E-21
  1.1250000E+01  5.5441020E-21
  1.1500000E+01  5.8811427E-21
  1.1750000E+01  6.2588016E-21
  1.2000000E+01  6.6844901E-21
  1.2250000E+01  7.1677501E-21
  1.2500000E+01  7.7204012E-21
  1.2750000E+01  8.3576532E-21
  1.3000000E+01  9.0998948E-21
  1.3250000E+01  9.9737520E-21
  1.3375000E+01  1.0470529E-20
  1.3500000E+01  1.1014493E-20
  1.3625000E+01  1.1612400E-20
  1.3750000E+01  1.2271893E-20
  1.3875000E+01  1.3002673E-20
  1.4000000E+01  1.3815689E-20
  1.4125000E+01  1.4725050E-20
  1.4250000E+01  1.5747247E-20
  1.4375000E+01  1.6903083E-20
  1.4500000E+01  1.8217883E-20
  1.4625000E+01  1.9724016E-20
  1.4750000E+01  2.1464240E-20
  1.4875000E+01  2.3489298E-20
  1.5000000E+01  2.5869172E-20
  1.5125000E+01  2.8695676E-20
  1.5187500E+01  3.0313505E-20
  1.5250000E+01  3.2092667E-20
  1.5312500E+01  3.4056165E-20
  1.5375000E+01  3.6230672E-20
  1.5437500E+01  3.8649403E-20
  1.5500000E+01  4.1350299E-20
  1.5562500E+01  4.4381186E-20
  1.5625000E+01  4.7797849E-20
  1.5687500E+01  5.1671377E-20
  1.5750000E+01  5.6091514E-20
  1.5812500E+01  6.1164421E-20
  1.5875000E+01  6.7027986E-20
  1.5937500E+01  7.3859413E-20
  1.6000000E+01  8.1888113E-20
  1.6062500E+01  9.1416141E-20
  1.6093750E+01  9.6862920E-20
  1.6125000E+01  1.0284681E-19
  1.6156250E+01  1.0943784E-19
  1.6187500E+01  1.1672795E-19
  1.6218750E+01  1.2481562E-19
  1.6250000E+01  1.3382438E-19
  1.6281250E+01  1.4390404E-19
  1.6312500E+01  1.5522035E-19
  1.6343750E+01  1.6800757E-19
  1.6375000E+01  1.8252333E-19
  1.6406250E+01  1.9908864E-19
  1.6437500E+01  2.1812456E-19
  1.6468750E+01  2.4014208E-19
  1.6500000E+01  2.6580736E-19
  1.6531250E+01  2.9598255E-19
  1.6546875E+01  3.1310025E-19
  1.6562500E+01  3.3179727E-19
  1.6578125E+01  3.5226721E-19
  1.6593750E+01  3.7475797E-19
  1.6609375E+01  3.9953271E-19
  1.6625000E+01  4.2692036E-19
  1.6640625E+01  4.5730799E-19
  1.6656250E+01  4.9112749E-19
  1.6671875E+01  5.2897160E-19
  1.6687500E+01  5.7148109E-19
  1.6703125E+01  6.1944596E-19
  1.6718750E+01  6.7387081E-19
  1.6734375E+01  7.3596944E-19
  1.6750000E+01  8.0728072E-19
  1.6765625E+01  8.8972453E-19
  1.6781250E+01  9.8578850E-19
  1.6796875E+01  1.0986778E-18
  1.6812500E+01  1.2325737E-18
  1.6820312E+01  1.3091006E-18
  1.6828125E+01  1.3931092E-18
  1.6835938E+01  1.4856812E-18
  1.6843750E+01  1.5879642E-18
  1.6851562E+01  1.7014192E-18
  1.6859375E+01  1.8277481E-18
  1.6867188E+01  1.9688900E-18
  1.6875000E+01  2.1275236E-18
  1.6882812E+01  2.3065268E-18
  1.6890625E+01  2.5095069E-18
  1.6898438E+01  2.7410816E-18
  1.6906250E+01  3.0068925E-18
  1.6914062E+01  3.3141000E-18
  1.6921875E+01  3.6718133E-18
  1.6929688E+01  4.0918273E-18
  1.6937500E+01  4.5894904E-18
  1.6941406E+01  4.8735144E-18
  1.6945312E+01  5.1851554E-18
  1.6949219E+01  5.5280196E-18
  1.6953125E+01  5.9063135E-18
  1.6957031E+01  6.3253309E-18
  1.6960938E+01  6.7907040E-18
  1.6964844E+01  7.3097997E-18
  1.6968750E+01  7.8909001E-18
  1.6972656E+01  8.5438183E-18
  1.6976562E+01  9.2817319E-18
  1.6980469E+01  1.0118638E-17
  1.6984375E+01  1.1072465E-17
  1.6988281E+01  1.2165636E-17
  1.6992188E+01  1.3425234E-17
  1.6996094E+01  1.4884924E-17
  1.7000000E+01  1.6586619E-17
  1.7003906E+01  1.8582537E-17
  1.7007812E+01  2.0937673E-17
  1.7011719E+01  2.3732637E-17
  1.7013672E+01  2.5325245E-17
  1.7015625E+01  2.7066630E-17
  1.7019531E+01  3.1060157E-17
  1.7023438E+01  3.5851548E-17
  1.7027344E+01  4.1588323E-17
  1.7031250E+01  4.8406345E-17
  1.7033203E+01  5.2247847E-17
  1.7035156E+01  5.6373968E-17
  1.7037109E+01  6.0760511E-17
  1.7039062E+01  6.5376062E-17
  1.7041016E+01  7.0154389E-17
  1.7041992E+01  7.2575206E-17
  1.7042969E+01  7.4998420E-17
  1.7044922E+01  7.9779839E-17
  1.7046875E+01  8.4335175E-17
  1.7050781E+01  9.1982442E-17
  1.7052734E+01  9.4673959E-17
  1.7054688E+01  9.6371658E-17
  1.7056641E+01  9.6966836E-17
  1.7058594E+01  9.6424471E-17
  1.7060547E+01  9.4791573E-17
  1.7062500E+01  9.2187897E-17
  1.7064453E+01  8.8787276E-17
  1.7066406E+01  8.4793281E-17
  1.7068359E+01  8.0411613E-17
  1.7070312E+01  7.5831204E-17
  1.7071289E+01  7.3517980E-17
  1.7072266E+01  7.1212565E-17
  1.7074219E+01  6.6681721E-17
  1.7076172E+01  6.2330199E-17
  1.7078125E+01  5.8222586E-17
  1.7080078E+01  5.4392535E-17
  1.7082031E+01  5.0856453E-17
