# Atomic cross section. IZ =  16
# Pratt's renormalization correction is applied
#   7   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  2.4720000E+03 eV
#  2  L1  EION =  2.3090000E+02 eV
#  3  L2  EION =  1.6360000E+02 eV
#  4  L3  EION =  1.6250000E+02 eV
#  5  M1  EION =  2.0200000E+01 eV
#  6  M2  EION =  1.0360000E+01 eV
#  7  M3  EION =  1.0360000E+01 eV
#
#  Total atomic cross section
#  2171   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  1.9615989E-20
  1.0000195E-02  1.9615990E-20
  1.0000293E-02  1.9615990E-20
  1.0000391E-02  1.9615991E-20
  1.0000488E-02  1.9615992E-20
  1.0000586E-02  1.9615992E-20
  1.0000684E-02  1.9615993E-20
  1.0000781E-02  1.9615994E-20
  1.0001172E-02  1.9615996E-20
  1.0001563E-02  1.9615999E-20
  1.0002344E-02  1.9616004E-20
  1.0003125E-02  1.9616009E-20
  1.0004688E-02  1.9616019E-20
  1.0006250E-02  1.9616030E-20
  1.0009375E-02  1.9616050E-20
  1.0012500E-02  1.9616071E-20
  1.0018750E-02  1.9616112E-20
  1.0025000E-02  1.9616153E-20
  1.0037500E-02  1.9616235E-20
  1.0050000E-02  1.9616318E-20
  1.0075000E-02  1.9616482E-20
  1.0100000E-02  1.9616647E-20
  1.0150000E-02  1.9616976E-20
  1.0200000E-02  1.9617305E-20
  1.0300000E-02  1.9617964E-20
  1.0400000E-02  1.9618623E-20
  1.0600000E-02  1.9619941E-20
  1.0800000E-02  1.9621260E-20
  1.1000000E-02  1.9622580E-20
  1.2000000E-02  1.9629188E-20
  1.3000000E-02  1.9635815E-20
  1.4000000E-02  1.9642459E-20
  1.5000000E-02  1.9649121E-20
  1.6000000E-02  1.9655801E-20
  1.7000000E-02  1.9662500E-20
  1.8000000E-02  1.9669217E-20
  1.9000000E-02  1.9675953E-20
  2.0000000E-02  1.9682707E-20
  2.2000000E-02  1.9696272E-20
  2.4000000E-02  1.9709915E-20
  2.6000000E-02  1.9723635E-20
  2.8000000E-02  1.9737434E-20
  3.0000000E-02  1.9751314E-20
  3.2000000E-02  1.9765275E-20
  3.4000000E-02  1.9779320E-20
  3.6000000E-02  1.9793449E-20
  3.8000000E-02  1.9807665E-20
  4.0000000E-02  1.9821967E-20
  4.2500000E-02  1.9839970E-20
  4.5000000E-02  1.9858116E-20
  4.7500000E-02  1.9876405E-20
  5.0000000E-02  1.9894843E-20
  5.2500000E-02  1.9913432E-20
  5.5000000E-02  1.9932174E-20
  5.7500000E-02  1.9951075E-20
  6.0000000E-02  1.9970137E-20
  6.2500000E-02  1.9989363E-20
  6.5000000E-02  2.0008757E-20
  6.7500000E-02  2.0028324E-20
  7.0000000E-02  2.0048066E-20
  7.2500000E-02  2.0067989E-20
  7.5000000E-02  2.0088095E-20
  8.0000000E-02  2.0128876E-20
  8.5000000E-02  2.0170445E-20
  9.0000000E-02  2.0212839E-20
  9.5000000E-02  2.0256098E-20
  1.0000000E-01  2.0300264E-20
  1.1000000E-01  2.0391496E-20
  1.2000000E-01  2.0486929E-20
  1.3000000E-01  2.0587007E-20
  1.4000000E-01  2.0692238E-20
  1.5000000E-01  2.0803202E-20
  1.6000000E-01  2.0920562E-20
  1.7000000E-01  2.1045084E-20
  1.8000000E-01  2.1177650E-20
  1.9000000E-01  2.1319286E-20
  2.0000000E-01  2.1471191E-20
  2.2000000E-01  2.1811666E-20
  2.4000000E-01  2.2213681E-20
  2.6000000E-01  2.2698037E-20
  2.8000000E-01  2.3295165E-20
  3.0000000E-01  2.4051038E-20
  3.2000000E-01  2.5037523E-20
  3.3000000E-01  2.5651491E-20
  3.4000000E-01  2.6372401E-20
  3.5000000E-01  2.7228624E-20
  3.6000000E-01  2.8258104E-20
  3.7000000E-01  2.9513222E-20
  3.8000000E-01  3.1066785E-20
  3.9000000E-01  3.3023714E-20
  3.9500000E-01  3.4198848E-20
  4.0000000E-01  3.5537623E-20
  4.0625000E-01  3.7490380E-20
  4.1250000E-01  3.9828667E-20
  4.1875000E-01  4.2658969E-20
  4.2500000E-01  4.6125001E-20
  4.3125000E-01  5.0423908E-20
  4.3750000E-01  5.5831379E-20
  4.4062500E-01  5.9065745E-20
  4.4375000E-01  6.2733360E-20
  4.4687500E-01  6.6908366E-20
  4.5000000E-01  7.1679305E-20
  4.5312500E-01  7.7151570E-20
  4.5625000E-01  8.3450177E-20
  4.5937500E-01  9.0721594E-20
  4.6250000E-01  9.9134618E-20
  4.6875000E-01  1.2017079E-19
  4.7187500E-01  1.3319090E-19
  4.7500000E-01  1.4811925E-19
  4.7656250E-01  1.5632689E-19
  4.7812500E-01  1.6502434E-19
  4.8125000E-01  1.8376721E-19
  4.8437500E-01  2.0390698E-19
  4.8593750E-01  2.1422924E-19
  4.8750000E-01  2.2450298E-19
  4.9062500E-01  2.4404480E-19
  4.9375000E-01  2.6044033E-19
  4.9687500E-01  2.7151660E-19
  4.9843750E-01  2.7444913E-19
  5.0000000E-01  2.7544429E-19
  5.0156250E-01  2.7446284E-19
  5.0312500E-01  2.7154540E-19
  5.0625000E-01  2.6050801E-19
  5.0937500E-01  2.4412110E-19
  5.1250000E-01  2.2461816E-19
  5.1406250E-01  2.1435791E-19
  5.1562500E-01  2.0405026E-19
  5.1875000E-01  1.8393902E-19
  5.2187500E-01  1.6522067E-19
  5.2343750E-01  1.5653990E-19
  5.2500000E-01  1.4834858E-19
  5.2812500E-01  1.3344836E-19
  5.3125000E-01  1.2045431E-19
  5.3750000E-01  9.9472483E-20
  5.4062500E-01  9.1090990E-20
  5.4375000E-01  8.3851089E-20
  5.4687500E-01  7.7580644E-20
  5.5000000E-01  7.2136603E-20
  5.5312500E-01  6.7394458E-20
  5.5625000E-01  6.3248117E-20
  5.5937500E-01  5.9608984E-20
  5.6250000E-01  5.6403288E-20
  5.6875000E-01  5.1053332E-20
  5.7500000E-01  4.6811362E-20
  5.8125000E-01  4.3402618E-20
  5.8750000E-01  4.0629612E-20
  5.9375000E-01  3.8348500E-20
  6.0000000E-01  3.6453055E-20
  6.0625000E-01  3.4862879E-20
  6.1250000E-01  3.3519139E-20
  6.2500000E-01  3.1391318E-20
  6.3750000E-01  2.9807205E-20
  6.5000000E-01  2.8602061E-20
  6.6250000E-01  2.7668794E-20
  6.7500000E-01  2.6935305E-20
  6.8750000E-01  2.6351853E-20
  7.0000000E-01  2.5883168E-20
  7.2500000E-01  2.5194740E-20
  7.5000000E-01  2.4735496E-20
  7.7500000E-01  2.4427340E-20
  8.0000000E-01  2.4223111E-20
  8.2500000E-01  2.4092808E-20
  8.5000000E-01  2.4016553E-20
  9.0000000E-01  2.3976135E-20
  9.5000000E-01  2.4035200E-20
  1.0000000E+00  2.4157871E-20
  1.1000000E+00  2.4521797E-20
  1.2000000E+00  2.4983802E-20
  1.3000000E+00  2.5509292E-20
  1.4000000E+00  2.6082436E-20
  1.5000000E+00  2.6695554E-20
  1.6000000E+00  2.7344960E-20
  1.7000000E+00  2.8029135E-20
  1.8000000E+00  2.8747822E-20
  1.9000000E+00  2.9501557E-20
  2.0000000E+00  3.0291423E-20
  2.2000000E+00  3.1985897E-20
  2.4000000E+00  3.3847725E-20
  2.6000000E+00  3.5898447E-20
  2.8000000E+00  3.8164469E-20
  3.0000000E+00  4.0678112E-20
  3.2000000E+00  4.3479654E-20
  3.4000000E+00  4.6618670E-20
  3.6000000E+00  5.0157654E-20
  3.8000000E+00  5.4175378E-20
  4.0000000E+00  5.8773387E-20
  4.2500000E+00  6.5542942E-20
  4.3750000E+00  6.9453954E-20
  4.5000000E+00  7.3795737E-20
  4.6250000E+00  7.8638342E-20
  4.7500000E+00  8.4076160E-20
  4.8750000E+00  9.0227879E-20
  5.0000000E+00  9.7245719E-20
  5.1250000E+00  1.0532749E-19
  5.2500000E+00  1.1474209E-19
  5.3750000E+00  1.2585100E-19
  5.5000000E+00  1.3916495E-19
  5.6250000E+00  1.5541828E-19
  5.6875000E+00  1.6496958E-19
  5.7500000E+00  1.7570736E-19
  5.8125000E+00  1.8786217E-19
  5.8750000E+00  2.0173414E-19
  5.9375000E+00  2.1770563E-19
