# Atomic cross section. IZ =  55
# Pratt's renormalization correction is applied
#  18   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  3.5985000E+04 eV
#  2  L1  EION =  5.7140000E+03 eV
#  3  L2  EION =  5.3590000E+03 eV
#  4  L3  EION =  5.0120000E+03 eV
#  5  M1  EION =  1.2110000E+03 eV
#  6  M2  EION =  1.0710000E+03 eV
#  7  M3  EION =  1.0030000E+03 eV
#  8  M4  EION =  7.4050000E+02 eV
#  9  M5  EION =  7.2660000E+02 eV
# 10  N1  EION =  2.3230000E+02 eV
# 11  N2  EION =  1.7240000E+02 eV
# 12  N3  EION =  1.6130000E+02 eV
# 13  N4  EION =  7.9800000E+01 eV
# 14  N5  EION =  7.7500000E+01 eV
# 17  O1  EION =  2.2700000E+01 eV
# 18  O2  EION =  1.4200000E+01 eV
# 19  O3  EION =  1.2100000E+01 eV
# 24  P1  EION =  1.9400000E+00 eV
#
#  Total atomic cross section
#  2171   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  2.8626023E-18
  1.0000195E-02  2.8626035E-18
  1.0000293E-02  2.8626047E-18
  1.0000391E-02  2.8626059E-18
  1.0000488E-02  2.8626070E-18
  1.0000586E-02  2.8626082E-18
  1.0000684E-02  2.8626094E-18
  1.0000781E-02  2.8626106E-18
  1.0001172E-02  2.8626153E-18
  1.0001563E-02  2.8626200E-18
  1.0002344E-02  2.8626294E-18
  1.0003125E-02  2.8626388E-18
  1.0004688E-02  2.8626576E-18
  1.0006250E-02  2.8626764E-18
  1.0009375E-02  2.8627140E-18
  1.0012500E-02  2.8627516E-18
  1.0018750E-02  2.8628269E-18
  1.0025000E-02  2.8629021E-18
  1.0037500E-02  2.8630526E-18
  1.0050000E-02  2.8632031E-18
  1.0075000E-02  2.8635041E-18
  1.0100000E-02  2.8638051E-18
  1.0150000E-02  2.8644071E-18
  1.0200000E-02  2.8650090E-18
  1.0300000E-02  2.8662130E-18
  1.0400000E-02  2.8674169E-18
  1.0600000E-02  2.8698249E-18
  1.0800000E-02  2.8722330E-18
  1.1000000E-02  2.8746411E-18
  1.2000000E-02  2.8866849E-18
  1.3000000E-02  2.8987361E-18
  1.4000000E-02  2.9107986E-18
  1.5000000E-02  2.9228762E-18
  1.6000000E-02  2.9349725E-18
  1.7000000E-02  2.9470914E-18
  1.8000000E-02  2.9592365E-18
  1.9000000E-02  2.9714117E-18
  2.0000000E-02  2.9836207E-18
  2.2000000E-02  3.0081552E-18
  2.4000000E-02  3.0328699E-18
  2.6000000E-02  3.0577949E-18
  2.8000000E-02  3.0829603E-18
  3.0000000E-02  3.1083961E-18
  3.2000000E-02  3.1341324E-18
  3.4000000E-02  3.1601992E-18
  3.6000000E-02  3.1866266E-18
  3.8000000E-02  3.2134446E-18
  4.0000000E-02  3.2406830E-18
