# Atomic cross section. IZ =  68
# Pratt's renormalization correction is applied
#  21   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  5.7486000E+04 eV
#  2  L1  EION =  9.7510000E+03 eV
#  3  L2  EION =  9.2640000E+03 eV
#  4  L3  EION =  8.3580000E+03 eV
#  5  M1  EION =  2.2070000E+03 eV
#  6  M2  EION =  2.0060000E+03 eV
#  7  M3  EION =  1.8120000E+03 eV
#  8  M4  EION =  1.4530000E+03 eV
#  9  M5  EION =  1.4090000E+03 eV
# 10  N1  EION =  4.4980000E+02 eV
# 11  N2  EION =  3.6620000E+02 eV
# 12  N3  EION =  3.2020000E+02 eV
# 13  N4  EION =  1.6775000E+02 eV
# 14  N5  EION =  1.6775000E+02 eV
# 17  O1  EION =  5.0600000E+01 eV
# 18  O2  EION =  3.1400000E+01 eV
# 19  O3  EION =  2.4700000E+01 eV
# 15  N6  EION =  3.0670000E+00 eV
# 16  N7  EION =  4.7000000E+00 eV
# 20  O4  EION =  3.0000000E+00 eV
# 24  P1  EION =  3.0000000E+00 eV
#
#  Total atomic cross section
#  2171   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  6.8378750E-18
  1.0000195E-02  6.8378777E-18
  1.0000293E-02  6.8378804E-18
  1.0000391E-02  6.8378831E-18
  1.0000488E-02  6.8378858E-18
  1.0000586E-02  6.8378885E-18
  1.0000684E-02  6.8378912E-18
  1.0000781E-02  6.8378940E-18
  1.0001172E-02  6.8379048E-18
  1.0001563E-02  6.8379156E-18
  1.0002344E-02  6.8379373E-18
  1.0003125E-02  6.8379589E-18
  1.0004688E-02  6.8380022E-18
  1.0006250E-02  6.8380455E-18
  1.0009375E-02  6.8381321E-18
  1.0012500E-02  6.8382187E-18
  1.0018750E-02  6.8383920E-18
  1.0025000E-02  6.8385652E-18
  1.0037500E-02  6.8389116E-18
  1.0050000E-02  6.8392581E-18
  1.0075000E-02  6.8399511E-18
  1.0100000E-02  6.8406441E-18
  1.0150000E-02  6.8420306E-18
  1.0200000E-02  6.8434174E-18
  1.0300000E-02  6.8461924E-18
  1.0400000E-02  6.8489688E-18
  1.0600000E-02  6.8545265E-18
  1.0800000E-02  6.8600904E-18
  1.1000000E-02  6.8656606E-18
  1.2000000E-02  6.8936069E-18
  1.3000000E-02  6.9217132E-18
  1.4000000E-02  6.9499819E-18
  1.5000000E-02  6.9784153E-18
  1.6000000E-02  7.0070156E-18
  1.7000000E-02  7.0357852E-18
  1.8000000E-02  7.0647265E-18
  1.9000000E-02  7.0938416E-18
  2.0000000E-02  7.1231331E-18
  2.2000000E-02  7.1822545E-18
  2.4000000E-02  7.2421097E-18
  2.6000000E-02  7.3027180E-18
  2.8000000E-02  7.3640991E-18
  3.0000000E-02  7.4262717E-18
  3.2000000E-02  7.4892494E-18
  3.4000000E-02  7.5530451E-18
  3.6000000E-02  7.6176718E-18
  3.8000000E-02  7.6831426E-18
  4.0000000E-02  7.7494712E-18
  4.2500000E-02  7.8336093E-18
  4.5000000E-02  7.9191370E-18
  4.7500000E-02  8.0060828E-18
  5.0000000E-02  8.0944760E-18
  5.2500000E-02  8.1843465E-18
  5.5000000E-02  8.2757253E-18
  5.7500000E-02  8.3686443E-18
  6.0000000E-02  8.4631383E-18
  6.2500000E-02  8.5592443E-18
  6.5000000E-02  8.6570000E-18
  6.7500000E-02  8.7564442E-18
  7.0000000E-02  8.8576169E-18
  7.2500000E-02  8.9605590E-18
  7.5000000E-02  9.0653123E-18
  8.0000000E-02  9.2804267E-18
  8.5000000E-02  9.5033193E-18
  9.0000000E-02  9.7343697E-18
  9.5000000E-02  9.9739811E-18
  1.0000000E-01  1.0222583E-17
  1.1000000E-01  1.0748605E-17
  1.2000000E-01  1.1316420E-17
  1.3000000E-01  1.1930577E-17
  1.4000000E-01  1.2596258E-17
  1.5000000E-01  1.3319380E-17
  1.6000000E-01  1.4106744E-17
  1.7000000E-01  1.4966177E-17
  1.8000000E-01  1.5906729E-17
  1.9000000E-01  1.6938931E-17
  2.0000000E-01  1.8075075E-17
  2.2000000E-01  2.0719334E-17
  2.4000000E-01  2.3989255E-17
  2.6000000E-01  2.8098283E-17
  2.8000000E-01  3.3358612E-17
  3.0000000E-01  4.0241502E-17
  3.2000000E-01  4.9486866E-17
  3.3000000E-01  5.5344674E-17
  3.4000000E-01  6.2299739E-17
  3.5000000E-01  7.0641200E-17
  3.6000000E-01  8.0759352E-17
  3.7000000E-01  9.3189577E-17
  3.8000000E-01  1.0868114E-16
  3.9000000E-01  1.2831303E-16
  3.9500000E-01  1.4014557E-16
  4.0000000E-01  1.5365760E-16
  4.0625000E-01  1.7341232E-16
