# Atomic cross section. IZ =  85
# Pratt's renormalization correction is applied
#  24   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  9.5730000E+04 eV
#  2  L1  EION =  1.7493000E+04 eV
#  3  L2  EION =  1.6785000E+04 eV
#  4  L3  EION =  1.4214000E+04 eV
#  5  M1  EION =  4.3170000E+03 eV
#  6  M2  EION =  4.0080000E+03 eV
#  7  M3  EION =  3.4260000E+03 eV
#  8  M4  EION =  2.9090000E+03 eV
#  9  M5  EION =  2.7870000E+03 eV
# 10  N1  EION =  1.0420000E+03 eV
# 11  N2  EION =  8.8600000E+02 eV
# 12  N3  EION =  7.4000000E+02 eV
# 13  N4  EION =  5.3300000E+02 eV
# 14  N5  EION =  5.0700000E+02 eV
# 17  O1  EION =  1.9500000E+02 eV
# 18  O2  EION =  1.4800000E+02 eV
# 19  O3  EION =  1.1500000E+02 eV
# 15  N6  EION =  2.1000000E+02 eV
# 16  N7  EION =  2.1000000E+02 eV
# 20  O4  EION =  4.0000000E+01 eV
# 21  O5  EION =  4.0000000E+01 eV
# 24  P1  EION =  1.9000000E+01 eV
# 25  P2  EION =  1.1000000E+01 eV
# 26  P3  EION =  9.3000000E+00 eV
#
#  Total atomic cross section
#  2171   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  4.5344582E-20
  1.0000195E-02  4.5344583E-20
  1.0000293E-02  4.5344584E-20
  1.0000391E-02  4.5344585E-20
  1.0000488E-02  4.5344586E-20
  1.0000586E-02  4.5344587E-20
  1.0000684E-02  4.5344587E-20
  1.0000781E-02  4.5344588E-20
  1.0001172E-02  4.5344592E-20
  1.0001563E-02  4.5344595E-20
  1.0002344E-02  4.5344602E-20
  1.0003125E-02  4.5344610E-20
  1.0004688E-02  4.5344624E-20
  1.0006250E-02  4.5344638E-20
  1.0009375E-02  4.5344666E-20
  1.0012500E-02  4.5344695E-20
  1.0018750E-02  4.5344752E-20
  1.0025000E-02  4.5344808E-20
  1.0037500E-02  4.5344922E-20
  1.0050000E-02  4.5345035E-20
  1.0075000E-02  4.5345263E-20
  1.0100000E-02  4.5345490E-20
  1.0150000E-02  4.5345944E-20
  1.0200000E-02  4.5346398E-20
  1.0300000E-02  4.5347307E-20
  1.0400000E-02  4.5348215E-20
  1.0600000E-02  4.5350032E-20
  1.0800000E-02  4.5351850E-20
  1.1000000E-02  4.5353667E-20
  1.2000000E-02  4.5362755E-20
  1.3000000E-02  4.5371846E-20
  1.4000000E-02  4.5380940E-20
  1.5000000E-02  4.5390037E-20
  1.6000000E-02  4.5399136E-20
  1.7000000E-02  4.5408238E-20
  1.8000000E-02  4.5417342E-20
  1.9000000E-02  4.5426449E-20
  2.0000000E-02  4.5435559E-20
  2.2000000E-02  4.5453787E-20
  2.4000000E-02  4.5472025E-20
  2.6000000E-02  4.5490274E-20
  2.8000000E-02  4.5508534E-20
  3.0000000E-02  4.5526805E-20
  3.2000000E-02  4.5545087E-20
  3.4000000E-02  4.5563380E-20
  3.6000000E-02  4.5581684E-20
  3.8000000E-02  4.5599998E-20
  4.0000000E-02  4.5618324E-20
  4.2500000E-02  4.5641247E-20
  4.5000000E-02  4.5664188E-20
  4.7500000E-02  4.5687146E-20
  5.0000000E-02  4.5710122E-20
  5.2500000E-02  4.5733115E-20
  5.5000000E-02  4.5756126E-20
  5.7500000E-02  4.5779155E-20
  6.0000000E-02  4.5802201E-20
  6.2500000E-02  4.5825266E-20
  6.5000000E-02  4.5848349E-20
  6.7500000E-02  4.5871449E-20
  7.0000000E-02  4.5894568E-20
  7.2500000E-02  4.5917706E-20
  7.5000000E-02  4.5940861E-20
  8.0000000E-02  4.5987228E-20
  8.5000000E-02  4.6033669E-20
  9.0000000E-02  4.6080184E-20
  9.5000000E-02  4.6126775E-20
  1.0000000E-01  4.6173443E-20
  1.1000000E-01  4.6267008E-20
  1.2000000E-01  4.6360884E-20
  1.3000000E-01  4.6455078E-20
  1.4000000E-01  4.6549592E-20
  1.5000000E-01  4.6644433E-20
  1.6000000E-01  4.6739605E-20
  1.7000000E-01  4.6835113E-20
  1.8000000E-01  4.6930962E-20
  1.9000000E-01  4.7027157E-20
  2.0000000E-01  4.7123703E-20
  2.2000000E-01  4.7317862E-20
  2.4000000E-01  4.7513470E-20
  2.6000000E-01  4.7710558E-20
  2.8000000E-01  4.7909156E-20
  3.0000000E-01  4.8109297E-20
  3.2000000E-01  4.8311011E-20
  3.4000000E-01  4.8514330E-20
  3.6000000E-01  4.8719276E-20
