# Atomic cross section. IZ =  29
# Pratt's renormalization correction is applied
#  10   No. of electron subshells.
# Excitations to bound levels: included
# Atomic level widths: empirical
# Shell ionization energies (Williams):
#  1  K1  EION =  8.9790000E+03 eV
#  2  L1  EION =  1.0967000E+03 eV
#  3  L2  EION =  9.5230000E+02 eV
#  4  L3  EION =  9.3262000E+02 eV
#  5  M1  EION =  1.2250000E+02 eV
#  6  M2  EION =  7.7300000E+01 eV
#  7  M3  EION =  7.5100000E+01 eV
#  8  M4  EION =  6.2900000E+00 eV
#  9  M5  EION =  5.6900000E+00 eV
# 10  N1  EION =  3.0160000E+00 eV
#
#  Total atomic cross section
#  2171   No. of energy grid points.
# 
#     W (eV)      CS (cm**2)
     
  1.0000000E-02  0.0000000E+00
  1.0000098E-02  2.2261797E-18
  1.0000195E-02  2.2261806E-18
  1.0000293E-02  2.2261815E-18
  1.0000391E-02  2.2261824E-18
  1.0000488E-02  2.2261832E-18
  1.0000586E-02  2.2261841E-18
  1.0000684E-02  2.2261850E-18
  1.0000781E-02  2.2261858E-18
  1.0000977E-02  2.2261876E-18
  1.0001172E-02  2.2261893E-18
  1.0001563E-02  2.2261928E-18
  1.0002344E-02  2.2261998E-18
  1.0003125E-02  2.2262067E-18
  1.0004688E-02  2.2262207E-18
  1.0006250E-02  2.2262346E-18
  1.0009375E-02  2.2262624E-18
  1.0012500E-02  2.2262903E-18
  1.0018750E-02  2.2263460E-18
  1.0025000E-02  2.2264017E-18
  1.0037500E-02  2.2265131E-18
  1.0050000E-02  2.2266245E-18
  1.0075000E-02  2.2268473E-18
  1.0100000E-02  2.2270702E-18
  1.0150000E-02  2.2275161E-18
  1.0200000E-02  2.2279621E-18
  1.0300000E-02  2.2288545E-18
  1.0400000E-02  2.2297475E-18
  1.0600000E-02  2.2315350E-18
  1.0800000E-02  2.2333247E-18
  1.1000000E-02  2.2351167E-18
  1.2000000E-02  2.2441091E-18
  1.3000000E-02  2.2531565E-18
  1.4000000E-02  2.2622596E-18
  1.5000000E-02  2.2714185E-18
  1.6000000E-02  2.2806340E-18
  1.7000000E-02  2.2899063E-18
  1.8000000E-02  2.2992360E-18
  1.9000000E-02  2.3086236E-18
  2.0000000E-02  2.3180695E-18
  2.2000000E-02  2.3371382E-18
  2.4000000E-02  2.3564462E-18
  2.6000000E-02  2.3759974E-18
  2.8000000E-02  2.3957959E-18
  3.0000000E-02  2.4158460E-18
  3.2000000E-02  2.4361519E-18
  3.4000000E-02  2.4567181E-18
  3.6000000E-02  2.4775489E-18
  3.8000000E-02  2.4986489E-18
  4.0000000E-02  2.5200229E-18
  4.2500000E-02  2.5471329E-18
  4.5000000E-02  2.5746878E-18
  4.7500000E-02  2.6026975E-18
  5.0000000E-02  2.6311721E-18
  5.2500000E-02  2.6601220E-18
  5.5000000E-02  2.6895577E-18
  5.7500000E-02  2.7194902E-18
  6.0000000E-02  2.7499308E-18
  6.2500000E-02  2.7808911E-18
  6.5000000E-02  2.8123829E-18
  6.7500000E-02  2.8444185E-18
  7.0000000E-02  2.8770106E-18
  7.2500000E-02  2.9101720E-18
  7.5000000E-02  2.9439162E-18
  8.0000000E-02  3.0132082E-18
  8.5000000E-02  3.0850015E-18
  9.0000000E-02  3.1594181E-18
  9.5000000E-02  3.2365874E-18
  1.0000000E-01  3.3166469E-18
  1.1000000E-01  3.4860310E-18
  1.2000000E-01  3.6688567E-18
  1.3000000E-01  3.8665855E-18
  1.4000000E-01  4.0808818E-18
  1.5000000E-01  4.3136496E-18
  1.6000000E-01  4.5670738E-18
  1.7000000E-01  4.8436714E-18
  1.8000000E-01  5.1463541E-18
  1.9000000E-01  5.4785044E-18
  2.0000000E-01  5.8440707E-18
  2.1000000E-01  6.2476848E-18
  2.2000000E-01  6.6948091E-18
  2.3000000E-01  7.1919135E-18
  2.4000000E-01  7.7467021E-18
  2.5000000E-01  8.3684520E-18
  2.6000000E-01  9.0683827E-18
  2.7000000E-01  9.8600455E-18
  2.8000000E-01  1.0760197E-17
  2.9000000E-01  1.1789593E-17
  3.0000000E-01  1.2973613E-17
  3.1000000E-01  1.4345776E-17
  3.2000000E-01  1.5946634E-17
  3.3000000E-01  1.7830196E-17
  3.4000000E-01  2.0066512E-17
  3.5000000E-01  2.2748521E-17
  3.5500000E-01  2.4294406E-17
  3.6000000E-01  2.6001714E-17
  3.6500000E-01  2.7894126E-17
  3.7000000E-01  2.9998204E-17
  3.7500000E-01  3.2347370E-17
  3.8000000E-01  3.4978772E-17
  3.8500000E-01  3.7941593E-17
  3.9000000E-01  4.1290638E-17
  3.9500000E-01  4.5094680E-17
  4.0000000E-01  4.9438795E-17
  4.0625000E-01  5.5789774E-17
  4.1250000E-01  6.3412320E-17
  4.1875000E-01  7.2657411E-17
  4.2187500E-01  7.8030707E-17
  4.2500000E-01  8.3999600E-17
  4.2812500E-01  9.0652007E-17
  4.3125000E-01  9.8090477E-17
  4.3437500E-01  1.0643649E-16
  4.3750000E-01  1.1583543E-16
  4.4062500E-01  1.2645866E-16
  4.4375000E-01  1.3851106E-16
  4.4687500E-01  1.5223767E-16
  4.5000000E-01  1.6792933E-16
  4.5312500E-01  1.8593585E-16
  4.5625000E-01  2.0666566E-16
  4.6250000E-01  2.5831364E-16
  4.6562500E-01  2.9042444E-16
  4.6875000E-01  3.2760320E-16
  4.7187500E-01  3.7052101E-16
