  0.38620E+00  0.38299E+00  0.37564E+00  0.36447E+00  0.34999E+00  0.33284E+00
  0.31377E+00  0.29359E+00  0.27306E+00  0.25291E+00  0.23373E+00  0.21596E+00
  0.19984E+00  0.18544E+00  0.17262E+00  0.16112E+00  0.15053E+00  0.14041E+00
  0.13031E+00  0.11982E+00  0.10868E+00  0.96774E-01  0.84189E-01  0.71237E-01
  0.58449E-01  0.46566E-01  0.36498E-01  0.29279E-01  0.25997E-01  0.27725E-01
  0.35441E-01  0.49951E-01  0.71818E-01  0.10130E+00  0.13830E+00  0.18236E+00
  0.23262E+00  0.28787E+00  0.34658E+00  0.40693E+00  0.46694E+00  0.52451E+00
  0.57756E+00  0.62409E+00  0.66234E+00  0.69079E+00  0.70833E+00  0.71424E+00
  0.77921E+01  0.44768E+02
  0.22070E+02  0.21955E+02  0.21609E+02  0.21047E+02  0.20289E+02  0.19363E+02
  0.18301E+02  0.17137E+02  0.15908E+02  0.14649E+02  0.13394E+02  0.11006E+02
  0.89142E+01  0.71973E+01  0.58508E+01  0.48129E+01  0.39972E+01  0.33214E+01
  0.27261E+01  0.21810E+01  0.16809E+01  0.12364E+01  0.86270E+00  0.57123E+00
  0.36513E+00  0.23864E+00  0.17915E+00  0.17047E+00  0.19596E+00  0.24083E+00
  0.29331E+00  0.34490E+00  0.38998E+00  0.42516E+00  0.44859E+00  0.45951E+00
  0.45786E+00  0.44427E+00  0.41991E+00  0.38657E+00  0.34652E+00  0.30239E+00
  0.25690E+00  0.21267E+00  0.17189E+00  0.13620E+00  0.10651E+00  0.83090E-01
  0.65576E-01  0.53163E-01  0.44779E-01  0.39268E-01  0.35551E-01  0.32751E-01
  0.30261E-01  0.27773E-01  0.25257E-01  0.22914E-01  0.21105E-01  0.20267E-01
  0.20832E-01  0.23148E-01  0.27419E-01  0.33664E-01  0.41689E-01  0.51097E-01
  0.61306E-01  0.71596E-01  0.81168E-01  0.89217E-01  0.95003E-01  0.97928E-01
  0.97591E-01  0.93843E-01  0.86810E-01  0.76896E-01  0.64766E-01  0.51301E-01
  0.37537E-01  0.24584E-01  0.13543E-01  0.54181E-02  0.10290E-02  0.94653E-03
  0.54375E-02  0.14436E-01  0.27541E-01  0.44035E-01  0.62935E-01  0.83056E-01
  0.10310E+00  0.12175E+00  0.13775E+00  0.15003E+00  0.15774E+00  0.16037E+00
  0.73251E+01  0.47622E+02
  0.26726E+02  0.26517E+02  0.25896E+02  0.24898E+02  0.23573E+02  0.21988E+02
  0.20219E+02  0.18343E+02  0.16437E+02  0.14569E+02  0.12796E+02  0.96941E+01
  0.72988E+01  0.55745E+01  0.43632E+01  0.34775E+01  0.27674E+01  0.21487E+01
  0.15962E+01  0.11184E+01  0.73261E+00  0.44794E+00  0.26054E+00  0.15609E+00
  0.11558E+00  0.12043E+00  0.15526E+00  0.20839E+00  0.27096E+00  0.33562E+00
  0.39562E+00  0.44461E+00  0.47718E+00  0.48957E+00  0.48037E+00  0.45074E+00
  0.40414E+00  0.34559E+00  0.28084E+00  0.21551E+00  0.15443E+00  0.10136E+00
  0.58789E-01  0.28001E-01  0.92254E-02  0.17796E-02  0.42554E-02  0.14695E-01
  0.30776E-01  0.50008E-01  0.69928E-01  0.88298E-01  0.10327E+00  0.11353E+00
  0.11834E+00  0.11758E+00  0.11168E+00  0.10152E+00  0.88326E-01  0.73467E-01
  0.58342E-01  0.44221E-01  0.32139E-01  0.22810E-01  0.16591E-01  0.13473E-01
  0.13120E-01  0.14921E-01  0.18086E-01  0.21737E-01  0.25016E-01  0.27185E-01
  0.27710E-01  0.26327E-01  0.23081E-01  0.18337E-01  0.12754E-01  0.72360E-02
  0.28565E-02  0.76338E-03  0.20749E-02  0.77733E-02  0.18606E-01  0.35002E-01
  0.57014E-01  0.84282E-01  0.11604E+00  0.15113E+00  0.18811E+00  0.22528E+00
  0.26082E+00  0.29293E+00  0.31992E+00  0.34034E+00  0.35306E+00  0.35737E+00
  0.60187E+01  0.57959E+02
  0.30775E+02  0.30457E+02  0.29512E+02  0.28009E+02  0.26045E+02  0.23742E+02
  0.21235E+02  0.18657E+02  0.16130E+02  0.13753E+02  0.11599E+02  0.81069E+01
  0.56973E+01  0.41377E+01  0.31136E+01  0.23716E+01  0.17723E+01  0.12703E+01
  0.86572E+00  0.56466E+00  0.36138E+00  0.23847E+00  0.17458E+00  0.15132E+00
  0.15603E+00  0.18086E+00  0.21994E+00  0.26704E+00  0.31463E+00  0.35474E+00
  0.38065E+00  0.38836E+00  0.37716E+00  0.34914E+00  0.30826E+00  0.25918E+00
  0.20650E+00  0.15435E+00  0.10630E+00  0.65249E-01  0.33484E-01  0.12515E-01
  0.29795E-02  0.45638E-02  0.16027E-01  0.35343E-01  0.59937E-01  0.86981E-01
  0.11368E+00  0.13752E+00  0.15645E+00  0.16903E+00  0.17443E+00  0.17249E+00
  0.16364E+00  0.14885E+00  0.12950E+00  0.10724E+00  0.83862E-01  0.61137E-01
  0.40665E-01  0.23751E-01  0.11311E-01  0.38092E-02  0.12459E-02  0.31828E-02
  0.88067E-02  0.17024E-01  0.26578E-01  0.36173E-01  0.44600E-01  0.50851E-01
  0.54213E-01  0.54331E-01  0.51240E-01  0.45367E-01  0.37494E-01  0.28688E-01
  0.20213E-01  0.13422E-01  0.96349E-02  0.10026E-01  0.15516E-01  0.26682E-01
  0.43696E-01  0.66293E-01  0.93774E-01  0.12504E+00  0.15864E+00  0.19291E+00
  0.22603E+00  0.25619E+00  0.28167E+00  0.30102E+00  0.31311E+00  0.31720E+00
  0.51570E+01  0.67644E+02
  0.34212E+02  0.33775E+02  0.32488E+02  0.30459E+02  0.27847E+02  0.24844E+02
  0.21655E+02  0.18471E+02  0.15455E+02  0.12728E+02  0.10363E+02  0.67854E+01
  0.45431E+01  0.31924E+01  0.23223E+01  0.16873E+01  0.11923E+01  0.81754E+00
  0.55605E+00  0.38958E+00  0.29113E+00  0.23571E+00  0.20710E+00  0.19787E+00
  0.20490E+00  0.22466E+00  0.25101E+00  0.27612E+00  0.29305E+00  0.29771E+00
  0.28924E+00  0.26920E+00  0.24017E+00  0.20494E+00  0.16614E+00  0.12639E+00
  0.88377E-01  0.54793E-01  0.28080E-01  0.10056E-01  0.16539E-02  0.28280E-02
  0.12653E-01  0.29532E-01  0.51431E-01  0.76096E-01  0.10123E+00  0.12464E+00
  0.14437E+00  0.15885E+00  0.16697E+00  0.16820E+00  0.16260E+00  0.15080E+00
  0.13393E+00  0.11349E+00  0.91211E-01  0.68882E-01  0.48218E-01  0.30717E-01
  0.17547E-01  0.94714E-02  0.68039E-02  0.94010E-02  0.16689E-01  0.27723E-01
  0.41277E-01  0.55946E-01  0.70273E-01  0.82869E-01  0.92526E-01  0.98324E-01
  0.99700E-01  0.96502E-01  0.88998E-01  0.77858E-01  0.64102E-01  0.49022E-01
  0.34078E-01  0.20787E-01  0.10599E-01  0.47842E-02  0.43300E-02  0.98564E-02
  0.21562E-01  0.39196E-01  0.62072E-01  0.89100E-01  0.11886E+00  0.14970E+00
  0.17983E+00  0.20748E+00  0.23096E+00  0.24885E+00  0.26005E+00  0.26386E+00
  0.45833E+01  0.76111E+02
  0.37101E+02  0.36543E+02  0.34905E+02  0.32347E+02  0.29101E+02  0.25442E+02
  0.21648E+02  0.17970E+02  0.14602E+02  0.11670E+02  0.92307E+01  0.57667E+01
  0.37561E+01  0.25874E+01  0.18273E+01  0.12785E+01  0.88245E+00  0.61827E+00
  0.45704E+00  0.36211E+00  0.30288E+00  0.26286E+00  0.23760E+00  0.22697E+00
  0.22857E+00  0.23633E+00  0.24307E+00  0.24377E+00  0.23665E+00  0.22229E+00
  0.20206E+00  0.17722E+00  0.14888E+00  0.11844E+00  0.87837E-01  0.59430E-01
