// KA1,KA2,KB1,KB2,KB3,KB4,KB5,L3-N2,L3-N3,L3-O2,L3-O3,L3-P1,LA1-M5,LA2-M4,LB15-N4,LB2-N5,LB5-O4_O5,LB6-N1,LB7-O1,Ll-M1,Ls-M3,Lt-M2,Lu-N4_N7,L2-M2,L2-M5,L2-N2,L2-N3,L2-N5,L2-O2,L2-O3,L2-P2,LB1-M4,LB17-M3,LG1-N4,LG5-N1,LG6-O4,LG8-O1,Ln,Lv-N6,L1-M1,L1-N1,L1-N4,L1-O1,L1-O4,LB10-M4,LB3-M3,LB4-M2,LB9-M5,LG2-N2,LG11-N5,LG3-N3,LG4-O3,LG4`-O2,M1-N2,M1-N3,M2-M4,M2-N1,M2-N4,M2-O4,M3-M4,M3-M5,M3-N1,M3-N4,M3-O1,M3-O4,M3-O5,MG-N5,M4-N3,M4-O2,MB-N6,MZ2-N2,M5-O3,MA1-N7,MA2-N6,MZ1-N3,N4-N6,N5-N6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54.3,54.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108.5,108.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185.05,185.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281.77,281.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392.3,392.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522.95,522.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677.24,677.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
848.31,848.31,857.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041.1,1041.1,1067.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1253.7,1253.7,1295.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1486.9,1486.5,1553,0,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1740,1739,1829,0,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2012,2136,0,2136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2307,2306,2464,0,2464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2622,2620,2815,0,2815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2957,2955,3190,0,3190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3313,3310,3589,0,3589,0,3602.7,0,0,0,0,0,0,0,0,0,0,0,0,259.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3691,3686.9,4011.9,0,4011.9,0,4033,0,0,0,0,0,340.67,340.67,0,0,0,0,0,302.08,0,0,0,0,0,0,0,0,0,0,0,344.18,0,0,0,0,0,305.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4090,4085,4460.1,0,4460.1,0,4486.1,0,0,0,0,0,395,395,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,400,379,0,400,0,0,353,0,0,0,0,0,0,0,458,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4510,4504,4931,0,4931,0,4961,0,0,0,0,0,452,452,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,458,431,0,458,0,0,401,0,0,0,0,0,0,0,519,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4950.9,4944,5426.1,0,5426.1,0,5462,0,0,0,0,0,511,511,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,519,487,0,519,0,0,453,0,0,0,0,0,0,0,585,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5414,5405,5946,0,5946,0,5986,0,0,0,0,0,573,573,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,583,547,0,583,0,0,510,0,0,0,0,0,0,0,654,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5898,5887,6489.1,0,6489.1,0,6533.9,0,0,0,0,0,637,637,0,0,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,649,610,0,648.99,0,0,567,0,0,0,0,0,0,0,721,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6403,6390.1,7056.8,0,7056.8,0,7107,0,0,0,0,0,705,705,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,718,676,0,718,0,0,627.99,0,0,0,0,0,0,0,792,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6929,6914,7648,0,7648,0,7705,0,0,0,0,0,776,776,0,0,0,0,0,678,0,0,0,0,0,0,0,0,0,0,0,791,746,0,790.99,0,0,693.99,0,0,0,0,0,0,0,866,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7476.8,7460.2,8263.2,8328.7,8263.2,0,8327,0,0,0,0,0,851,851,0,0,0,0,0,743,0,0,0,0,0,0,0,0,0,0,0,869,820,0,869.99,0,0,761.99,0,0,0,0,0,0,0,941,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8046,8026.2,8904.1,8977.7,8904.1,0,8976.3,0,0,0,0,0,930,930,0,0,0,0,0,811,0,0,0,0,0,0,0,0,0,0,0,950,896,0,952.99,0,0,831.99,0,0,0,0,0,0,0,1023,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8636.8,8614,9570.1,9658.2,9570.1,0,9648.3,0,0,0,0,0,1012,1012,0,0,0,0,0,884,0,0,0,0,0,0,0,0,0,0,0,1034,977,0,1039,0,0,906,0,0,0,0,0,0,0,1107,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9250.2,9222.7,10263,10365,10259,0,10346,0,0,0,0,0,1098,1098,0,0,0,0,0,957,0,0,0,0,0,0,1133,0,0,0,0,1125,1064,0,1130,0,0,983.99,0,0,0,0,0,0,0,1197,1197,0,1279.1,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9885.3,9853.8,10980,11099,10976,0,11073,0,0,0,0,0,1188,1188,0,0,0,0,0,1036,0,0,0,0,0,0,1227,0,0,0,0,1218,1154,0,1224,0,0,1068,0,0,0,0,0,0,0,1294,1286,0,1395.1,0,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10542,10506,11724,11862,11718,0,11819,0,0,0,0,0,1282,1282,0,0,0,0,0,1120,0,0,0,0,0,0,1340,0,0,0,0,1317,1249,0,1336,0,0,1155,0,0,0,0,0,0,0,1388,1388,0,1516.1,0,1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11220,11179,12494,12650,12487,0,12595,0,0,0,0,0,1379,1379,0,0,0,0,0,1204,0,0,0,0,0,0,1458,0,0,0,0,1419,1347,0,1453,0,0,1244,0,0,0,0,0,0,0,1490,1490,0,1642.1,0,1642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
