13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.7,2.462,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.5,4.342,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,6.936,6.936,,,,,,,,,,,,,,,,,,,,,,,,,,
284.4,11.59,6.26,,,,,,,,,,,,,,,,,,,,,,,,,,
409.9,37.3,14.53,14.53,,,,,,,,,,,,,,,,,,,,,,,,,
543.1,41.6,13.62,13.62,,,,,,,,,,,,,,,,,,,,,,,,,
696.7,37.85,17.42,17.42,,,,,,,,,,,,,,,,,,,,,,,,,
870.2,48.5,21.7,21.6,,,,,,,,,,,,,,,,,,,,,,,,,
1070.8,63.5,30.65,30.81,2.779,,,,,,,,,,,,,,,,,,,,,,,,
1303,88.7,49.78,49.5,3.986,,,,,,,,,,,,,,,,,,,,,,,,
1559.6,117.8,72.84,72.55,4.905,4.905,,,,,,,,,,,,,,,,,,,,,,,
1839,149.7,99.82,99.31,8.61,3.301,,,,,,,,,,,,,,,,,,,,,,,
2145.5,189,136,129.98,16.15,10.49,10.49,,,,,,,,,,,,,,,,,,,,,,
2472,230.9,163.6,162.5,20.2,10.36,10.36,,,,,,,,,,,,,,,,,,,,,,
2822.4,270,202,200,24.54,12.97,12.97,,,,,,,,,,,,,,,,,,,,,,
3205.9,326.3,250.6,248.4,29.3,15.9,15.7,,,,,,,,,,,,,,,,,,,,,,
3608.4,378.6,297.3,294.6,34.8,18.3,18.3,,,2.051,,,,,,,,,,,,,,,,,,,
4038.5,438.4,349.7,346.57,44.3,25.4,25.4,,,3.243,,,,,,,,,,,,,,,,,,,
4492,498,403.6,398.49,51.1,28.3,28.3,3.527,,3.527,,,,,,,,,,,,,,,,,,,
4966,560.9,460.2,453.94,58.7,32.6,32.6,3.67,,2.49,,,,,,,,,,,,,,,,,,,
5465,626.7,519.8,512.1,66.3,37.2,37.2,3.7,,2.44,,,,,,,,,,,,,,,,,,,
5989,696,583.8,574.31,74.1,42.2,42.2,3.75,3.75,3.008,,,,,,,,,,,,,,,,,,,
6539,769.1,649.9,638.85,82.3,47.2,47.2,4.9,4.9,3.334,,,,,,,,,,,,,,,,,,,
7112,844.6,719.9,706.8,91.3,52.7,52.7,4.26,4.26,3.13,,,,,,,,,,,,,,,,,,,
7709,925.1,793.2,778.3,101,58.9,59.9,4,4,2.864,,,,,,,,,,,,,,,,,,,
8333,1008.6,870,852.7,110.8,68,66.2,4.8,4.8,2.435,,,,,,,,,,,,,,,,,,,
8979,1096.7,952.3,932.62,122.5,77.3,75.1,6.29,5.69,3.016,,,,,,,,,,,,,,,,,,,
9659,1196.2,1044.9,1021.8,139.8,91.4,88.6,10.2,10.1,5.194,,,,,,,,,,,,,,,,,,,
10367,1299,1143.2,1116.4,159.5,103.5,100,18.7,18.7,5.013,5.013,,,,,,,,,,,,,,,,,,
11103,1414.6,1248.1,1217,180.1,124.9,120.8,29.36,29.2,9.3,2.9,,,,,,,,,,,,,,,,,,
11867,1527,1359.1,1323.6,204.7,146.2,141.2,41.62,41.7,13.25,6.06,6.06,,,,,,,,,,,,,,,,,
12658,1652,1474.3,1433.9,229.6,166.5,160.7,55.5,54.6,14.25,3.85,3.85,,,,,,,,,,,,,,,,,
13474,1782,1596,1550,257,189,182,70,69,23.8,11.85,11.85,,,,,,,,,,,,,,,,,
14326,1921,1730.9,1678.4,292.8,222.2,214.4,95,93.8,27.5,14.1,14.1,,,,,,,,,,,,,,,,,
15200,2065,1864,1804,326.7,248.7,239.1,113,112,30.5,16.3,15.3,,,,,1.92,,,,,,,,,,,,
16105,2216,2007,1940,358.7,280.3,270,136,134.2,38.9,21.3,20.1,,,,,3.1,,,,,,,,,,,,
17038,2373,2156,2080,392,310.6,298.8,157.7,155.87,43.8,24.4,23.1,3.35,,,,3.35,,,,,,,,,,,,
17998,2532,2307,2223,430.3,343.5,329.8,181.1,178.8,50.6,28.5,27.1,3.675,,,,3.675,,,,,,,,,,,,
18986,2698,2465,2371,466.6,376.1,360.6,205,202.3,56.4,32.6,30.8,2.84,,,,2.743,,,,,,,,,,,,
20000,2866,2625,2520,506.3,411.6,394,231.1,227.9,63.2,37.6,35.5,3.717,,,,3.717,,,,,,,,,,,,
21044,3043,2793,2677,544,447.6,417.7,257.6,253.9,69.5,42.3,39.9,3.78,3.45,,,3.45,,,,,,,,,,,,
22117,3224,2967,2838,586.1,483.5,461.4,284.2,280,75,46.3,43.2,3.79,3.413,,,3.413,,,,,,,,,,,,
23220,3412,3146,3004,628.1,521.3,496.5,311.9,307.2,81.4,50.5,47.3,4.58,3.88,,,3.88,,,,,,,,,,,,
24350,3604,3330,3173,671.6,559.9,532.3,340.5,335.08,87.1,55.7,50.9,3.34,3.12,,,3.12,,,,,,,,,,,,
25514,3806,3524,3351,719,603.8,573,374,368.22,97,63.7,58.3,6.36,5.36,,,2.94,,,,,,,,,,,,
26711,4018,3727,3538,772,652.6,618.4,411.9,405.1,109.8,63.9,63.9,11.7,10.7,,,4.91,,,,,,,,,,,,
27940,4238,3938,3730,827.2,703.2,665.3,451.4,443.9,122.9,73.5,73.5,17.7,16.9,,,4.507,4.507,,,,,,,,,,,
29200,4465,4156,3929,884.7,756.5,714.6,493.2,484.9,137.1,83.6,83.6,24.9,23.9,,,7.58,2.92,,,,,,,,,,,
30491,4698,4380,4132,946,812.7,766.4,537.5,528.2,153.2,95.6,95.6,33.3,32.1,,,10.45,4.09,4.09,,,,,,,,,,
31814,4939,4612,4341,1006,870.8,820,583.4,573,169.4,103.3,103.3,41.9,40.4,,,12.89,4.06,4.06,,,,,,,,,,
33169,5188,4852,4557,1072,931,875,630.8,619.3,186,123,123,50.6,48.9,,,20.61,10.45,10.45,,,,,,,,,,
34561,5453,5107,4786,1148.7,1002.1,940.6,689,676.4,213.2,146.7,145.5,69.5,67.5,,,23.3,13.4,12.1,,,,,,,,,,
35985,5714,5359,5012,1211,1071,1003,740.5,726.6,232.3,172.4,161.3,79.8,77.5,,,22.7,14.2,12.1,,,,,1.94,,,,,
37441,5989,5624,5247,1293,1137,1063,795.7,780.5,253.5,192,178.6,92.6,89.9,,,30.3,17,14.8,,,,,2.69,,,,,
