// Z, conv_fac, ncoh[0], ncoh[1], ncoh[2], ncoh[3], coh[0], coh[1], coh[2], coh[3]
1,1.674,-2.15772,1.32685,-0.30562,0.0185025,-0.119075,-0.937086,-0.200538,0.0106587
2,6.647,-2.56357,2.02536,-0.44871,0.0279691,1.04768,-0.0851805,-0.403527,0.0269398
3,11.52,-1.0874,1.03368,-0.190377,0.00779955,1.34366,0.181557,-0.423981,0.026619
4,14.96,-0.690079,0.946448,-0.171142,0.00651413,2.0086,-0.046192,-0.337018,0.0186939
5,17.95,-0.791177,1.21611,-0.239087,0.0117686,2.62862,-0.207916,-0.286283,0.0144966
6,19.94,-0.982878,1.46693,-0.293743,0.0156005,3.10861,-0.26058,-0.271974,0.0135181
7,23.26,-1.23693,1.7451,-0.35466,0.0198705,3.4776,-0.215762,-0.288874,0.0115131
8,26.57,-1.73679,2.17686,-0.44905,0.0264733,3.77239,-0.148539,-0.307124,0.0167303
9,31.55,-1.8757,2.32016,-0.475412,0.028068,4.00716,-0.0560908,-0.332017,0.0187934
10,33.51,-1.7551,2.24226,-0.44764,0.0255801,4.20151,0.0416247,-0.356754,0.0207585
11,38.19,-0.967717,1.61794,-0.287191,0.0131526,4.26374,0.134662,-0.37008,0.0214467
12,40.38,-0.571611,1.35498,-0.222491,0.00830141,4.39404,0.137858,-0.35954,0.020238
13,44.78,-0.439322,1.30867,-0.211648,0.0075421,4.15995,0.140549,-0.352441,0.0193692
14,46.63,-0.414971,1.34868,-0.222315,0.00841959,4.64678,0.16278,-0.358563,0.0196926
15,51.43,-0.476903,1.46032,-0.251331,0.0107202,4.78525,0.168708,-0.360383,0.0197155
16,53.24,-0.656419,1.65408,-0.298623,0.0142979,4.92707,0.165746,-0.359424,0.0195505
17,58.87,-0.718627,1.74294,-0.319429,0.0158429,5.07222,0.149127,-0.352858,0.0189439
18,66.32,-0.682105,1.74279,-0.317646,0.0156467,5.21079,0.135618,-0.347214,0.0184333
19,64.93,-0.344007,1.49236,-0.254135,0.0107684,5.25587,0.18804,-0.359623,0.0193085
20,66.55,-0.098242,1.32829,-0.213747,0.00773065,5.32375,0.206685,-0.361664,0.0193328
21,74.65,-0.159831,1.39055,-0.225849,0.00851954,5.43942,0.200174,-0.359064,0.0191027
22,79.53,-0.230573,1.45848,-0.23916,0.00938528,5.55039,0.197697,-0.357694,0.0189866
23,84.59,-0.308103,1.52879,-0.252768,0.0102571,5.65514,0.199533,-0.357487,0.0189691
24,86.34,-0.387641,1.59727,-0.26624,0.0111523,5.77399,0.203858,-0.359699,0.0192225
25,91.22,-0.247059,1.49722,-0.238781,0.00893208,5.84604,0.213814,-0.359718,0.0191459
26,92.74,-0.342379,1.57245,-0.253198,0.00985822,5.93292,0.225038,-0.361748,0.0193024
27,97.85,-0.428804,1.64129,-0.266013,0.0106512,6.01478,0.237959,-0.364056,0.0194754
28,97.45,-0.50436,1.7004,-0.276443,0.0112628,6.09024,0.22277,-0.366568,0.0196586
29,105.5,-0.57021,1.75042,-0.284555,0.011693,6.17739,0.273123,-0.37236,0.0201638
30,108.6,-0.420535,1.634,-0.253646,0.00927233,6.23402,0.284312,-0.372143,0.0200525
31,115.8,-0.358218,1.6005,-0.244908,0.00861898,6.28298,0.291334,-0.369391,0.0197029
32,120.5,-0.334383,1.60327,-0.245555,0.00871239,6.33896,0.291512,-0.365643,0.0192896
33,124.4,-0.339189,1.62535,-0.250783,0.00909103,6.3975,0.288866,-0.361747,0.0188788
34,131.1,-0.432927,1.72833,-0.277138,0.0111735,6.45637,0.286737,-0.358794,0.0185618
35,132.7,-0.448001,1.76082,-0.285099,0.0117865,6.51444,0.286324,-0.357027,0.0183557
36,139.1,-0.39181,1.7301,-0.276824,0.011128,6.57113,0.287711,-0.356311,0.018247
37,141.9,-0.128039,1.53044,-0.227403,0.00739033,6.5975,0.302389,-0.356755,0.0181706
38,145.5,0.0799161,1.38397,-0.192225,0.00478611,6.62203,0.324559,-0.361651,0.01848
39,147.6,0.0629057,1.41577,-0.199713,0.00533312,6.67096,0.32507,-0.360613,0.0183326
40,151.5,0.0366697,1.45207,-0.208122,0.00595139,6.72275,0.323964,-0.359463,0.018189
41,154.3,0.000202289,1.49347,-0.217419,0.00662245,6.79013,0.311282,-0.355233,0.0178231
42,159.3,-0.056286,1.55778,-0.233341,0.00785506,6.846,0.30279,-0.351131,0.0174403
43,164.4,0.0757616,1.4495,-0.20489,0.00564745,6.87599,0.326165,-0.358969,0.0180482
44,167.8,-0.0424981,1.54639,-0.22647,0.00718375,6.93136,0.334794,-0.363497,0.0184429
45,170.9,-0.160399,1.64861,-0.250238,0.00893818,6.97547,0.346394,-0.367794,0.0187885
46,176.7,-0.267564,1.7374,-0.269883,0.0103248,7.03216,0.349838,-0.370099,0.0189983
47,179.1,-0.166475,1.65794,-0.24874,0.00866218,7.06446,0.363456,-0.373597,0.0192478
48,186.6,-0.0516701,1.57426,-0.227646,0.0070565,7.09856,0.372199,-0.375345,0.0193481
49,190.7,-0.00817283,1.55865,-0.224492,0.00685776,7.12708,0.382082,-0.376855,0.0194151
50,197.1,0.0142151,1.55754,-0.224736,0.00691395,7.16085,0.385512,-0.376481,0.0193305
51,202.2,0.0156362,1.57175,-0.228753,0.00726386,7.19665,0.385543,-0.375054,0.0191608
52,211.9,-0.0407579,1.64267,-0.24789,0.00880567,7.2346,0.382493,-0.372715,0.0189194
53,210.7,-0.040442,1.65596,-0.251067,0.00904874,7.27415,0.377223,-0.369728,0.018628
54,218,-0.00282407,1.64039,-0.247642,0.00882144,7.31469,0.370315,-0.36628,0.0183025
55,220.7,0.184861,1.5003,-0.213333,0.00624264,7.3349,0.376825,-0.365713,0.0181843
56,228.1,0.344376,1.38742,-0.186356,0.00424917,7.35812,0.379361,-0.364099,0.0179817
57,230.7,0.409104,1.33075,-0.170883,0.00304111,7.39532,0.369895,-0.359376,0.0175406
58,232.7,0.439881,1.30925,-0.164548,0.00252641,7.44255,0.371328,-0.359642,0.0175852
59,234,0.449124,1.30351,-0.161841,0.00227394,7.48347,0.368431,-0.357689,0.0174099
60,239.6,0.437283,1.3137,-0.162866,0.00229377,7.52334,0.366462,-0.356048,0.017262
61,244.1,0.405823,1.33837,-0.167229,0.0025557,7.56222,0.365055,-0.354511,0.0171214
62,249.6,0.355383,1.37733,-0.174941,0.00306213,7.6002,0.364134,-0.353086,0.0169894
63,252.4,0.280316,1.44016,-0.188641,0.00401226,7.63711,0.363957,-0.3519,0.0168783
64,261.1,0.273133,1.43842,-0.186137,0.0037524,7.66938,0.359752,-0.348899,0.016589
65,263.9,0.257539,1.45064,-0.187591,0.00379932,7.70798,0.365345,-0.350031,0.0166927
66,269.8,0.242685,1.46266,-0.189102,0.00385628,7.74188,0.367107,-0.349433,0.0166273
67,273.9,0.228493,1.47438,-0.190559,0.00390903,7.7747,0.369722,-0.349132,0.0165862
68,277.7,0.225233,1.48545,-0.191908,0.00395645,7.80643,0.373226,-0.349147,0.016571
69,280.5,0.202656,1.49625,-0.193234,0.00400233,7.83711,0.377547,-0.349441,0.016578
70,287.3,0.202248,1.48804,-0.189143,0.00362264,7.86662,0.382933,-0.350126,0.0166173
71,290.6,0.197176,1.50264,-0.192474,0.00385751,7.89137,0.386034,-0.349756,0.016548
72,296.4,0.199469,1.50233,-0.191385,0.00374011,7.91803,0.387021,-0.348881,0.0164406
73,300.5,0.196871,1.50623,-0.191396,0.00370889,7.94534,0.387299,-0.347926,0.016323
74,305.4,0.191015,1.5124,-0.19122,0.0037145,7.97266,0.387704,-0.347155,0.0162372
75,309.2,0.189644,1.50867,-0.18957,0.00349584,7.9994,0.388739,-0.346726,0.0161751
76,315.8,0.116448,1.57615,-0.205332,0.00466731,8.02574,0.390458,-0.346658,0.0161455
77,319.1,0.0719908,1.61204,-0.213186,0.00520497,8.0515,0.393143,-0.347052,0.016157
78,323.9,0.0420186,1.63611,-0.217964,0.0055267,8.08084,0.39579,-0.348032,0.0162345
79,327.4,0.0156916,1.65406,-0.220982,0.00570751,8.10524,0.400576,-0.34934,0.0163264
80,333.1,0.114587,1.58076,-0.202968,0.00435692,8.12542,0.405858,-0.350329,0.0163772
81,339.4,0.147052,1.56695,-0.200347,0.00420901,8.14399,0.408692,-0.349802,0.016288
