// Pouchou & Pichoir's database of 826 microanalytical measurements on binary compounds
// From ""Electron Probe Quantitation""", Newbury & Heinrich (Eds)
// A,Line,B,Beam Energy,Wgt Frac A,K-ratio A,Take-off
13,0,26,20,0.241,0.124,52.5
13,0,26,25,0.241,0.098,52.5
13,0,26,30,0.241,0.083,52.5
26,0,13,20,0.759,0.736,52.5
26,0,13,25,0.759,0.742,52.5
26,0,13,30,0.759,0.748,52.5
26,0,16,10,0.466,0.406,75
26,0,16,12,0.466,0.421,75
26,0,16,15,0.466,0.425,75
26,0,16,20,0.466,0.425,75
26,0,16,25,0.466,0.422,75
26,0,16,30,0.466,0.419,75
13,0,5,4,0.5551,0.515,40
13,0,5,6,0.5551,0.5178,40
13,0,5,8,0.5551,0.5188,40
13,0,5,10,0.5551,0.52,40
13,0,5,12,0.5551,0.5198,40
13,0,5,15,0.5551,0.517,40
13,0,5,20,0.5551,0.513,40
13,0,5,25,0.5551,0.508,40
13,0,5,30,0.5551,0.503,40
13,0,5,4,0.1722,0.15,40
13,0,5,6,0.1722,0.1502,40
13,0,5,8,0.1722,0.1503,40
13,0,5,10,0.1722,0.1503,40
13,0,5,12,0.1722,0.1503,40
13,0,5,15,0.1722,0.1504,40
13,0,5,20,0.1722,0.1495,40
13,0,5,25,0.1722,0.149,40
13,0,5,30,0.1722,0.1455,40
14,0,5,4,0.478,0.4465,40
14,0,5,6.0,0.478,0.4528,40
14,0,5,8,0.478,0.458,40
14,0,5,10,0.478,0.4622,40
14,0,5,12,0.478,0.4658,40
14,0,5,15,0.478,0.4696,40
14,0,5,20,0.478,0.4738,40
14,0,5,25,0.478,0.4758,40
14,0,5,30,0.478,0.476,40
14,0,5,4,0.3143,0.29,40
14,0,5,6,0.3143,0.294,40
14,0,5,8,0.3143,0.2978,40
14,0,5,10,0.3143,0.3002,40
14,0,5,12,0.3143,0.3036,40
14,0,5,15,0.3143,0.3072,40
14,0,5,20,0.3143,0.312,40
14,0,5,25,0.3143,0.314,40
14,0,5,30,0.3143,0.3156,40
22,0,5,6,0.8322,0.7922,40
22,0,5,8,0.8322,0.7937,40
22,0,5,10,0.8322,0.7942,40
22,0,5,12,0.8322,0.796,40
22,0,5,15,0.8322,0.7978,40
22,0,5,20,0.8322,0.8012,40
22,0,5,25,0.8322,0.8042,40
22,0,5,30,0.8322,0.8077,40
22,0,5,6,0.6993,0.633,40
22,0,5,8,0.6993,0.64,40
22,0,5,10,0.6993,0.6462,40
22,0,5,12,0.6993,0.6513,40
22,0,5,15,0.6993,0.6578,40
22,0,5,20,0.6993,0.6662,40
22,0,5,25,0.6993,0.6738,40
22,0,5,30,0.6993,0.6782,40
23,0,5,6,0.716,0.6378,40
23,0,5,8,0.716,0.65,40
23,0,5,10,0.716,0.6602,40
23,0,5,12,0.716,0.6681,40
23,0,5,15,0.716,0.677,40
23,0,5,20,0.716,0.6878,40
23,0,5,25,0.716,0.6939,40
23,0,5,30,0.716,0.6977,40
24,0,5,8,0.832,0.7758,40
24,0,5,10,0.832,0.784,40
24,0,5,12,0.832,0.7905,40
24,0,5,15,0.832,0.7981,40
24,0,5,20,0.832,0.807,40
24,0,5,25,0.832,0.8122,40
24,0,5,30,0.832,0.8156,40
24,0,5,8,0.7269,0.623,40
24,0,5,10,0.7269,0.6374,40
24,0,5,12,0.7269,0.648,40
24,0,5,15,0.7269,0.6603,40
24,0,5,20,0.7269,0.6738,40
24,0,5,25,0.7269,0.681,40
24,0,5,30,0.7269,0.685,40
26,0,5,8,0.9118,0.868,40
26,0,5,10,0.9118,0.873,40
26,0,5,12,0.9118,0.8764,40
26,0,5,15,0.9118,0.8821,40
26,0,5,20,0.9118,0.8888,40
26,0,5,25,0.9118,0.894,40
26,0,5,30,0.9118,0.897,40
26,0,5,8,0.8378,0.7823,40
26,0,5,10,0.8378,0.7922,40
26,0,5,12,0.8378,0.8002,40
26,0,5,15,0.8378,0.8098,40
26,0,5,20,0.8378,0.8203,40
26,0,5,25,0.8378,0.828,40
26,0,5,30,0.8378,0.833,40
27,0,5,10,0.916,0.866,40
27,0,5,12,0.916,0.8832,40
27,0,5,15,0.916,0.898,40
27,0,5,20,0.916,0.9101,40
27,0,5,25,0.916,0.912,40
27,0,5,30,0.916,0.9078,40
27,0,5,10,0.845,0.7823,40
27,0,5,12,0.845,0.7939,40
27,0,5,15,0.845,0.8058,40
27,0,5,20,0.845,0.818,40
27,0,5,25,0.845,0.8244,40
27,0,5,30,0.845,0.8278,40
28,0,5,10,0.9422,0.9238,40
28,0,5,12,0.9422,0.9262,40
28,0,5,15,0.9422,0.9303,40
28,0,5,20,0.9422,0.9358,40
28,0,5,25,0.9422,0.938,40
28,0,5,30,0.9422,0.9382,40
28,0,5,10,0.9157,0.8858,40
28,0,5,12,0.9157,0.8899,40
28,0,5,15,0.9157,0.895,40
28,0,5,20,0.9157,0.9005,40
28,0,5,25,0.9157,0.904,40
28,0,5,30,0.9157,0.906,40
28,0,5,10,0.856,0.8083,40
28,0,5,12,0.856,0.818,40
28,0,5,15,0.856,0.8283,40
28,0,5,20,0.856,0.8388,40
28,0,5,25,0.856,0.8438,40
28,0,5,30,0.856,0.845,40
40,12,5,4,0.8211,0.754,40
40,12,5,6,0.8211,0.7662,40
40,12,5,8,0.8211,0.777,40
40,12,5,10,0.8211,0.7855,40
40,12,5,12,0.8211,0.793,40
40,12,5,15,0.8211,0.8024,40
40,12,5,20,0.8211,0.814,40
40,12,5,25,0.8211,0.8225,40
40,12,5,30,0.8211,0.829,40
41,12,5,4,0.8958,0.8588,40
41,12,5,6,0.8958,0.868,40
41,12,5,8,0.8958,0.8758,40
41,12,5,10,0.8958,0.882,40
41,12,5,12,0.8958,0.8878,40
41,12,5,15,0.8958,0.8942,40
41,12,5,20,0.8958,0.9036,40
41,12,5,25,0.8958,0.91,40
41,12,5,30,0.8958,0.9157,40
41,12,5,4,0.8285,0.7502,40
41,12,5,6,0.8285,0.764,40
41,12,5,8,0.8285,0.776,40
41,12,5,10,0.8285,0.7862,40
41,12,5,12,0.8285,0.795,40
41,12,5,15,0.8285,0.806,40
41,12,5,20,0.8285,0.821,40
41,12,5,25,0.8285,0.8338,40
41,12,5,30,0.8285,0.8442,40
42,12,5,4,0.8987,0.8401,40
42,12,5,6,0.8987,0.85,40
42,12,5,8,0.8987,0.858,40
42,12,5,10,0.8987,0.866,40
42,12,5,12,0.8987,0.8731,40
42,12,5,15,0.8987,0.8828,40
42,12,5,20,0.8987,0.8978,40
42,12,5,25,0.8987,0.91,40
42,12,5,30,0.8987,0.9202,40
73,72,5,4,0.9436,0.916,40
73,72,5,6,0.9436,0.9208,40
73,72,5,8,0.9436,0.9258,40
73,72,5,10,0.9436,0.9295,40
73,72,5,12,0.9436,0.9324,40
73,72,5,15,0.9436,0.9365,40
73,72,5,20,0.9436,0.943,40
73,72,5,25,0.9436,0.9462,40
73,72,5,30,0.9436,0.9482,40
73,12,5,12,0.9436,0.9158,40
73,12,5,15,0.9436,0.9193,40
73,12,5,20,0.9436,0.923,40
73,12,5,25,0.9436,0.9258,40
73,12,5,30,0.9436,0.926,40
73,72,5,4,0.9077,0.8478,40
73,72,5,6,0.9077,0.856,40
73,72,5,8,0.9077,0.8625,40
73,72,5,10,0.9077,0.869,40
73,72,5,12,0.9077,0.874,40
73,72,5,15,0.9077,0.8803,40
73,72,5,20,0.9077,0.8895,40
73,72,5,25,0.9077,0.896,40
73,72,5,30,0.9077,0.9002,40
73,12,5,12,0.9077,0.823,40
73,12,5,15,0.9077,0.8365,40
73,12,5,20,0.9077,0.8525,40
73,12,5,25,0.9077,0.8622,40
73,12,5,30,0.9077,0.869,40
74,72,5,4,0.9445,0.885,40
74,72,5,6,0.9445,0.895,40
74,72,5,8,0.9445,0.9038,40
74,72,5,10,0.9445,0.9105,40
74,72,5,12,0.9445,0.9178,40
74,72,5,15,0.9445,0.9258,40
74,72,5,20,0.9445,0.9375,40
74,72,5,25,0.9445,0.9463,40
74,72,5,30,0.9445,0.953,40
74,12,5,12,0.9445,0.8918,40
74,12,5,15,0.9445,0.899,40
74,12,5,20,0.9445,0.9103,40
74,12,5,25,0.9445,0.9198,40
74,12,5,30,0.9445,0.9264,40
79,72,29,5.2,0.508,0.4259,40
79,72,29,10.4,0.508,0.4203,40
79,72,29,15.7,0.508,0.4034,40
79,72,29,20.8,0.508,0.3865,40
79,72,29,26.1,0.508,0.3668,40
79,72,29,31.5,0.508,0.3499,40
79,72,29,36.6,0.508,0.3405,40
79,72,29,39.7,0.508,0.3349,40
79,72,29,5.2,0.3,0.2317,40
79,72,29,10.4,0.3,0.2317,40
79,72,29,15.7,0.3,0.2186,40
79,72,29,20.8,0.3,0.2054,40
79,72,29,26.1,0.3,0.1886,40
79,72,29,31.5,0.3,0.1773,40
