C
C  Ground state configurations and ionization energies of free atoms of
C  the elements Z=1-99.
C
C  Missing values in Williams tables have been replaced by Carlson's
C  values, relative to the Fermi level.
C
C +--- Atomic number (Z) and chemical symbol.
C |     +--- Code number of the shell.
C |     | +--- Shell (x-ray level notation).
C |     | |  +--- Shell (spectroscopic notation, nlj).
C |     | |  |      +--- Shell occupation number (f_i).
C |     | |  |      |  +--- Ionization energy (eV).           +-- Level widths (eV)
C |     | |  |      |  |  DHFS      Carlson      Williams     |  EADL     CampbellPapp
C V     V V  V      V  V                                      V            V
  1 H   1 K  1s1/2  1  1.36059E+01  1.36000E+01  1.36000E+01  0.00000E+00  0.00000E+00
  2 He  1 K  1s1/2  2  2.49798E+01  2.45900E+01  2.46000E+01  0.00000E+00  0.00000E+00
  3 Li  1 K  1s1/2  2  5.98495E+01  5.80000E+01  5.47000E+01  0.00000E+00  0.00000E+00
  3 Li  2 L1 2s1/2  1  5.49536E+00  5.39200E+00  2.46200E+00  0.00000E+00  0.00000E+00
  4 Be  1 K  1s1/2  2  1.18366E+02  1.15000E+02  1.11500E+02  0.00000E+00  0.00000E+00
  4 Be  2 L1 2s1/2  2  8.18133E+00  9.32200E+00  4.34200E+00  0.00000E+00  0.00000E+00
  5 B   1 K  1s1/2  2  1.95609E+02  1.92000E+02  1.88000E+02  0.00000E+00  0.00000E+00
  5 B   2 L1 2s1/2  2  1.25761E+01  1.13860E+01  6.93600E+00  0.00000E+00  0.00000E+00
  5 B   3 L2 2p1/2  1  6.66458E+00  1.13860E+01  6.93600E+00  0.00000E+00  0.00000E+00
  6 C   1 K  1s1/2  2  2.91000E+02  2.88000E+02  2.84400E+02  6.14394E-02  0.00000E+00
  6 C   2 L1 2s1/2  2  1.75551E+01  1.65900E+01  1.15900E+01  0.00000E+00  0.00000E+00
  6 C   3 L2 2p1/2  2  8.98694E+00  1.12600E+01  6.26000E+00  0.00000E+00  0.00000E+00
  7 N   1 K  1s1/2  2  4.04846E+02  4.03000E+02  4.09900E+02  9.27355E-02  0.00000E+00
  7 N   2 L1 2s1/2  2  2.31001E+01  2.03300E+01  3.73000E+01  0.00000E+00  0.00000E+00
  7 N   3 L2 2p1/2  2  1.14975E+01  1.45300E+01  1.45300E+01  0.00000E+00  0.00000E+00
  7 N   4 L3 2p3/2  1  1.14747E+01  1.45300E+01  1.45300E+01  0.00000E+00  0.00000E+00
  8 O   1 K  1s1/2  2  5.37275E+02  5.38000E+02  5.43100E+02  1.33383E-01  0.00000E+00
  8 O   2 L1 2s1/2  2  2.92222E+01  2.84800E+01  4.16000E+01  0.00000E+00  0.00000E+00
  8 O   3 L2 2p1/2  2  1.41828E+01  1.36200E+01  1.36200E+01  0.00000E+00  0.00000E+00
  8 O   4 L3 2p3/2  2  1.41401E+01  1.36200E+01  1.36200E+01  0.00000E+00  0.00000E+00
  9 F   1 K  1s1/2  2  6.88374E+02  6.94000E+02  6.96700E+02  1.83627E-01  0.00000E+00
  9 F   2 L1 2s1/2  2  3.59324E+01  3.78500E+01  3.78500E+01  0.00000E+00  0.00000E+00
  9 F   3 L2 2p1/2  2  1.70432E+01  1.74200E+01  1.74200E+01  0.00000E+00  0.00000E+00
  9 F   4 L3 2p3/2  3  1.69700E+01  1.74200E+01  1.74200E+01  0.00000E+00  0.00000E+00
 10 Ne  1 K  1s1/2  2  8.58209E+02  8.70100E+02  8.70200E+02  2.42819E-01  2.40000E-01
 10 Ne  2 L1 2s1/2  2  4.32374E+01  4.84700E+01  4.85000E+01  0.00000E+00  0.00000E+00
 10 Ne  3 L2 2p1/2  2  2.00795E+01  2.16600E+01  2.17000E+01  0.00000E+00  1.00000E-02
 10 Ne  4 L3 2p3/2  4  1.99621E+01  2.15600E+01  2.16000E+01  0.00000E+00  1.00000E-02
 11 Na  1 K  1s1/2  2  1.06401E+03  1.07500E+03  1.07080E+03  2.88293E-01  2.80000E-01
 11 Na  2 L1 2s1/2  2  6.44873E+01  6.60000E+01  6.35000E+01  5.15289E-01  2.80000E-01
 11 Na  3 L2 2p1/2  2  3.64217E+01  3.40000E+01  3.06500E+01  0.00000E+00  2.00000E-02
 11 Na  4 L3 2p3/2  4  3.62206E+01  3.40000E+01  3.08100E+01  0.00000E+00  2.00000E-02
 11 Na  5 M1 3s1/2  1  5.14827E+00  5.13900E+00  2.77900E+00  0.00000E+00  0.00000E+00
 12 Mg  1 K  1s1/2  2  1.29451E+03  1.30800E+03  1.30300E+03  3.33574E-01  3.30000E-01
 12 Mg  2 L1 2s1/2  2  8.94669E+01  9.20000E+01  8.87000E+01  1.12491E+00  4.60000E-01
 12 Mg  3 L2 2p1/2  2  5.65542E+01  5.40000E+01  4.97800E+01  4.44676E-04  3.00000E-02
 12 Mg  4 L3 2p3/2  4  5.62345E+01  5.40000E+01  4.95000E+01  4.17471E-04  3.00000E-02
 12 Mg  5 M1 3s1/2  2  6.88681E+00  7.64600E+00  3.98600E+00  0.00000E+00  0.00000E+00
 13 Al  1 K  1s1/2  2  1.54992E+03  1.56400E+03  1.55960E+03  3.79003E-01  3.70000E-01
 13 Al  2 L1 2s1/2  2  1.19047E+02  1.21000E+02  1.17800E+02  1.38951E+00  7.80000E-01
 13 Al  3 L2 2p1/2  2  8.11949E+01  7.70000E+01  7.28400E+01  5.71959E-03  4.00000E-02
 13 Al  4 L3 2p3/2  4  8.07113E+01  7.70000E+01  7.25500E+01  5.71691E-03  4.00000E-02
 13 Al  5 M1 3s1/2  2  1.01567E+01  9.07500E+00  4.90500E+00  0.00000E+00  0.00000E+00
 13 Al  6 M2 3p1/2  1  4.87859E+00  9.07500E+00  4.90500E+00  0.00000E+00  0.00000E+00
 14 Si  1 K  1s1/2  2  1.82849E+03  1.84400E+03  1.83900E+03  4.25317E-01  4.30000E-01
 14 Si  2 L1 2s1/2  2  1.51529E+02  1.54000E+02  1.49700E+02  1.68362E+00  9.00000E-01
 14 Si  3 L2 2p1/2  2  1.08647E+02  1.04000E+02  9.98200E+01  1.75069E-02  5.00000E-02
 14 Si  4 L3 2p3/2  4  1.07944E+02  1.04000E+02  9.93100E+01  1.75689E-02  5.00000E-02
 14 Si  5 M1 3s1/2  2  1.36134E+01  1.34600E+01  8.61000E+00  0.00000E+00  0.00000E+00
 14 Si  6 M2 3p1/2  2  6.54146E+00  8.15100E+00  3.30100E+00  0.00000E+00  0.00000E+00
 15 P   1 K  1s1/2  2  2.13045E+03  2.14800E+03  2.14550E+03  4.72810E-01  4.70000E-01
 15 P   2 L1 2s1/2  2  1.87134E+02  1.91000E+02  1.89000E+02  2.03044E+00  1.10000E+00
 15 P   3 L2 2p1/2  2  1.39124E+02  1.35000E+02  1.36000E+02  3.72570E-02  7.00000E-02
 15 P   4 L3 2p3/2  4  1.38136E+02  1.34000E+02  1.29980E+02  3.74131E-02  7.00000E-02
 15 P   5 M1 3s1/2  2  1.72001E+01  1.61500E+01  1.61500E+01  0.00000E+00  0.00000E+00
 15 P   6 M2 3p1/2  2  8.37370E+00  1.04900E+01  1.04900E+01  0.00000E+00  0.00000E+00
 15 P   7 M3 3p3/2  1  8.31176E+00  1.04900E+01  1.04900E+01  0.00000E+00  0.00000E+00
 16 S   1 K  1s1/2  2  2.45590E+03  2.47600E+03  2.47200E+03  5.22046E-01  5.20000E-01
 16 S   2 L1 2s1/2  2  2.25956E+02  2.32000E+02  2.30900E+02  2.39478E+00  1.30000E+00
 16 S   3 L2 2p1/2  2  1.72718E+02  1.70000E+02  1.63600E+02  6.58641E-02  9.00000E-02
 16 S   4 L3 2p3/2  4  1.71366E+02  1.68000E+02  1.62500E+02  6.61693E-02  9.00000E-02
 16 S   5 M1 3s1/2  2  2.09379E+01  2.02000E+01  2.02000E+01  0.00000E+00  0.00000E+00
 16 S   6 M2 3p1/2  2  1.03369E+01  1.03600E+01  1.03600E+01  0.00000E+00  0.00000E+00
 16 S   7 M3 3p3/2  2  1.02406E+01  1.03600E+01  1.03600E+01  0.00000E+00  0.00000E+00
 17 Cl  1 K  1s1/2  2  2.80493E+03  2.82900E+03  2.82240E+03  5.74201E-01  5.70000E-01
 17 Cl  2 L1 2s1/2  2  2.68049E+02  2.77000E+02  2.70000E+02  2.80334E+00  1.50000E+00
 17 Cl  3 L2 2p1/2  2  2.09480E+02  2.08000E+02  2.02000E+02  1.03367E-01  1.10000E-01
 17 Cl  4 L3 2p3/2  4  2.07673E+02  2.06000E+02  2.00000E+02  1.03878E-01  1.10000E-01
 17 Cl  5 M1 3s1/2  2  2.48420E+01  2.45400E+01  2.45400E+01  0.00000E+00  0.00000E+00
 17 Cl  6 M2 3p1/2  2  1.24207E+01  1.29700E+01  1.29700E+01  0.00000E+00  0.00000E+00
 17 Cl  7 M3 3p3/2  3  1.22795E+01  1.29700E+01  1.29700E+01  0.00000E+00  0.00000E+00
 18 Ar  1 K  1s1/2  2  3.17764E+03  3.20630E+03  3.20590E+03  6.29297E-01  6.60000E-01
 18 Ar  2 L1 2s1/2  2  3.13454E+02  3.26500E+02  3.26300E+02  3.24254E+00  1.80000E+00
 18 Ar  3 L2 2p1/2  2  2.49447E+02  2.50600E+02  2.50600E+02  1.50504E-01  1.30000E-01
 18 Ar  4 L3 2p3/2  4  2.47079E+02  2.48500E+02  2.48400E+02  1.51295E-01  1.30000E-01
 18 Ar  5 M1 3s1/2  2  2.89247E+01  2.92400E+01  2.93000E+01  0.00000E+00  1.40000E-01
 18 Ar  6 M2 3p1/2  2  1.46255E+01  1.59400E+01  1.59000E+01  0.00000E+00  0.00000E+00
 18 Ar  7 M3 3p3/2  4  1.44269E+01  1.57600E+01  1.57000E+01  0.00000E+00  0.00000E+00
 19 K   1 K  1s1/2  2  3.58338E+03  3.61000E+03  3.60840E+03  6.85470E-01  7.10000E-01
 19 K   2 L1 2s1/2  2  3.71191E+02  3.81000E+02  3.78600E+02  3.67538E+00  2.10000E+00
 19 K   3 L2 2p1/2  2  3.01681E+02  2.99000E+02  2.97300E+02  1.78865E-01  1.80000E-01
 19 K   4 L3 2p3/2  4  2.98628E+02  2.96000E+02  2.94600E+02  1.79926E-01  1.80000E-01
 19 K   5 M1 3s1/2  2  4.05132E+01  3.70000E+01  3.48000E+01  0.00000E+00  7.00000E-01
 19 K   6 M2 3p1/2  2  2.37615E+01  1.90000E+01  1.83000E+01  0.00000E+00  0.00000E+00
 19 K   7 M3 3p3/2  4  2.34616E+01  1.87000E+01  1.83000E+01  0.00000E+00  0.00000E+00
 19 K  10 N1 4s1/2  1  4.21589E+00  4.34100E+00  2.05100E+00  0.00000E+00  0.00000E+00
 20 Ca  1 K  1s1/2  2  4.01514E+03  4.04100E+03  4.03850E+03  7.44960E-01  7.70000E-01
 20 Ca  2 L1 2s1/2  2  4.34136E+02  4.41000E+02  4.38400E+02  3.94726E+00  2.50000E+00
 20 Ca  3 L2 2p1/2  2  3.59067E+02  3.53000E+02  3.49700E+02  2.06361E-01  2.10000E-01
 20 Ca  4 L3 2p3/2  4  3.55188E+02  3.49000E+02  3.46570E+02  2.07743E-01  2.10000E-01
 20 Ca  5 M1 3s1/2  2  5.31741E+01  4.60000E+01  4.43000E+01  0.00000E+00  1.10000E+00
 20 Ca  6 M2 3p1/2  2  3.40213E+01  2.80000E+01  2.54000E+01  0.00000E+00  1.20000E+00
 20 Ca  7 M3 3p3/2  4  3.35958E+01  2.80000E+01  2.54000E+01  0.00000E+00  1.20000E+00
 20 Ca 10 N1 4s1/2  2  5.45094E+00  6.11300E+00  3.24300E+00  0.00000E+00  0.00000E+00
 21 Sc  1 K  1s1/2  2  4.46595E+03  4.49400E+03  4.49200E+03  8.00200E-01  8.30000E-01
 21 Sc  2 L1 2s1/2  2  4.94306E+02  5.03000E+02  4.98000E+02  4.58686E+00  3.30000E+00
 21 Sc  3 L2 2p1/2  2  4.13693E+02  4.08000E+02  4.03600E+02  2.26178E-01  3.60000E-01
 21 Sc  4 L3 2p3/2  4  4.08824E+02  4.03000E+02  3.98490E+02  2.27979E-01  2.30000E-01
 21 Sc  5 M1 3s1/2  2  6.09142E+01  5.50000E+01  5.11000E+01  1.48261E+00  1.70000E+00
 21 Sc  6 M2 3p1/2  2  3.96046E+01  3.30000E+01  2.83000E+01  5.88633E-02  1.20000E+00
 21 Sc  7 M3 3p3/2  4  3.90486E+01  3.30000E+01  2.83000E+01  4.99342E-02  1.20000E+00
 21 Sc  8 M4 3d3/2  1  7.06625E+00  7.02700E+00  3.52700E+00  0.00000E+00  0.00000E+00
 21 Sc 10 N1 4s1/2  2  5.90241E+00  7.02700E+00  3.52700E+00  0.00000E+00  0.00000E+00
 22 Ti  1 K  1s1/2  2  4.94072E+03  4.97000E+03  4.96600E+03  8.58900E-01  8.90000E-01
 22 Ti  2 L1 2s1/2  2  5.57446E+02  5.67000E+02  5.60900E+02  5.26581E+00  3.90000E+00
 22 Ti  3 L2 2p1/2  2  4.71223E+02  4.65000E+02  4.60200E+02  2.50627E-01  5.20000E-01
 22 Ti  4 L3 2p3/2  4  4.65185E+02  4.59000E+02  4.53940E+02  2.53018E-01  2.50000E-01
 22 Ti  5 M1 3s1/2  2  6.86127E+01  6.40000E+01  5.87000E+01  2.11741E+00  2.10000E+00
 22 Ti  6 M2 3p1/2  2  4.51033E+01  3.90000E+01  3.26000E+01  1.91787E-01  1.20000E+00
 22 Ti  7 M3 3p3/2  4  4.43931E+01  3.80000E+01  3.26000E+01  1.64807E-01  1.20000E+00
 22 Ti  8 M4 3d3/2  2  8.37224E+00  8.00000E+00  3.67000E+00  0.00000E+00  0.00000E+00
 22 Ti 10 N1 4s1/2  2  6.28329E+00  6.82000E+00  2.49000E+00  0.00000E+00  0.00000E+00
 23 V   1 K  1s1/2  2  5.43970E+03  5.47000E+03  5.46500E+03  9.21910E-01  9.60000E-01
 23 V   2 L1 2s1/2  2  6.23768E+02  6.33000E+02  6.26700E+02  5.91741E+00  4.60000E+00
 23 V   3 L2 2p1/2  2  5.31863E+02  5.25000E+02  5.19800E+02  2.80250E-01  7.80000E-01
 23 V   4 L3 2p3/2  4  5.24455E+02  5.18000E+02  5.12100E+02  2.83589E-01  2.80000E-01
