22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
31,21.7,15.5,11.4,8.5,6.4,4.9,3.8,3,2.3,1.9,1.5,1.2,1,0.8,0.7,0.5,0.5,0.4,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436.3,305.8,219.5,161.6,120.4,91.2,69.6,54,42.3,33.4,26.6,21.3,17.3,14.1,11.5,9.5,7.9,6.6,5.5,4.7,4,3.4,2.9,2.5,2.1,1.8,1.6,1.4,1.3,1.1,0.9,0.8,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
2509,1272.3,1233,892,655,487,366,279,214,140.8,112.2,90.1,73.1,59.6,48.9,40.4,33.6,28.1,23.6,19.9,16.9,14.4,12.3,10.6,9.1,7.9,6.9,6,5.4,4.6,4,3.6,3.2,2.8,2.5,2.2,2,1.8,1.6,1.4,1.3,1.1,1,0.9,0.8,0.8,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
5967,3313,3064,2257,1684,1268,963,745,578,370.8,295.9,237.9,193.1,157.7,129.4,107.1,89.1,74.5,62.8,53,45,38.4,32.9,28.3,24.4,21.2,18.4,16.1,14.4,12.3,10.9,9.6,8.5,7.5,6.7,5.9,5.3,4.7,4.2,3.8,3.4,3.1,2.8,2.5,2.3,2.1,1.9,1.7,1.6,1.4,1.3,1.2,1.1,1,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3
11000,6747.4,5868,4393,3314,2531,1947,1510,1188,762.7,609.4,490.5,398.4,325.7,267.4,221.7,184.4,154.4,130.1,110,93.5,79.8,68.4,58.9,50.9,44.1,38.4,33.5,30.1,25.8,22.7,20,17.7,15.7,14,12.5,11.1,9.9,8.9,8,7.2,6.5,5.9,5.3,4.8,4.4,4,3.6,3.3,3,2.8,2.5,2.3,2.1,2,1.8,1.7,1.5,1.4,1.3,1.2,1.1,1,1,0.9,0.8,0.8,0.7,0.7,0.6,0.6
17960,11825.5,9902,7495,5786,4451,3457,2714,2147,1348.7,1078.4,868.8,706.3,577.9,474.9,393.9,327.9,274.8,231.8,196.1,166.8,142.4,122.1,105.2,91,79,68.7,60,53.9,46.2,40.7,35.9,31.8,28.2,25.1,22.4,20,17.9,16.1,14.4,13,11.7,10.6,9.6,8.7,7.9,7.2,6.5,6,5.4,5,4.6,4.2,3.8,3.5,3.3,3,2.8,2.6,2.4,2.2,2,1.9,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1.1
24830,18739,14000,10740,8344,6496,5069,4022,3205,2154.3,1724,1390,1130.9,926,761.5,632,526.5,441.6,372.6,315.4,268.5,229.4,196.8,169.7,146.7,127.5,110.9,97,87.1,74.7,65.8,58.2,51.5,45.7,40.7,36.3,32.5,29,26.1,23.4,21.1,19,17.2,15.6,14.1,12.8,11.7,10.6,9.7,8.9,8.1,7.4,6.8,6.3,5.8,5.3,4.9,4.5,4.2,3.9,3.6,3.3,3.1,2.9,2.7,2.5,2.3,2.1,2,1.9,1.7
1756,1266.4,18740,14500,11300,8877,6961,5601,4476,3199.8,2562.7,2067.6,1683.4,1379.3,1135,942.7,785.8,659.4,556.7,471.5,401.5,343.3,294.7,254.1,219.9,191.1,166.4,145.5,130.8,112.2,98.9,87.4,77.5,68.8,61.3,54.7,48.9,43.8,39.3,35.3,31.8,28.7,26,23.5,21.3,19.4,17.6,16.1,14.7,13.4,12.3,11.3,10.3,9.5,8.7,8.1,7.4,6.9,6.3,5.9,5.4,5,4.7,4.3,4,3.8,3.5,3.3,3,2.8,2.7
2490,1953.8,1344,1021,13860,10910,8647,6941,5620,4501.2,3607.4,2912.5,2372.8,1945.4,1601.7,1331.1,1110.2,932.1,787.4,667.2,568.5,486.3,417.6,360.3,311.9,271.2,236.3,206.7,185.8,159.4,140.7,124.4,110.3,98,87.3,77.9,69.7,62.4,56,50.4,45.4,41,37.1,33.6,30.5,27.7,25.2,23,21,19.2,17.6,16.1,14.8,13.6,12.5,11.6,10.7,9.8,9.1,8.4,7.8,7.2,6.7,6.2,5.8,5.4,5,4.7,4.4,4.1,3.8
