4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
9018,1779,473,151,58,26,12,6,3,1,0.6,0.4,0.3,0.2,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48880,11450,3338,1141,455,201,97,52,28.7,13.9,8.8,5.8,3.9,2.7,1.9,1.4,1,0.7,0.6,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0
99990,31590,10310,3812,1602,735,366,164.1,96,58.8,37.4,24.6,16.6,11.5,8.1,5.9,4.3,3.2,2.4,1.8,1.4,1.1,0.9,0.7,0.6,0.5,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
5230,60560,22000,8875,3922,1878,963,431.9,253.5,155.6,99.2,65.3,44.2,30.7,21.7,15.7,11.5,8.6,6.5,5,3.8,3,2.4,1.9,1.5,1.2,1,0.8,0.7,0.6,0.5,0.4,0.3,0.3,0.2,0.2,0.2
11230,3353,37020,15810,7416,3677,1947,887.9,522.3,321.4,205.4,135.4,91.8,63.8,45.3,32.7,24.1,18,13.6,10.4,8.1,6.3,5,4,3.2,2.6,2.1,1.8,1.5,1.2,1,0.9,0.7,0.6,0.5,0.4,0.4
20810,6456,2373,25490,12380,6366,3457,1534,904.8,557.2,356.8,235.4,160,111.3,79.1,57.3,42.1,32.2,24.4,18.8,14.5,11.4,9,7.2,5.8,4.7,3.9,3.2,2.6,2.2,1.8,1.5,1.3,1.1,1,0.8,0.7
34810,10570,3903,1637,17310,9161,5069,2449.7,1447.7,893,572.7,378.4,257.6,179.4,127.7,92.5,68.2,52.2,39.6,30.4,23.6,18.5,14.7,11.8,9.5,7.7,6.3,5.2,4.3,3.6,3,2.5,2.1,1.8,1.6,1.3,1.2
53950,16530,6044,2527,1200,12390,6961,4109.1,2432.8,1503.3,965.6,638.9,435.5,303.7,216.4,157,115.8,78.5,59.6,45.8,35.6,28,22.2,17.8,14.3,11.7,9.6,7.9,6.5,5.4,4.6,3.9,3.3,2.8,2.4,2,1.8
73140,23880,8730,3602,1688,867,8647,5169,3066,1897.7,1220.9,809,552.2,385.5,275.1,199.8,147.5,111.7,84.9,65.3,50.8,40,31.7,25.4,20.5,16.7,13.7,11.3,9.4,7.8,6.6,5.5,4.7,4,3.4,2.9,2.5
97520,35760,13570,5617,2582,1301,715,7048.6,4184,2566.9,1654.1,1097.6,750.2,524.4,374.7,272.4,201.4,152.3,115.8,89.2,69.4,54.6,43.4,34.8,28.1,22.9,18.8,15.5,12.9,10.7,9,7.6,6.5,5.5,4.7,4,3.5
99990,46010,18460,7796,3645,1823,983,576.7,5409.1,3359.4,2168.1,1440.8,986.2,690.2,493.7,359.4,265.9,200.6,152.7,117.7,91.7,72.2,57.4,46,37.2,30.3,24.8,20.5,17,14.2,12,10.1,8.6,7.3,6.3,5.4,4.6
99990,58170,24900,10950,5174,2615.2,1411,770.1,463.6,4376.5,2824.6,1877,1248.8,899.2,643.2,468.2,346.4,257,195.7,150.9,117.6,92.7,73.7,59.2,47.8,39,32,26.4,22,18.3,15.4,13,11.1,9.4,8.1,7,6
99990,65170,30160,13830,6715.4,3407,1848,1021,614.7,385.7,3493.2,2324.7,1593.4,1116.6,799.7,582.8,431.7,321.7,245.2,189.2,147.5,116.3,92.5,74.3,60.1,49,40.3,33.3,27.7,23.1,19.4,16.4,14,11.9,10.2,8.8,7.6
99990,74180,36980,17690,8790,4543,2484,1332.5,802.2,503.4,327.9,2840.1,1949.3,1367.8,980.8,715.6,530.6,395,301.2,232.5,181.4,143.1,113.9,91.5,74.1,60.4,49.7,41.1,34.2,28.5,24,20.3,17.3,14.7,12.6,10.9,9.4
9045,66170,41280,20570,10540,5526,3041,1695.9,1021,640.6,417.4,279.8,2370.7,1663.6,1192.8,870.3,645.3,476.9,363.9,281.1,219.5,173.1,137.9,110.9,89.8,73.3,60.2,49.8,41.5,34.7,29.2,24.7,21,17.9,15.4,13.2,11.4
12770,74180,47940,24930,13010,7006,3888,2102.5,1265.8,794.3,517.5,346.9,239.4,1965.5,1411,1030.7,765.1,567.7,433.4,334.9,261.6,206.5,164.6,132.4,107.3,87.6,72,59.6,49.6,41.5,34.9,29.6,25.1,21.5,18.4,15.9,13.7
15990,7576,50760,27610,14790,8047,4522,2578.4,1552.3,974,634.6,425.4,293.6,207.1,1656.6,1210.1,898.3,667.4,509.7,394.2,308.1,243.3,194,156,126.5,103.3,85,70.3,58.6,49,41.3,34.9,29.7,25.4,21.8,18.8,16.2
18430,9369,45580,29510,16160,8924,5070,3113,1872.7,1183.2,770.9,516.8,356.6,251.5,181.2,1390.2,1033,776.1,593.1,458.8,358.8,283.5,226.1,182,147.6,120.6,99.2,82.1,68.4,57.3,48.3,40.9,34.8,29.7,25.5,22,19
20360,11280,6315,35900,19370,10620,6091,3729.2,2245.1,1408.8,917.8,615.3,424.6,299.5,215.8,158.1,1189.8,893.9,683.4,528.9,413.8,327.1,261,210.1,170.5,139.3,114.7,95,79.2,66.3,55.9,47.3,40.3,34.4,29.6,25.5,22
